id,name.value
NM_98_1,"Jobseeker's Allowance off-flows by occupation, age and duration"
NM_99_1,annual survey of hours and earnings  - workplace analysis
NM_100_1,annual population survey - workplace analysis
NM_101_1,Jobseeker's Allowance off-flows by reason and occupation
NM_102_1,"Jobseeker's Allowance off-flows by reason, occupation, age and duration"
NM_103_1,benefit claimants - working age clients for small areas
NM_105_1,benefit claimants - working age client group
NM_106_1,benefit payments - incapacity benefit / severe disablement
NM_107_1,benefit claimants - IB/SDA for small areas
NM_108_1,benefit claimants - income support for small areas
NM_109_1,benefit claimants - pension credits for small areas
NM_110_1,benefit claimants - disability living allowance for small areas
NM_111_1,benefit claimants - job seekers allowance for small areas
NM_112_1,benefit claimants - state pension for small areas
NM_113_1,benefit payments - income support
NM_114_1,benefit payments - pension credits
NM_115_1,benefit claimants - disability living allowance
NM_116_1,benefit payments - carers allowance
NM_117_1,benefit claimants - state pension
NM_118_1,"Jobseeker's Allowance stocks and flows by ethnicity, age and duration"
NM_119_1,benefit payments - job seekers allowance
NM_120_1,2001 census - UK travel flows (local authority)
NM_123_1,2001 census - Scottish travel flows (local authority)
NM_124_1,2001 census - UK travel flows (ward)
NM_127_1,model-based estimates of unemployment
NM_129_1,Annual Civil Service Employment Survey
NM_130_1,workforce jobs by industry (SIC 2007) - seasonally adjusted
NM_131_1,workforce jobs by industry (SIC 2007) and sex - unadjusted
NM_134_1,benefit claimants - employment and support allowance
NM_136_1,annual population survey - households by combined economic activity status
NM_137_1,annual population survey - households with dependent children and type
NM_138_1,benefit claimants - disability living allowance by disabling condition
NM_141_1,UK Business Counts - local units by industry and employment size band
NM_142_1,UK Business Counts - enterprises by industry and employment size band
NM_143_1,QS102EW - Population density
NM_144_1,KS101EW - Usual resident population
NM_145_1,KS102EW - Age structure
NM_146_1,"KS403EW - Rooms, bedrooms and central heating"
NM_150_1,ST102EWla - Population density
NM_151_1,WD102EW - Population density
NM_153_1,QS702EW - Distance travelled to work
NM_154_1,WD702EW - Distance travelled to work (Workday population)
NM_155_1,WP102EW - Population density (Workplace population)
NM_156_1,WP702EW - Distance travelled to work (Workplace population)
NM_157_1,OT102EW - Population density (Out of term-time population)
NM_158_1,KS101UK - Usual resident population
NM_159_1,KS102UK - Age Structure
NM_160_1,QS102UK - Population density
NM_161_1,"Mortality statistics - underlying cause, sex and age"
NM_162_1,Claimant count by sex and age
NM_164_1,"Marriages of opposite-sex couples in England and Wales by age group, marital status and ceremony type"
NM_165_1,"Marriages of opposite-sex couples in England and Wales by area of occurrence, broad age group, marital status and ceremony type"
NM_167_1,"Divorces of opposite-sex couples, England and Wales"
NM_168_1,annual population survey - regional - employment by occupation
NM_169_1,annual population survey - regional - nationality
NM_170_1,annual population survey - regional - labour market status by age
NM_172_1,Business Register and Employment Survey (excluding units registered for PAYE only) : open access
NM_173_1,Business Register and Employment Survey (excluding units registered for PAYE only) public / private sector : open access
NM_174_1,Marriages of same-sex couples in England and Wales
NM_179_1,annual population survey - regional - country of birth
NM_180_1,annual population survey - regional - ethnicity by industry
NM_181_1,annual population survey - regional - economic inactivity by reasons
NM_184_1,Annual Civil Service Employment Survey with professions
NM_185_1,Regional gross disposable household income (GDHI) at current basic prices
NM_186_1,Annual Business Inquiry employee analysis : safeguarded access
NM_187_1,Annual Business Inquiry employee analysis : open access
NM_189_1,Business Register and Employment Survey : open access
NM_190_1,Business Register and Employment Survey public/private sector  : open access
NM_191_1,Annual Business Inquiry employee analysis (SIC 2007) : safeguarded access
NM_192_1,Annual Business Inquiry employee analysis (SIC 2007) : open access
NM_193_1,Annual Employment Survey employee analysis : safeguarded access
NM_194_1,Annual Employment Survey employee analysis : open access
NM_195_1,Annual Employment Survey rescaled employee analysis : safeguarded access
NM_196_1,Annual Employment Survey rescaled employee analysis : open access
NM_197_1,Census of Employment employee analysis : safeguarded access
NM_198_1,Census of Employment employee analysis : open access
NM_199_1,UK Business Counts - enterprises by industry and turnover size band
NM_200_1,Business Register and Employment Survey : safeguarded access
NM_201_1,Business Register and Employment Survey (excluding units registered for PAYE only) : safeguarded access
NM_203_1,Live births in England and Wales by sex and characteristics of mother : national/regional
NM_204_1,Live births in England and Wales by characteristics of mother and father
NM_205_1,Live births in England and Wales down to local authority local area
NM_206_1,Live births in England and Wales for small geographic areas
NM_207_1,Live births in England and Wales : birth rates down to local authority areas
NM_210_1,annual population survey - regional - occupation by sex by employment type
NM_213_1,Census of Employment employee analysis (SIC 68) : safeguarded access
NM_214_1,Census of Employment employee analysis (SIC 68) : Open access
NM_218_1,annual population survey - regional - occupation (SOC2020) by sex by employment type
NM_501_1,QS101EW - Residence type
NM_503_1,QS103EW - Age by single year
NM_504_1,QS104EW - Sex
NM_505_1,QS105EW - Schoolchildren and full-time students at their non term-time address
NM_506_1,QS106EW - Second address
NM_507_1,Age
NM_508_1,QS108EW - Living Arrangements
NM_509_1,Population
NM_510_1,QS110EW - Adult lifestage (alternative adult definition)
NM_511_1,QS111EW - Household lifestage
NM_512_1,QS112EW - Household composition - People
NM_513_1,QS113EW - Household composition - Households
NM_514_1,QS114EW - Household composition (alternative child and adult definition) - People
NM_515_1,QS115EW - Household composition (alternative child and adult definition) - Households
NM_516_1,QS116EW - Household type
NM_517_1,QS117EW - People aged 18 to 64 living in a one adult household
NM_518_1,QS118EW - Families with dependent children
NM_519_1,QS119EW - Households by deprivation dimensions
NM_520_1,Ethnic Group
NM_521_1,QS121EW - Armed Forces
NM_522_1,QS201EW - Ethnic group
NM_523_1,QS202EW - Multiple ethnic groups
NM_524_1,QS203EW - Country of birth (detailed)
NM_525_1,QS204EW - Main language (detailed)
NM_526_1,QS205EW - Proficiency in English
NM_527_1,QS206WA - Welsh language skills
NM_528_1,QS207WA - Welsh language skills (detailed)
NM_529_1,QS208EW - Religion
NM_530_1,QS301EW - Provision of unpaid care
NM_531_1,QS302EW - General health
NM_532_1,QS303EW - Long-term health problem or disability
NM_533_1,QS401EW - Accommodation type - People
NM_534_1,QS402EW - Accommodation type - Households
NM_535_1,QS403EW - Tenure - People
NM_536_1,QS404EW - Tenure - Household Reference Person aged 65 and over
NM_537_1,QS405EW - Tenure - Households
NM_538_1,QS406EW - Household size
NM_539_1,QS407EW - Number of rooms
NM_540_1,QS408EW - Occupancy rating (rooms)
NM_541_1,QS409EW - Persons per room - Households
NM_542_1,QS410EW - Persons per room - People
NM_543_1,QS411EW - Number of bedrooms
NM_544_1,QS412EW - Occupancy rating (bedrooms)
NM_545_1,QS413EW - Persons per bedroom - Households
NM_546_1,QS414EW - Persons per bedroom - People
NM_547_1,QS415EW - Central heating
NM_548_1,QS416EW - Car or van availability
NM_549_1,QS417EW - Household spaces
NM_550_1,QS418EW - Dwellings
NM_551_1,QS419EW - Position in communal establishment
NM_552_1,QS420EW - Communal establishment management and type - Communal establishments
NM_553_1,QS421EW - Communal establishment management and type - People
NM_554_1,QS501EW - Highest level of qualification
NM_555_1,QS502EW - Qualifications gained
NM_556_1,QS601EW - Economic activity
NM_557_1,QS602EW - Economic activity of Household Reference Person
NM_558_1,QS603EW - Economic activity - Full-time students
NM_559_1,QS604EW - Hours worked
NM_560_1,QS605EW - Industry
NM_561_1,QS606EW - Occupation (Minor Groups)
NM_562_1,QS607EW - NS-SeC
NM_563_1,QS608EW - NS-SeC of Household Reference Person - People aged under 65
NM_564_1,QS609EW - NS-SeC of Household Reference Person - People
NM_565_1,QS610EW - NS-SeC of Household Reference Person (HRP) - HRP Aged under 65
NM_566_1,QS611EW - Approximated Social Grade
NM_567_1,QS612EW - Year last worked
NM_568_1,QS701EW - Method of travel to work
NM_569_1,QS801EW - Year of arrival in the UK
NM_570_1,QS802EW - Age of arrival in the UK
NM_571_1,QS803EW - length of residence in the UK
NM_573_1,QS210EW - Religion (detailed)
NM_574_1,CT0010 - Ethnic group (write-in responses)
NM_575_1,QS211EW - Ethnic group (detailed)
NM_576_1,QS703EW - Method of Travel to Work (2001 specification)
NM_577_1,QS212EW - Passports held
NM_578_1,QS213EW - Country of birth (expanded)
NM_579_1,QS214EW - National Identity (detailed)
NM_580_1,QS613EW - Approximated social grade
NM_582_1,Marital Status
NM_583_1,Country of Birth
NM_584_1,Economic Position - all persons
NM_585_1,Economic Position - males
NM_586_1,Economic Position - Females
NM_587_1,Hours Worked
NM_588_1,Industry
NM_589_1,Occupation
NM_590_1,Qualifications
NM_603_1,KS103EW - Marital and civil partnership status
NM_604_1,KS104EW - Living arrangements
NM_605_1,KS105EW - Household composition
NM_606_1,KS106EW - Adults not in employment and dependent children and persons with long-term health problems or disability for all households
NM_607_1,KS107EW - Lone parent households with dependent children
NM_608_1,KS201EW - Ethnic group
NM_609_1,KS202EW - National identity
NM_611_1,KS204EW - Country of birth
NM_612_1,KS205EW - Passports held
NM_613_1,KS206EW - Household language
NM_614_1,KS207WA - Welsh language skills
NM_615_1,KS208WA - Welsh language profile
NM_616_1,KS209EW - Religion
NM_617_1,KS301EW - Health and provision of unpaid care
NM_618_1,"KS401EW - Dwellings, household spaces and accommodation type"
NM_619_1,KS402EW - Tenure
NM_621_1,KS404EW - Car or van availability
NM_622_1,KS405EW - Communal establishment residents
NM_623_1,KS501EW - Qualifications and students
NM_624_1,KS601EW to KS603EW - Economic activity by sex
NM_625_1,KS604EW - Hours worked
NM_626_1,KS605EW to KS607EW - Industry by sex
NM_627_1,KS608EW to KS610EW - Occupation by sex
NM_628_1,KS611EW to KS613EW - NS-SeC by sex
NM_651_1,DC2101EW - Ethnic group by sex by age
NM_652_1,DC2102EW - National identity by sex by age
NM_653_1,DC2103EW - Country of birth by sex by age
NM_654_1,DC2104EW - Main Language by sex by age
NM_655_1,DC2105EW - Proficiency in English  by sex by age
NM_657_1,DC2107EW - Religion by sex by age
NM_658_1,DC2108EW - Passports held by sex by age
NM_659_1,DC2201EW - Ethnic Group by Religion
NM_660_1,DC2202EW - National identity by ethnic group
NM_661_1,DC2203WA - Ability to speak Welsh skills by national identity by sex by age
NM_662_1,DC2204EW - National identity by religion
NM_663_1,DC2205EW - Country of birth by ethnic group by sex
NM_664_1,DC2206WA - Welsh Language Skills by Country of Birth by sex by age
NM_665_1,DC2207EW - Country of birth by religion by sex
NM_666_1,DC2301EW - Ethnic group by provision of unpaid care by general health
NM_667_1,DC2801EW - Ethnic group by age of arrival in the UK
NM_668_1,DC2802EW - Country of birth by age of arrival in UK
NM_669_1,DC2803EW - Proficiency in English by age of arrival in the UK
NM_670_1,DC3201EW - Long-term health problem or disability by general health by ethnic group by sex by age
NM_671_1,DC3202WA - Long-term health problem or disability by general health by Welsh language skills by sex by age
NM_672_1,DC3203EW - Long-term health problem or disability by general health by religion by sex by age
NM_673_1,DC3301EW - Provision of unpaid care by general health by sex by age
NM_674_1,DC3302EW - Long term health problem or disability by health by sex by age
NM_675_1,DC3601EW - General health by NS-SeC by sex by age
NM_676_1,DC3602EW - Long-term health problem or disability by NS-SeC by sex by age
NM_677_1,DC6201EW - Economic activity by ethnic group by sex by age
NM_679_1,DC6203EW - Economic activity by country of birth by sex by age
NM_680_1,DC6204EW - Economic activity by passports held by sex by age
NM_681_1,DC6205EW - Economic activity by religion by sex by age
NM_682_1,DC6206EW - NS-SeC by ethnic group by sex by age
NM_683_1,DC6207EW - NS-SeC by religion by sex by age
NM_684_1,DC6301EWla - Economic activity by provision of unpaid care by general health by sex
NM_685_1,DC6302EW - Economic activity by hours worked by sex by long-term health problem or disability
NM_686_1,DC2109EWr - Country of birth by sex by age (regional)
NM_687_1,DC2110EWr - Passports held by sex by age (regional)
NM_688_1,DC2208EWr - Passports held by country of birth (regional)
NM_689_1,DC2804EWr - Country of birth by year of arrival in the UK (regional)
NM_690_1,DC2805EWr - Passports held by year of arrival in the UK (regional)
NM_691_1,DC3303EWr - Provision of unpaid care by general health by sex by age (regional)
NM_692_1,DC6208EWr - Economic activity by country of birth by sex by age (regional)
NM_693_1,DC6209EWr - Economic activity by passports held by sex by age (regional)
NM_694_1,DC1101EW - Marital and civil partnership status by sex by age - Household Reference Persons
NM_695_1,DC1102EW - Living arrangements by sex by age - Household Reference Persons
NM_696_1,DC2604EW - Proficiency in English by industry by economic activity
NM_697_1,DC2605WAla - Ability to speak Welsh by year last worked by age
NM_698_1,DC2607WAla - Welsh language skills by industry
NM_699_1,DC2106WAla - Welsh language skills by sex by age
NM_700_1,DC2608WAla - Welsh language skills by occupation
NM_701_1,DC2401WA - Number of people who can speak Welsh by household size
NM_702_1,DC2402WA - Ability to speak Welsh by tenure by age - Household Reference Persons
NM_703_1,DC2403WA - Welsh language skills by tenure by age - Household Reference Persons
NM_704_1,DC2609WAla - Welsh language skills by NS-SeC
NM_705_1,DC2610WA - Ability to speak Welsh by year last worked
NM_706_1,DC2601WA - Ability of dependent child in a family to speak Welsh by NS-SeC of Household Reference Person by Welsh household composition
NM_707_1,DC4101EW - Tenure by household composition
NM_708_1,DC4102EW - Number of bedrooms by accommodation type by age of dependent children
NM_709_1,DC4103EW - Number of bedrooms by tenure by age of dependent children
NM_710_1,DC4201EW - Tenure by ethnic group by age - Household Reference Persons
NM_711_1,DC4202EW - Tenure by car or van availability by ethnic group of Household Reference Person (HRP)
NM_712_1,DC4203EW - Tenure by car or van availability by ethnic group
NM_713_1,DC4204EW - Tenure by car or van availability by religion of Household Reference Person (HRP)
NM_714_1,DC4205EW - Dwelling type by type of central heating in household by occupancy rating (rooms) by ethnic group of Household Reference Person (HRP)
NM_715_1,DC4206EW - Dwelling type by type of central heating in household by occupancy rating (bedrooms) by ethnic group of Household Reference Person (HRP)
NM_716_1,DC4207EW - Dwelling type by type of central heating in household by occupancy rating (rooms) by religion of Household Reference Person (HRP)
NM_717_1,DC4208EW - Dwelling type by type of central heating in household by occupancy rating (bedrooms) by religion of Household Reference Person (HRP)
NM_718_1,DC2611WA - Ability to speak Welsh by industry
NM_719_1,DC4402EW - Accommodation type by type of central heating in household by tenure
NM_720_1,DC4403EW - Accommodation type by household spaces
NM_721_1,DC4404EW - Tenure by household size by number of rooms
NM_722_1,DC4405EW - Tenure by household size by number of bedrooms
NM_723_1,DC4406EW - Tenure by number of persons per room in household by accommodation type
NM_724_1,DC4407EW - Tenure by number of persons per bedroom in household by accommodation type
NM_725_1,DC4408EW - Tenure by number of persons per bedroom in household by household type
NM_726_1,DC4601EW - Tenure by economic activity by age - Household Reference Persons
NM_727_1,DC4602EWr - Tenure by industry by age - Household Reference Persons (regional)
NM_728_1,DC2612WA - Ability to speak Welsh by occupation
NM_729_1,DC4604EW - Tenure by occupation by age - Household Reference Persons
NM_730_1,DC4605EW - Tenure by NS-SeC by age - Household Reference Persons
NM_731_1,DC4606EW - Tenure by number of bedrooms by occupation of Household Reference Person (HRP)
NM_732_1,DC6101EW - NS-SeC by sex by age - Household Reference Persons
NM_733_1,DC6102EW - NS-SeC of Household Reference Person (HRP) by households with schoolchildren or full-time students living away during term-time
NM_734_1,DC4607EWr - Tenure by occupation by sex by age - Household Reference Persons (regional)
NM_735_1,DC4608EWr - Tenure by NS-SeC by sex by age - Household Reference Persons (regional)
NM_736_1,DC1103WAla - Extended Welsh household composition by age of youngest dependent child
NM_737_1,DC2112WAla - Extended Welsh household composition by ability to speak Welsh by age of dependent child
NM_738_1,DC2209EWr - Country of birth by national identity (regional)
NM_739_1,DC3204EWr - General health by ethnic group by sex by age (regional)
NM_740_1,DC3205EWr - Long-term health problem or disability by ethnic group by sex by age (regional)
NM_741_1,DC6303EWr - NS-SeC by general health by sex by age (regional)
NM_742_1,DC6304EWr - NS-SeC by long-term health problem or disability by sex by age (regional)
NM_743_1,DC1104EW - Residence type by sex by age
NM_744_1,DC2613WA - Ability to speak Welsh by NS-SeC
NM_745_1,DC1106EW - Schoolchildren and full-time students at their non term-time address by sex by age
NM_746_1,DC1107EW - Marital and civil partnership status by sex by age
NM_747_1,DC1108EW - Living arrangements by sex by age
NM_748_1,DC1109EW - Household composition by age by sex
NM_749_1,DC1110EWla - Concealed family by family type by dependent children in family by age of Family Reference Person (FRP)
NM_750_1,DC6107EW - Economic Activity by sex by age
NM_751_1,DC1112EWla - Age of youngest dependent child by household type by sex by age
NM_752_1,DC1113EW - Age of youngest dependent child by household type
NM_753_1,DC6108EW - Economic activity of full-time students by student accommodation by age
NM_754_1,DC1115EW - Age of youngest dependent child by family type by marital status by age of Family Reference Person (FRP)
NM_755_1,DC1201EW - Household composition by ethnic group of Household Reference Person (HRP)
NM_756_1,DC1202EW - Household composition by religion of Household Reference Person (HRP)
NM_757_1,DC1203EW - Dependent children by ethnic group of Household Reference Person (HRP) by age
NM_758_1,DC1301EW - Household composition by number of people in household with a long-term health problem or disability
NM_759_1,DC1401EW - Household composition by car or van availability
NM_760_1,DC1402EW - Household composition by number of bedrooms
NM_761_1,DC1601EWla - Family status by number of parents working by dependent children in family by economic activity
NM_762_1,DC6109EW - Hours worked by sex by age
NM_763_1,DC2115WA - Ability to speak Welsh by family type by Welsh speaking parents
NM_764_1,DC2116EW - Ethnic group of dependent child by sex
NM_765_1,DC2210EWr - Main language by proficiency in English (regional)
NM_766_1,DC2302EWr - Proficiency in English by general health by sex by age
NM_767_1,DC2303EW - Proficiency in English by general health by sex by age
NM_768_1,DC2602EW - Proficiency in English by occupation by sex by age
NM_769_1,DC4104EWla - Tenure by occupancy rating (rooms) by household composition
NM_770_1,DC4105EWla - Tenure by occupancy rating (bedrooms) by household composition
NM_771_1,DC6110EW - Industry by sex by age
NM_772_1,DC4209EW - Number of persons per room in household by ethnic group of household reference person (HRP)
NM_773_1,DC2806EW - Passports held by age of arrival in the UK
NM_774_1,DC1116EWla - Marital and civil partnership status by sex by age - Communal establishment residents
NM_775_1,DC2117EWla - Ethnic group by sex by age - Communal establishment residents
NM_776_1,DC2118EWla - Country of birth by age - Communal establishment residents
NM_777_1,DC2119EWla - Passports held by sex by age - Communal establishment residents
NM_778_1,DC2404WAla - Ability to speak Welsh by communal establishment management and type by position in communal establishment
NM_779_1,DC2405WAla - Welsh language skills by communal establishment management and type by position in communal establishment
NM_780_1,DC3304EWla - Long-term health problem or disability by general health by age - Communal establishment residents
NM_781_1,DC3401EWla - General health by communal establishment management and type by sex by age
NM_782_1,DC3402EWla - Long-term health problem or disability by communal establishment management and type by sex by age
NM_783_1,DC4107EWla - Position in communal establishment by sex by age
NM_784_1,DC4210EWla - Communal establishment management and type by sex by age
NM_785_1,DC4211EWla - Communal establishment management and type by ethnic group by sex
NM_786_1,DC4409EWla - Communal establishment management and type by religion by sex
NM_787_1,DC5101EWla - Highest level of qualification by sex by age - Communal establishment residents
NM_788_1,DC6103EWla - Economic activity by sex by age - Communal establishment residents
NM_789_1,DC6104EWla -  Industry by sex by age - Communal establishment residents
NM_790_1,DC6105EWla - Occupation by sex by age - Communal establishment residents
NM_791_1,DC6106EWla - NS-SeC by sex by age - Communal establishment residents
NM_792_1,DC1117EW - Sex by single year of age
NM_793_1,DC6111EW - Former industry by sex by age
NM_794_1,DC6112EW - Occupation by sex by age
NM_795_1,DC6113EW - Former occupation by sex by age
NM_796_1,DC6114EW - NS-SeC by sex by age
NM_797_1,DC6115EW - NS-SeC of Household Reference Person by household composition by sex
NM_798_1,DC6116EW - Year last worked by sex by age
NM_801_1,LC2101EW - Ethnic group by sex by age
NM_802_1,LC2102EW - National Identity by sex by age
NM_803_1,LC2104EW - Main language by sex by age
NM_804_1,LC2105EW - Proficiency in English by age
NM_805_1,LC2106WA - Welsh language skills by sex by age
NM_806_1,LC2107EW - Religion by sex by age
NM_807_1,LC2201EW - Ethnic group by religion
NM_808_1,LC2202EW - National identity by ethnic group
NM_809_1,LC2203WA - Ability to speak Welsh by national identity by age
NM_810_1,LC2204EW - National Identity by religion
NM_811_1,LC2205EW - Country of birth by ethnic group
NM_812_1,LC2206WA - Welsh language skills by country of birth by age
NM_813_1,LC2207EW - Country of birth by religion by sex
NM_814_1,LC2801EW - Ethnic group by age of arrival in the UK
NM_815_1,LC2803EW -  Proficiency in English by age of arrival in the UK
NM_816_1,LC3202WA - General health by ability to speak Welsh by age
NM_817_1,LC3204WA - Long-term health problem or disability by ability to speak Welsh by age
NM_818_1,LC6201EW - Economic activity by ethnic group by age
NM_819_1,LC6205EW - Economic activity by Religion
NM_820_1,LC6206EW - NS-SeC by ethnic group by age
NM_821_1,LC6207EW - NS-SeC by religion
NM_822_1,LC2301EW - Ethnic group by provision of unpaid care by general health
NM_823_1,LC2303EW - Proficiency in English by general health by sex
NM_824_1,LC3203EW - General health by religion by sex by age
NM_826_1,LC3205EW - Long-term health problem or disability by ethnic group by sex by age
NM_827_1,LC3207EW - Long-term health problem or disability by religion by sex by age
NM_828_1,LC3301EW - Provision of unpaid care by general health by sex by age
NM_829_1,LC3302EW - Long-term health problem or disability by general health by sex by age
NM_830_1,LC3304EW - Provision of unpaid care by age
NM_831_1,LC3601EW - General health by NS-SeC
NM_832_1,LC3602EW - Long-term health problem or disability by NS-SeC by age
NM_833_1,LC6301EW - Economic activity by provision of unpaid care by general health
NM_834_1,LC6302EW - Economic activity by hours worked by long-term health problem or disability
NM_835_1,LC3206EW - General health by ethnic group by sex by age
NM_836_1,LC2103EW - Country of birth by sex by age
NM_837_1,LC2108EW - Passports held by sex by age
NM_838_1,LC2208EW - Passports held by country of birth
NM_839_1,LC2802EW - Country of birth by age of arrival in the UK
NM_840_1,LC2804EW - Country of birth by year of arrival in the UK
NM_841_1,LC2805EW - Passports held by year of arrival in the UK
NM_842_1,LC6203EW - Economic activity by country of birth by age
NM_843_1,LC6204EW - Economic activity by passports held by age
NM_844_1,LC2806EW - Passports held by age of arrival in the UK
NM_845_1,LC1104EW - Residence type by age
NM_846_1,LC1106EW - Schoolchildren and full-time students at their non term-time address by sex by age
NM_847_1,LC1107EW - Marital and civil partnership status by sex by age
NM_848_1,LC1108EW - Living arrangements by sex by age
NM_849_1,LC1109EW - Household composition by age by sex
NM_850_1,LC1110EW - Concealed family status by family type by dependent children by age of Family Reference Person (FRP)
NM_851_1,LC1112EW - Age of youngest dependent child by household type by sex
NM_852_1,LC1113EW - Age of youngest dependent child by household type
NM_853_1,LC1114EW - Dependent children by family type
NM_854_1,LC1115EW - Age of youngest dependent child by family type by age of Family Reference Persion (FRP)
NM_855_1,LC1118EW - Age of youngest dependent child by family type
NM_856_1,LC1201EW - Household composition by ethnic group of Household Reference Person (HRP)
NM_857_1,LC1202EW - Household composition by religion of Household Reference Person (HRP)
NM_858_1,LC1203EW - Dependent children by ethnic group of Household Reference Person (HRP) by age
NM_859_1,LC1301EW - Household composition by number of people in household with a long-term health problem or disability
NM_860_1,LC1401EW - Household composition by car or van availability
NM_861_1,LC1402EW - Household composition by number of bedrooms
NM_862_1,LC1601EW - Family status by number of parents working by economic activity
NM_863_1,LC2115WA - Family type by parents ability to speak Welsh by age and ability to speak Welsh of dependent child
NM_864_1,LC2116EW - Ethnic group of dependent child by sex
NM_865_1,LC4104EW - Occupancy rating (rooms) by household composition
NM_866_1,LC4105EW - Occupancy rating (bedrooms) by household composition
NM_867_1,LC4106EW - Occupancy rating (rooms) by tenure
NM_868_1,LC4108EW - Occupancy rating (bedrooms) by tenure
NM_869_1,LC4209EW - Number of persons per room in household by ethnic group of household reference person (HRP)
NM_870_1,LC1101EW - Marital and civil partnership status by sex by age - Household Reference Persons
NM_871_1,LC1102EW - Living arrangements by age - Household Reference Persons
NM_872_1,LC1103WA - Welsh household composition by age of youngest dependent child
NM_873_1,LC2401WA - Number of people who can speak Welsh by household size
NM_874_1,LC2402WA - Ability to speak Welsh by tenure - Household Reference Persons
NM_875_1,LC2403WA - Welsh language skills by tenure - Household Reference Persons
NM_876_1,LC4101EW - Tenure by household composition
NM_877_1,LC4102EW - Number of bedrooms by accommodation type by age of dependent children
NM_878_1,LC4103EW - Number of bedrooms by tenure by age of dependent children
NM_879_1,LC4201EW - Tenure by ethnic group by age - Household Reference Persons
NM_880_1,LC4202EW - Tenure by car or van availability by ethnic group of Household Reference Person (HRP)
NM_881_1,LC4203EW - Tenure by car or van availability by ethnic group
NM_882_1,LC4204EW - Tenure by car or van availability by religion of Household Reference Person (HRP)
NM_883_1,LC4205EW - Occupancy rating (rooms) by ethnic group of Household Reference Person (HRP)
NM_884_1,LC4206EW - Occupancy rating (bedrooms) by ethnic group of Household Reference Person (HRP)
NM_885_1,LC4207EW - Occupancy rating (rooms) by religion of Household Reference Person (HRP)
NM_886_1,LC4208EW - Occupancy rating (bedrooms) by religion of Household Reference Person (HRP)
NM_887_1,LC4402EW - Accommodation type by type of central heating in household by tenure
NM_888_1,LC4403EW - Accommodation type by household spaces
NM_889_1,LC4404EW - Tenure by household size by number of rooms
