lsoa21cd,dependent_children,tenure,value_21,value_11,change,perc_change
E01000021,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,67,99,-32,-32.32
E01000021,Household with dependent children,Private rented or lives rent free,123,77,46,59.74
E01000021,No dependent children in household,Private rented or lives rent free,94,105,-11,-10.48
E01000021,Household with dependent children,Rented: Social rented,60,73,-13,-17.81
E01000021,No dependent children in household,Rented: Social rented,100,90,10,11.11
E01000022,Household with dependent children,Owned: Owns outright,5,13,-8,-61.54
E01000022,No dependent children in household,Owned: Owns outright,73,70,3,4.29
E01000022,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,94,89,5,5.62
E01000022,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,84,95,-11,-11.58
E01000022,Household with dependent children,Private rented or lives rent free,64,56,8,14.29
E01000022,No dependent children in household,Private rented or lives rent free,45,28,17,60.71
E01000022,Household with dependent children,Rented: Social rented,57,64,-7,-10.94
E01000022,No dependent children in household,Rented: Social rented,61,59,2,3.39
E01000024,Household with dependent children,Owned: Owns outright,3,12,-9,-75
E01000024,No dependent children in household,Owned: Owns outright,67,71,-4,-5.63
E01000024,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,89,77,12,15.58
E01000024,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,65,84,-19,-22.62
E01000024,Household with dependent children,Private rented or lives rent free,58,58,0,0
E01000024,No dependent children in household,Private rented or lives rent free,29,23,6,26.09
E01000024,Household with dependent children,Rented: Social rented,53,64,-11,-17.19
E01000024,No dependent children in household,Rented: Social rented,92,67,25,37.31
E01000025,Household with dependent children,Owned: Owns outright,15,9,6,66.67
E01000025,No dependent children in household,Owned: Owns outright,79,103,-24,-23.3
E01000025,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,102,94,8,8.51
E01000025,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,87,111,-24,-21.62
E01000025,Household with dependent children,Private rented or lives rent free,83,58,25,43.1
E01000025,No dependent children in household,Private rented or lives rent free,44,27,17,62.96
E01000025,Household with dependent children,Rented: Social rented,84,107,-23,-21.5
E01000025,No dependent children in household,Rented: Social rented,201,120,81,67.5
E01000027,Household with dependent children,Owned: Owns outright,11,10,1,10
E01000027,No dependent children in household,Owned: Owns outright,75,95,-20,-21.05
E01000027,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,105,95,10,10.53
E01000027,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,78,94,-16,-17.02
E01000027,Household with dependent children,Private rented or lives rent free,65,32,33,103.12
E01000027,No dependent children in household,Private rented or lives rent free,30,24,6,25
E01000027,Household with dependent children,Rented: Social rented,168,138,30,21.74
E01000027,No dependent children in household,Rented: Social rented,134,153,-19,-12.42
E01000028,Household with dependent children,Owned: Owns outright,3,4,-1,-25
E01000028,No dependent children in household,Owned: Owns outright,59,55,4,7.27
E01000028,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,68,75,-7,-9.33
E01000028,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,65,60,5,8.33
E01000028,Household with dependent children,Private rented or lives rent free,68,47,21,44.68
E01000028,No dependent children in household,Private rented or lives rent free,42,51,-9,-17.65
E01000028,Household with dependent children,Rented: Social rented,138,127,11,8.66
E01000028,No dependent children in household,Rented: Social rented,178,193,-15,-7.77
E01000029,Household with dependent children,Owned: Owns outright,16,19,-3,-15.79
E01000029,No dependent children in household,Owned: Owns outright,268,326,-58,-17.79
E01000029,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,127,95,32,33.68
E01000029,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,106,125,-19,-15.2
E01000029,Household with dependent children,Private rented or lives rent free,73,36,37,102.78
E01000029,No dependent children in household,Private rented or lives rent free,40,34,6,17.65
E01000029,Household with dependent children,Rented: Social rented,18,27,-9,-33.33
E01000029,No dependent children in household,Rented: Social rented,29,28,1,3.57
E01000030,Household with dependent children,Owned: Owns outright,10,5,5,100
E01000030,No dependent children in household,Owned: Owns outright,67,82,-15,-18.29
E01000030,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,117,67,50,74.63
E01000030,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,73,70,3,4.29
E01000030,Household with dependent children,Private rented or lives rent free,75,47,28,59.57
E01000030,No dependent children in household,Private rented or lives rent free,33,32,1,3.12
E01000030,Household with dependent children,Rented: Social rented,290,238,52,21.85
E01000030,No dependent children in household,Rented: Social rented,240,229,11,4.8
E01000031,Household with dependent children,Owned: Owns outright,18,20,-2,-10
E01000031,No dependent children in household,Owned: Owns outright,171,191,-20,-10.47
E01000031,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,121,120,1,0.83
E01000031,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,110,144,-34,-23.61
E01000031,Household with dependent children,Private rented or lives rent free,71,57,14,24.56
E01000031,No dependent children in household,Private rented or lives rent free,69,34,35,102.94
E01000031,Household with dependent children,Rented: Social rented,14,18,-4,-22.22
E01000031,No dependent children in household,Rented: Social rented,22,14,8,57.14
E01000032,Household with dependent children,Owned: Owns outright,11,12,-1,-8.33
E01000032,No dependent children in household,Owned: Owns outright,158,170,-12,-7.06
E01000032,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,90,101,-11,-10.89
E01000032,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,115,113,2,1.77
E01000032,Household with dependent children,Private rented or lives rent free,138,60,78,130
E01000032,No dependent children in household,Private rented or lives rent free,104,78,26,33.33
E01000032,Household with dependent children,Rented: Social rented,48,46,2,4.35
E01000032,No dependent children in household,Rented: Social rented,56,51,5,9.8
E01000033,Household with dependent children,Owned: Owns outright,10,7,3,42.86
E01000033,No dependent children in household,Owned: Owns outright,72,80,-8,-10
E01000033,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,64,67,-3,-4.48
E01000033,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,70,67,3,4.48
E01000033,Household with dependent children,Private rented or lives rent free,39,23,16,69.57
E01000033,No dependent children in household,Private rented or lives rent free,27,12,15,125
E01000033,Household with dependent children,Rented: Social rented,128,120,8,6.67
E01000033,No dependent children in household,Rented: Social rented,146,157,-11,-7.01
E01000034,Household with dependent children,Owned: Owns outright,9,10,-1,-10
E01000034,No dependent children in household,Owned: Owns outright,64,63,1,1.59
E01000034,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,74,80,-6,-7.5
E01000034,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,91,99,-8,-8.08
E01000034,Household with dependent children,Private rented or lives rent free,40,40,0,0
E01000034,No dependent children in household,Private rented or lives rent free,37,19,18,94.74
E01000034,Household with dependent children,Rented: Social rented,63,68,-5,-7.35
E01000034,No dependent children in household,Rented: Social rented,138,138,0,0
E01000035,Household with dependent children,Owned: Owns outright,8,11,-3,-27.27
E01000035,No dependent children in household,Owned: Owns outright,117,155,-38,-24.52
E01000035,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,93,109,-16,-14.68
E01000035,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,78,82,-4,-4.88
E01000035,Household with dependent children,Private rented or lives rent free,91,49,42,85.71
E01000035,No dependent children in household,Private rented or lives rent free,83,52,31,59.62
E01000035,Household with dependent children,Rented: Social rented,57,53,4,7.55
E01000035,No dependent children in household,Rented: Social rented,65,56,9,16.07
E01000036,Household with dependent children,Owned: Owns outright,16,17,-1,-5.88
E01000036,No dependent children in household,Owned: Owns outright,114,131,-17,-12.98
E01000036,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,90,109,-19,-17.43
E01000036,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,93,108,-15,-13.89
E01000036,Household with dependent children,Private rented or lives rent free,79,49,30,61.22
E01000036,No dependent children in household,Private rented or lives rent free,56,36,20,55.56
E01000036,Household with dependent children,Rented: Social rented,7,7,0,0
E01000036,No dependent children in household,Rented: Social rented,16,12,4,33.33
E01000037,Household with dependent children,Owned: Owns outright,12,22,-10,-45.45
E01000037,No dependent children in household,Owned: Owns outright,201,193,8,4.15
E01000037,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,127,145,-18,-12.41
E01000037,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,162,-30,-18.52
E01000037,Household with dependent children,Private rented or lives rent free,54,18,36,200
E01000037,No dependent children in household,Private rented or lives rent free,45,24,21,87.5
E01000037,Household with dependent children,Rented: Social rented,10,6,4,66.67
E01000037,No dependent children in household,Rented: Social rented,10,9,1,11.11
E01000038,Household with dependent children,Owned: Owns outright,15,19,-4,-21.05
E01000038,No dependent children in household,Owned: Owns outright,173,213,-40,-18.78
E01000038,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,126,122,4,3.28
E01000038,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,99,81,18,22.22
E01000038,Household with dependent children,Private rented or lives rent free,41,31,10,32.26
E01000038,No dependent children in household,Private rented or lives rent free,41,21,20,95.24
E01000038,Household with dependent children,Rented: Social rented,24,24,0,0
E01000038,No dependent children in household,Rented: Social rented,45,52,-7,-13.46
E01000039,Household with dependent children,Owned: Owns outright,14,10,4,40
E01000039,No dependent children in household,Owned: Owns outright,161,188,-27,-14.36
E01000039,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,131,134,-3,-2.24
E01000039,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,162,-30,-18.52
E01000039,Household with dependent children,Private rented or lives rent free,67,50,17,34
E01000039,No dependent children in household,Private rented or lives rent free,54,41,13,31.71
E01000039,Household with dependent children,Rented: Social rented,30,23,7,30.43
E01000039,No dependent children in household,Rented: Social rented,56,51,5,9.8
E01000040,Household with dependent children,Owned: Owns outright,7,6,1,16.67
E01000040,No dependent children in household,Owned: Owns outright,69,70,-1,-1.43
E01000040,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,67,64,3,4.69
E01000040,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,74,87,-13,-14.94
E01000040,Household with dependent children,Private rented or lives rent free,116,54,62,114.81
E01000040,No dependent children in household,Private rented or lives rent free,49,42,7,16.67
E01000040,Household with dependent children,Rented: Social rented,103,119,-16,-13.45
E01000040,No dependent children in household,Rented: Social rented,167,198,-31,-15.66
E01000041,Household with dependent children,Owned: Owns outright,14,4,10,250
E01000041,No dependent children in household,Owned: Owns outright,82,88,-6,-6.82
E01000041,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,111,110,1,0.91
E01000041,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,82,104,-22,-21.15
E01000041,Household with dependent children,Private rented or lives rent free,90,55,35,63.64
E01000041,No dependent children in household,Private rented or lives rent free,38,26,12,46.15
E01000041,Household with dependent children,Rented: Social rented,82,95,-13,-13.68
E01000041,No dependent children in household,Rented: Social rented,103,125,-22,-17.6
E01000042,Household with dependent children,Owned: Owns outright,5,9,-4,-44.44
E01000042,No dependent children in household,Owned: Owns outright,60,40,20,50
E01000042,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,91,71,20,28.17
E01000042,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,69,65,4,6.15
E01000042,Household with dependent children,Private rented or lives rent free,83,76,7,9.21
E01000042,No dependent children in household,Private rented or lives rent free,56,48,8,16.67
E01000042,Household with dependent children,Rented: Social rented,114,129,-15,-11.63
E01000042,No dependent children in household,Rented: Social rented,172,241,-69,-28.63
E01000043,Household with dependent children,Owned: Owns outright,9,11,-2,-18.18
E01000043,No dependent children in household,Owned: Owns outright,75,74,1,1.35
E01000043,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,76,80,-4,-5
E01000043,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,81,74,7,9.46
E01000043,Household with dependent children,Private rented or lives rent free,50,39,11,28.21
E01000043,No dependent children in household,Private rented or lives rent free,39,28,11,39.29
E01000043,Household with dependent children,Rented: Social rented,62,49,13,26.53
E01000043,No dependent children in household,Rented: Social rented,78,106,-28,-26.42
E01000044,Household with dependent children,Owned: Owns outright,18,16,2,12.5
E01000044,No dependent children in household,Owned: Owns outright,92,128,-36,-28.12
E01000044,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,104,114,-10,-8.77
E01000044,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,82,121,-39,-32.23
E01000044,Household with dependent children,Private rented or lives rent free,142,93,49,52.69
E01000044,No dependent children in household,Private rented or lives rent free,101,85,16,18.82
E01000044,Household with dependent children,Rented: Social rented,29,41,-12,-29.27
E01000044,No dependent children in household,Rented: Social rented,87,31,56,180.65
E01000045,Household with dependent children,Owned: Owns outright,6,8,-2,-25
E01000045,No dependent children in household,Owned: Owns outright,79,66,13,19.7
E01000045,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,86,99,-13,-13.13
E01000045,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,78,73,5,6.85
E01000045,Household with dependent children,Private rented or lives rent free,82,84,-2,-2.38
E01000045,No dependent children in household,Private rented or lives rent free,47,38,9,23.68
E01000045,Household with dependent children,Rented: Social rented,86,92,-6,-6.52
E01000045,No dependent children in household,Rented: Social rented,110,142,-32,-22.54
E01000046,Household with dependent children,Owned: Owns outright,10,10,0,0
E01000046,No dependent children in household,Owned: Owns outright,78,101,-23,-22.77
E01000046,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,103,117,-14,-11.97
E01000046,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,95,103,-8,-7.77
E01000046,Household with dependent children,Private rented or lives rent free,85,59,26,44.07
E01000046,No dependent children in household,Private rented or lives rent free,42,34,8,23.53
E01000046,Household with dependent children,Rented: Social rented,96,116,-20,-17.24
E01000046,No dependent children in household,Rented: Social rented,146,114,32,28.07
E01000049,Household with dependent children,Owned: Owns outright,4,5,-1,-20
E01000049,No dependent children in household,Owned: Owns outright,39,51,-12,-23.53
E01000049,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,49,51,-2,-3.92
E01000049,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,35,40,-5,-12.5
E01000049,Household with dependent children,Private rented or lives rent free,64,37,27,72.97
E01000049,No dependent children in household,Private rented or lives rent free,29,30,-1,-3.33
E01000049,Household with dependent children,Rented: Social rented,201,239,-38,-15.9
E01000049,No dependent children in household,Rented: Social rented,152,190,-38,-20
E01000050,Household with dependent children,Owned: Owns outright,15,12,3,25
E01000050,No dependent children in household,Owned: Owns outright,91,88,3,3.41
E01000050,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,75,72,3,4.17
E01000050,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,108,73,35,47.95
E01000050,Household with dependent children,Private rented or lives rent free,135,61,74,121.31
E01000050,No dependent children in household,Private rented or lives rent free,57,70,-13,-18.57
E01000050,Household with dependent children,Rented: Social rented,51,89,-38,-42.7
E01000050,No dependent children in household,Rented: Social rented,95,150,-55,-36.67
E01000051,Household with dependent children,Owned: Owns outright,2,1,1,100
E01000051,No dependent children in household,Owned: Owns outright,6,14,-8,-57.14
E01000051,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,35,33,2,6.06
E01000051,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,132,49,83,169.39
E01000051,Household with dependent children,Private rented or lives rent free,35,32,3,9.38
E01000051,No dependent children in household,Private rented or lives rent free,32,44,-12,-27.27
E01000051,Household with dependent children,Rented: Social rented,113,283,-170,-60.07
E01000051,No dependent children in household,Rented: Social rented,82,269,-187,-69.52
E01000052,Household with dependent children,Owned: Owns outright,19,13,6,46.15
E01000052,No dependent children in household,Owned: Owns outright,109,124,-15,-12.1
E01000052,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,99,108,-9,-8.33
E01000052,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,106,140,-34,-24.29
E01000052,Household with dependent children,Private rented or lives rent free,204,104,100,96.15
E01000052,No dependent children in household,Private rented or lives rent free,84,70,14,20
E01000052,Household with dependent children,Rented: Social rented,74,70,4,5.71
E01000052,No dependent children in household,Rented: Social rented,98,140,-42,-30
E01000053,Household with dependent children,Owned: Owns outright,4,9,-5,-55.56
E01000053,No dependent children in household,Owned: Owns outright,68,58,10,17.24
E01000053,Household with dependent children,Owned: Owns with a mortgage or loan or shared ownership,67,78,-11,-14.1
E01000053,No dependent children in household,Owned: Owns with a mortgage or loan or shared ownership,83,93,-10,-10.75
E01000053,Household with dependent children,Private rented or lives rent free,113,74,39,52.7
E01000053,No dependent children in household,Private rented or lives rent free,88,94,-6,-6.38
E01000053,Household with dependent children,Rented: Social rented,62,60,2,3.33
E01000053,No dependent children in household,Rented: Social rented,169,179,-10,-5.59
E01000054,Household with dependent children,Owned: Owns outright,5,12,-7,-58.33
