date,geography_code,fam_comp_name,c_sex_name,c_ecopuk11_name,obs_value
2001,E09000007,No working parents - Lone Parent family,Females,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family,Females,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family,Females,Unemployed,494
2001,E09000007,No working parents - Lone Parent family,Females,Economically inactive,3805
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,All persons,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,All persons,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,All persons,Unemployed,371
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,All persons,Economically inactive,2150
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Males,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Males,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Males,Unemployed,82
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Males,Economically inactive,228
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Females,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Females,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Females,Unemployed,289
2001,E09000007,No working parents - Lone Parent family - 1 dependent child,Females,Economically inactive,1922
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,All persons,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,All persons,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,All persons,Unemployed,228
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,All persons,Economically inactive,1940
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Males,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Males,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Males,Unemployed,23
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Males,Economically inactive,57
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Females,Employed Part-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Females,Employed Full-time,0
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Females,Unemployed,205
2001,E09000007,No working parents - Lone Parent family - 2 or more dependent children,Females,Economically inactive,1883
2001,E09000007,No working parents - Couple family,All persons,Employed Part-time,0
2001,E09000007,No working parents - Couple family,All persons,Employed Full-time,0
2001,E09000007,No working parents - Couple family,All persons,Unemployed,597
2001,E09000007,No working parents - Couple family,All persons,Economically inactive,3261
2001,E09000007,No working parents - Couple family,Males,Employed Part-time,0
2001,E09000007,No working parents - Couple family,Males,Employed Full-time,0
2001,E09000007,No working parents - Couple family,Males,Unemployed,485
2001,E09000007,No working parents - Couple family,Males,Economically inactive,1411
2001,E09000007,No working parents - Couple family,Females,Employed Part-time,0
2001,E09000007,No working parents - Couple family,Females,Employed Full-time,0
2001,E09000007,No working parents - Couple family,Females,Unemployed,112
2001,E09000007,No working parents - Couple family,Females,Economically inactive,1850
2001,E09000007,No working parents - Couple family - 1 dependent child,All persons,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,All persons,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,All persons,Unemployed,190
2001,E09000007,No working parents - Couple family - 1 dependent child,All persons,Economically inactive,1120
2001,E09000007,No working parents - Couple family - 1 dependent child,Males,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,Males,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,Males,Unemployed,140
2001,E09000007,No working parents - Couple family - 1 dependent child,Males,Economically inactive,503
2001,E09000007,No working parents - Couple family - 1 dependent child,Females,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,Females,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 1 dependent child,Females,Unemployed,50
2001,E09000007,No working parents - Couple family - 1 dependent child,Females,Economically inactive,617
2001,E09000007,No working parents - Couple family - 2 or more dependent children,All persons,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,All persons,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,All persons,Unemployed,407
2001,E09000007,No working parents - Couple family - 2 or more dependent children,All persons,Economically inactive,2141
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Males,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Males,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Males,Unemployed,345
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Males,Economically inactive,908
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Females,Employed Part-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Females,Employed Full-time,0
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Females,Unemployed,62
2001,E09000007,No working parents - Couple family - 2 or more dependent children,Females,Economically inactive,1233
2001,E09000001,All parents,All persons,Employed Part-time,73
2001,E09000001,All parents,All persons,Employed Full-time,381
2001,E09000001,All parents,All persons,Unemployed,37
2001,E09000001,All parents,All persons,Economically inactive,210
2001,E09000001,All parents,Males,Employed Part-time,13
2001,E09000001,All parents,Males,Employed Full-time,221
2001,E09000001,All parents,Males,Unemployed,23
2001,E09000001,All parents,Males,Economically inactive,38
2001,E09000001,All parents,Females,Employed Part-time,60
2001,E09000001,All parents,Females,Employed Full-time,160
2001,E09000001,All parents,Females,Unemployed,14
2001,E09000001,All parents,Females,Economically inactive,172
2001,E09000001,Both parents working - Couple family,All persons,Employed Part-time,53
2001,E09000001,Both parents working - Couple family,All persons,Employed Full-time,229
2001,E09000001,Both parents working - Couple family,All persons,Unemployed,0
2001,E09000001,Both parents working - Couple family,All persons,Economically inactive,0
2001,E09000001,Both parents working - Couple family,Males,Employed Part-time,10
2001,E09000001,Both parents working - Couple family,Males,Employed Full-time,130
2001,E09000001,Both parents working - Couple family,Males,Unemployed,0
2001,E09000001,Both parents working - Couple family,Males,Economically inactive,0
2001,E09000001,Both parents working - Couple family,Females,Employed Part-time,43
2001,E09000001,Both parents working - Couple family,Females,Employed Full-time,99
2001,E09000001,Both parents working - Couple family,Females,Unemployed,0
2001,E09000001,Both parents working - Couple family,Females,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,All persons,Employed Part-time,34
2001,E09000001,Both parents working - Couple family - 1 dependent child,All persons,Employed Full-time,158
2001,E09000001,Both parents working - Couple family - 1 dependent child,All persons,Unemployed,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,All persons,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,Males,Employed Part-time,10
2001,E09000001,Both parents working - Couple family - 1 dependent child,Males,Employed Full-time,86
2001,E09000001,Both parents working - Couple family - 1 dependent child,Males,Unemployed,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,Males,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,Females,Employed Part-time,24
2001,E09000001,Both parents working - Couple family - 1 dependent child,Females,Employed Full-time,72
2001,E09000001,Both parents working - Couple family - 1 dependent child,Females,Unemployed,0
2001,E09000001,Both parents working - Couple family - 1 dependent child,Females,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,All persons,Employed Part-time,19
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,All persons,Employed Full-time,71
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,All persons,Unemployed,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,All persons,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Males,Employed Part-time,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Males,Employed Full-time,44
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Males,Unemployed,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Males,Economically inactive,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Females,Employed Part-time,19
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Females,Employed Full-time,27
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Females,Unemployed,0
2001,E09000001,Both parents working - Couple family - 2 or more dependent children,Females,Economically inactive,0
2001,E09000001,One parent working,All persons,Employed Part-time,20
2001,E09000001,One parent working,All persons,Employed Full-time,152
2001,E09000001,One parent working,All persons,Unemployed,6
2001,E09000001,One parent working,All persons,Economically inactive,80
2001,E09000001,One parent working,Males,Employed Part-time,3
2001,E09000001,One parent working,Males,Employed Full-time,91
2001,E09000001,One parent working,Males,Unemployed,3
2001,E09000001,One parent working,Males,Economically inactive,8
2001,E09000001,One parent working,Females,Employed Part-time,17
2001,E09000001,One parent working,Females,Employed Full-time,61
2001,E09000001,One parent working,Females,Unemployed,3
2001,E09000001,One parent working,Females,Economically inactive,72
2001,E09000001,One parent working - Lone Parent family,All persons,Employed Part-time,17
2001,E09000001,One parent working - Lone Parent family,All persons,Employed Full-time,75
2001,E09000001,One parent working - Lone Parent family,All persons,Unemployed,0
2001,E09000001,One parent working - Lone Parent family,All persons,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family,Males,Employed Part-time,0
2001,E09000001,One parent working - Lone Parent family,Males,Employed Full-time,21
2001,E09000001,One parent working - Lone Parent family,Males,Unemployed,0
2001,E09000001,One parent working - Lone Parent family,Males,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family,Females,Employed Part-time,17
2001,E09000001,One parent working - Lone Parent family,Females,Employed Full-time,54
2001,E09000001,One parent working - Lone Parent family,Females,Unemployed,0
2001,E09000001,One parent working - Lone Parent family,Females,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,All persons,Employed Part-time,7
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,All persons,Employed Full-time,59
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,All persons,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,All persons,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Males,Employed Part-time,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Males,Employed Full-time,14
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Males,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Males,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Females,Employed Part-time,7
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Females,Employed Full-time,45
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Females,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 1 dependent child,Females,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,All persons,Employed Part-time,10
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,All persons,Employed Full-time,16
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,All persons,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,All persons,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Males,Employed Part-time,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Males,Employed Full-time,7
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Males,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Males,Economically inactive,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Females,Employed Part-time,10
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Females,Employed Full-time,9
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Females,Unemployed,0
2001,E09000001,One parent working - Lone Parent family - 2 or more dependent children,Females,Economically inactive,0
2001,E09000001,One parent working - Couple family,All persons,Employed Part-time,3
2001,E09000001,One parent working - Couple family,All persons,Employed Full-time,77
2001,E09000001,One parent working - Couple family,All persons,Unemployed,6
2001,E09000001,One parent working - Couple family,All persons,Economically inactive,80
2001,E09000001,One parent working - Couple family,Males,Employed Part-time,3
2001,E09000001,One parent working - Couple family,Males,Employed Full-time,70
2001,E09000001,One parent working - Couple family,Males,Unemployed,3
2001,E09000001,One parent working - Couple family,Males,Economically inactive,8
2001,E09000001,One parent working - Couple family,Females,Employed Part-time,0
2001,E09000001,One parent working - Couple family,Females,Employed Full-time,7
2001,E09000001,One parent working - Couple family,Females,Unemployed,3
2001,E09000001,One parent working - Couple family,Females,Economically inactive,72
2001,E09000001,One parent working - Couple family - 1 dependent child,All persons,Employed Part-time,0
2001,E09000001,One parent working - Couple family - 1 dependent child,All persons,Employed Full-time,38
2001,E09000001,One parent working - Couple family - 1 dependent child,All persons,Unemployed,3
2001,E09000001,One parent working - Couple family - 1 dependent child,All persons,Economically inactive,39
2001,E09000001,One parent working - Couple family - 1 dependent child,Males,Employed Part-time,0
2001,E09000001,One parent working - Couple family - 1 dependent child,Males,Employed Full-time,35
2001,E09000001,One parent working - Couple family - 1 dependent child,Males,Unemployed,0
2001,E09000001,One parent working - Couple family - 1 dependent child,Males,Economically inactive,4
2001,E09000001,One parent working - Couple family - 1 dependent child,Females,Employed Part-time,0
2001,E09000001,One parent working - Couple family - 1 dependent child,Females,Employed Full-time,3
2001,E09000001,One parent working - Couple family - 1 dependent child,Females,Unemployed,3
2001,E09000001,One parent working - Couple family - 1 dependent child,Females,Economically inactive,35
2001,E09000001,One parent working - Couple family - 2 or more dependent children,All persons,Employed Part-time,3
2001,E09000001,One parent working - Couple family - 2 or more dependent children,All persons,Employed Full-time,39
2001,E09000001,One parent working - Couple family - 2 or more dependent children,All persons,Unemployed,3
2001,E09000001,One parent working - Couple family - 2 or more dependent children,All persons,Economically inactive,41
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Males,Employed Part-time,3
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Males,Employed Full-time,35
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Males,Unemployed,3
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Males,Economically inactive,4
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Females,Employed Part-time,0
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Females,Employed Full-time,4
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Females,Unemployed,0
2001,E09000001,One parent working - Couple family - 2 or more dependent children,Females,Economically inactive,37
2001,E09000001,No working parents,All persons,Employed Part-time,0
2001,E09000001,No working parents,All persons,Employed Full-time,0
2001,E09000001,No working parents,All persons,Unemployed,31
2001,E09000001,No working parents,All persons,Economically inactive,130
2001,E09000001,No working parents,Males,Employed Part-time,0
2001,E09000001,No working parents,Males,Employed Full-time,0
2001,E09000001,No working parents,Males,Unemployed,20
2001,E09000001,No working parents,Males,Economically inactive,30
2001,E09000001,No working parents,Females,Employed Part-time,0
2001,E09000001,No working parents,Females,Employed Full-time,0
2001,E09000001,No working parents,Females,Unemployed,11
2001,E09000001,No working parents,Females,Economically inactive,100
2001,E09000001,No working parents - Lone Parent family,All persons,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family,All persons,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family,All persons,Unemployed,14
2001,E09000001,No working parents - Lone Parent family,All persons,Economically inactive,75
2001,E09000001,No working parents - Lone Parent family,Males,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family,Males,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family,Males,Unemployed,3
2001,E09000001,No working parents - Lone Parent family,Males,Economically inactive,11
2001,E09000001,No working parents - Lone Parent family,Females,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family,Females,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family,Females,Unemployed,11
2001,E09000001,No working parents - Lone Parent family,Females,Economically inactive,64
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,All persons,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,All persons,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,All persons,Unemployed,7
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,All persons,Economically inactive,48
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Males,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Males,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Males,Unemployed,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Males,Economically inactive,7
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Females,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Females,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Females,Unemployed,7
2001,E09000001,No working parents - Lone Parent family - 1 dependent child,Females,Economically inactive,41
2001,E09000001,No working parents - Lone Parent family - 2 or more dependent children,All persons,Employed Part-time,0
2001,E09000001,No working parents - Lone Parent family - 2 or more dependent children,All persons,Employed Full-time,0
2001,E09000001,No working parents - Lone Parent family - 2 or more dependent children,All persons,Unemployed,7
2001,E09000001,No working parents - Lone Parent family - 2 or more dependent children,All persons,Economically inactive,27
