date,geography_code,c_hhchuk11_name,c_tenhuk11_name,occrat_name,c_hhchuk11_code,c_tenhuk11_code,occrat_code,obs_value
2001,E09000007,One person household,Rented from council,Occupancy rating of +2 or more,1,2,1,1203
2001,E09000007,One person household,Rented from council,Occupancy rating of +1,1,2,2,2260
2001,E09000007,One person household,Rented from council,Occupancy rating of 0,1,2,3,4565
2001,E09000007,One person household,Rented from council,Occupancy rating of -1 or less,1,2,4,3238
2001,E09000007,One person household,Other social rented,All categories: Occupancy rating,1,3,0,5457
2001,E09000007,One person household,Other social rented,Occupancy rating of +2 or more,1,3,1,341
2001,E09000007,One person household,Other social rented,Occupancy rating of +1,1,3,2,861
2001,E09000007,One person household,Other social rented,Occupancy rating of 0,1,3,3,2354
2001,E09000007,One person household,Other social rented,Occupancy rating of -1 or less,1,3,4,1901
2001,E09000007,One person household,Private rented or living rent free,All categories: Occupancy rating,1,4,0,11973
2001,E09000007,One person household,Private rented or living rent free,Occupancy rating of +2 or more,1,4,1,1192
2001,E09000007,One person household,Private rented or living rent free,Occupancy rating of +1,1,4,2,2244
2001,E09000007,One person household,Private rented or living rent free,Occupancy rating of 0,1,4,3,3333
2001,E09000007,One person household,Private rented or living rent free,Occupancy rating of -1 or less,1,4,4,5204
2001,E09000007,Pensioner,All categories: Tenure,All categories: Occupancy rating,2,0,0,10894
2001,E09000007,Pensioner,All categories: Tenure,Occupancy rating of +2 or more,2,0,1,2111
2001,E09000007,Pensioner,All categories: Tenure,Occupancy rating of +1,2,0,2,2728
2001,E09000007,Pensioner,All categories: Tenure,Occupancy rating of 0,2,0,3,3678
2001,E09000007,Pensioner,All categories: Tenure,Occupancy rating of -1 or less,2,0,4,2377
2001,E09000007,Pensioner,Owned,All categories: Occupancy rating,2,1,0,3187
2001,E09000007,Pensioner,Owned,Occupancy rating of +2 or more,2,1,1,1175
2001,E09000007,Pensioner,Owned,Occupancy rating of +1,2,1,2,924
2001,E09000007,Pensioner,Owned,Occupancy rating of 0,2,1,3,762
2001,E09000007,Pensioner,Owned,Occupancy rating of -1 or less,2,1,4,326
2001,E09000007,Pensioner,Rented from council,All categories: Occupancy rating,2,2,0,3814
2001,E09000007,Pensioner,Rented from council,Occupancy rating of +2 or more,2,2,1,494
2001,E09000007,Pensioner,Rented from council,Occupancy rating of +1,2,2,2,964
2001,E09000007,Pensioner,Rented from council,Occupancy rating of 0,2,2,3,1555
2001,E09000007,Pensioner,Rented from council,Occupancy rating of -1 or less,2,2,4,801
2001,E09000007,Pensioner,Other social rented,All categories: Occupancy rating,2,3,0,1467
2001,E09000007,Pensioner,Other social rented,Occupancy rating of +2 or more,2,3,1,99
2001,E09000007,Pensioner,Other social rented,Occupancy rating of +1,2,3,2,232
2001,E09000007,Pensioner,Other social rented,Occupancy rating of 0,2,3,3,569
2001,E09000007,Pensioner,Other social rented,Occupancy rating of -1 or less,2,3,4,567
2001,E09000007,Pensioner,Private rented or living rent free,All categories: Occupancy rating,2,4,0,2426
2001,E09000007,Pensioner,Private rented or living rent free,Occupancy rating of +2 or more,2,4,1,343
2001,E09000007,Pensioner,Private rented or living rent free,Occupancy rating of +1,2,4,2,608
2001,E09000007,Pensioner,Private rented or living rent free,Occupancy rating of 0,2,4,3,792
2001,E09000007,Pensioner,Private rented or living rent free,Occupancy rating of -1 or less,2,4,4,683
2001,E09000007,Other,All categories: Tenure,All categories: Occupancy rating,3,0,0,31323
2001,E09000007,Other,All categories: Tenure,Occupancy rating of +2 or more,3,0,1,4002
2001,E09000007,Other,All categories: Tenure,Occupancy rating of +1,3,0,2,6643
2001,E09000007,Other,All categories: Tenure,Occupancy rating of 0,3,0,3,10659
2001,E09000007,Other,All categories: Tenure,Occupancy rating of -1 or less,3,0,4,10019
2001,E09000007,Other,Owned,All categories: Occupancy rating,3,1,0,10334
2001,E09000007,Other,Owned,Occupancy rating of +2 or more,3,1,1,2202
2001,E09000007,Other,Owned,Occupancy rating of +1,3,1,2,3082
2001,E09000007,Other,Owned,Occupancy rating of 0,3,1,3,3323
2001,E09000007,Other,Owned,Occupancy rating of -1 or less,3,1,4,1727
2001,E09000007,Other,Rented from council,All categories: Occupancy rating,3,2,0,7452
2001,E09000007,Other,Rented from council,Occupancy rating of +2 or more,3,2,1,709
2001,E09000007,Other,Rented from council,Occupancy rating of +1,3,2,2,1296
2001,E09000007,Other,Rented from council,Occupancy rating of 0,3,2,3,3010
2001,E09000007,Other,Rented from council,Occupancy rating of -1 or less,3,2,4,2437
2001,E09000007,Other,Other social rented,All categories: Occupancy rating,3,3,0,3990
2001,E09000007,Other,Other social rented,Occupancy rating of +2 or more,3,3,1,242
2001,E09000007,Other,Other social rented,Occupancy rating of +1,3,3,2,629
2001,E09000007,Other,Other social rented,Occupancy rating of 0,3,3,3,1785
2001,E09000007,Other,Other social rented,Occupancy rating of -1 or less,3,3,4,1334
2001,E09000007,Other,Private rented or living rent free,All categories: Occupancy rating,3,4,0,9547
2001,E09000007,Other,Private rented or living rent free,Occupancy rating of +2 or more,3,4,1,849
2001,E09000007,Other,Private rented or living rent free,Occupancy rating of +1,3,4,2,1636
2001,E09000007,Other,Private rented or living rent free,Occupancy rating of 0,3,4,3,2541
2001,E09000007,Other,Private rented or living rent free,Occupancy rating of -1 or less,3,4,4,4521
2001,E09000007,One family and no others,All categories: Tenure,All categories: Occupancy rating,4,0,0,35943
2001,E09000007,One family and no others,All categories: Tenure,Occupancy rating of +2 or more,4,0,1,9240
2001,E09000007,One family and no others,All categories: Tenure,Occupancy rating of +1,4,0,2,7291
2001,E09000007,One family and no others,All categories: Tenure,Occupancy rating of 0,4,0,3,10408
2001,E09000007,One family and no others,All categories: Tenure,Occupancy rating of -1 or less,4,0,4,9004
2001,E09000007,One family and no others,Owned,All categories: Occupancy rating,4,1,0,14283
2001,E09000007,One family and no others,Owned,Occupancy rating of +2 or more,4,1,1,6821
2001,E09000007,One family and no others,Owned,Occupancy rating of +1,4,1,2,3233
2001,E09000007,One family and no others,Owned,Occupancy rating of 0,4,1,3,2725
2001,E09000007,One family and no others,Owned,Occupancy rating of -1 or less,4,1,4,1504
2001,E09000007,One family and no others,Rented from council,All categories: Occupancy rating,4,2,0,9993
2001,E09000007,One family and no others,Rented from council,Occupancy rating of +2 or more,4,2,1,885
2001,E09000007,One family and no others,Rented from council,Occupancy rating of +1,4,2,2,1679
2001,E09000007,One family and no others,Rented from council,Occupancy rating of 0,4,2,3,3490
2001,E09000007,One family and no others,Rented from council,Occupancy rating of -1 or less,4,2,4,3939
2001,E09000007,One family and no others,Other social rented,All categories: Occupancy rating,4,3,0,3943
2001,E09000007,One family and no others,Other social rented,Occupancy rating of +2 or more,4,3,1,293
2001,E09000007,One family and no others,Other social rented,Occupancy rating of +1,4,3,2,601
2001,E09000007,One family and no others,Other social rented,Occupancy rating of 0,4,3,3,1586
2001,E09000007,One family and no others,Other social rented,Occupancy rating of -1 or less,4,3,4,1463
2001,E09000007,One family and no others,Private rented or living rent free,All categories: Occupancy rating,4,4,0,7724
2001,E09000007,One family and no others,Private rented or living rent free,Occupancy rating of +2 or more,4,4,1,1241
2001,E09000007,One family and no others,Private rented or living rent free,Occupancy rating of +1,4,4,2,1778
2001,E09000007,One family and no others,Private rented or living rent free,Occupancy rating of 0,4,4,3,2607
2001,E09000007,One family and no others,Private rented or living rent free,Occupancy rating of -1 or less,4,4,4,2098
2001,E09000007,All pensioners,All categories: Tenure,All categories: Occupancy rating,5,0,0,2740
2001,E09000007,All pensioners,All categories: Tenure,Occupancy rating of +2 or more,5,0,1,1417
2001,E09000007,All pensioners,All categories: Tenure,Occupancy rating of +1,5,0,2,727
2001,E09000007,All pensioners,All categories: Tenure,Occupancy rating of 0,5,0,3,466
2001,E09000007,All pensioners,All categories: Tenure,Occupancy rating of -1 or less,5,0,4,130
2001,E09000007,All pensioners,Owned,All categories: Occupancy rating,5,1,0,1413
2001,E09000007,All pensioners,Owned,Occupancy rating of +2 or more,5,1,1,1003
2001,E09000007,All pensioners,Owned,Occupancy rating of +1,5,1,2,270
2001,E09000007,All pensioners,Owned,Occupancy rating of 0,5,1,3,120
2001,E09000007,All pensioners,Owned,Occupancy rating of -1 or less,5,1,4,20
2001,E09000007,All pensioners,Rented from council,All categories: Occupancy rating,5,2,0,796
2001,E09000007,All pensioners,Rented from council,Occupancy rating of +2 or more,5,2,1,246
2001,E09000007,All pensioners,Rented from council,Occupancy rating of +1,5,2,2,284
2001,E09000007,All pensioners,Rented from council,Occupancy rating of 0,5,2,3,210
2001,E09000007,All pensioners,Rented from council,Occupancy rating of -1 or less,5,2,4,56
2001,E09000007,All pensioners,Other social rented,All categories: Occupancy rating,5,3,0,199
2001,E09000007,All pensioners,Other social rented,Occupancy rating of +2 or more,5,3,1,54
2001,E09000007,All pensioners,Other social rented,Occupancy rating of +1,5,3,2,63
2001,E09000007,All pensioners,Other social rented,Occupancy rating of 0,5,3,3,67
2001,E09000007,All pensioners,Other social rented,Occupancy rating of -1 or less,5,3,4,15
2001,E09000007,All pensioners,Private rented or living rent free,All categories: Occupancy rating,5,4,0,332
2001,E09000007,All pensioners,Private rented or living rent free,Occupancy rating of +2 or more,5,4,1,114
2001,E09000007,All pensioners,Private rented or living rent free,Occupancy rating of +1,5,4,2,110
2001,E09000007,All pensioners,Private rented or living rent free,Occupancy rating of 0,5,4,3,69
2001,E09000007,All pensioners,Private rented or living rent free,Occupancy rating of -1 or less,5,4,4,39
2001,E09000007,Married couple households,All categories: Tenure,All categories: Occupancy rating,6,0,0,16384
2001,E09000007,Married couple households,All categories: Tenure,Occupancy rating of +2 or more,6,0,1,5451
2001,E09000007,Married couple households,All categories: Tenure,Occupancy rating of +1,6,0,2,3372
2001,E09000007,Married couple households,All categories: Tenure,Occupancy rating of 0,6,0,3,3969
2001,E09000007,Married couple households,All categories: Tenure,Occupancy rating of -1 or less,6,0,4,3592
2001,E09000007,Married couple households,Owned,All categories: Occupancy rating,6,1,0,8014
2001,E09000007,Married couple households,Owned,Occupancy rating of +2 or more,6,1,1,4246
2001,E09000007,Married couple households,Owned,Occupancy rating of +1,6,1,2,1692
2001,E09000007,Married couple households,Owned,Occupancy rating of 0,6,1,3,1317
2001,E09000007,Married couple households,Owned,Occupancy rating of -1 or less,6,1,4,759
2001,E09000007,Married couple households,Rented from council,All categories: Occupancy rating,6,2,0,3586
2001,E09000007,Married couple households,Rented from council,Occupancy rating of +2 or more,6,2,1,325
2001,E09000007,Married couple households,Rented from council,Occupancy rating of +1,6,2,2,583
2001,E09000007,Married couple households,Rented from council,Occupancy rating of 0,6,2,3,1134
2001,E09000007,Married couple households,Rented from council,Occupancy rating of -1 or less,6,2,4,1544
2001,E09000007,Married couple households,Other social rented,All categories: Occupancy rating,6,3,0,1375
2001,E09000007,Married couple households,Other social rented,Occupancy rating of +2 or more,6,3,1,116
2001,E09000007,Married couple households,Other social rented,Occupancy rating of +1,6,3,2,205
2001,E09000007,Married couple households,Other social rented,Occupancy rating of 0,6,3,3,532
2001,E09000007,Married couple households,Other social rented,Occupancy rating of -1 or less,6,3,4,522
2001,E09000007,Married couple households,Private rented or living rent free,All categories: Occupancy rating,6,4,0,3409
2001,E09000007,Married couple households,Private rented or living rent free,Occupancy rating of +2 or more,6,4,1,764
2001,E09000007,Married couple households,Private rented or living rent free,Occupancy rating of +1,6,4,2,892
2001,E09000007,Married couple households,Private rented or living rent free,Occupancy rating of 0,6,4,3,986
2001,E09000007,Married couple households,Private rented or living rent free,Occupancy rating of -1 or less,6,4,4,767
2001,E09000007,No children,All categories: Tenure,All categories: Occupancy rating,7,0,0,5601
2001,E09000007,No children,All categories: Tenure,Occupancy rating of +2 or more,7,0,1,2190
2001,E09000007,No children,All categories: Tenure,Occupancy rating of +1,7,0,2,1513
2001,E09000007,No children,All categories: Tenure,Occupancy rating of 0,7,0,3,1234
2001,E09000007,No children,All categories: Tenure,Occupancy rating of -1 or less,7,0,4,664
2001,E09000007,No children,Owned,All categories: Occupancy rating,7,1,0,2939
2001,E09000007,No children,Owned,Occupancy rating of +2 or more,7,1,1,1616
2001,E09000007,No children,Owned,Occupancy rating of +1,7,1,2,758
2001,E09000007,No children,Owned,Occupancy rating of 0,7,1,3,418
2001,E09000007,No children,Owned,Occupancy rating of -1 or less,7,1,4,147
2001,E09000007,No children,Rented from council,All categories: Occupancy rating,7,2,0,583
2001,E09000007,No children,Rented from council,Occupancy rating of +2 or more,7,2,1,162
2001,E09000007,No children,Rented from council,Occupancy rating of +1,7,2,2,164
2001,E09000007,No children,Rented from council,Occupancy rating of 0,7,2,3,154
2001,E09000007,No children,Rented from council,Occupancy rating of -1 or less,7,2,4,103
2001,E09000007,No children,Other social rented,All categories: Occupancy rating,7,3,0,256
2001,E09000007,No children,Other social rented,Occupancy rating of +2 or more,7,3,1,49
2001,E09000007,No children,Other social rented,Occupancy rating of +1,7,3,2,63
2001,E09000007,No children,Other social rented,Occupancy rating of 0,7,3,3,96
2001,E09000007,No children,Other social rented,Occupancy rating of -1 or less,7,3,4,48
2001,E09000007,No children,Private rented or living rent free,All categories: Occupancy rating,7,4,0,1823
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of +2 or more,7,4,1,363
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of +1,7,4,2,528
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of 0,7,4,3,566
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of -1 or less,7,4,4,366
2001,E09000007,With dependent children,All categories: Tenure,All categories: Occupancy rating,8,0,0,8691
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of +2 or more,8,0,1,2565
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of +1,8,0,2,1324
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of 0,8,0,3,2176
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of -1 or less,8,0,4,2626
2001,E09000007,With dependent children,Owned,All categories: Occupancy rating,8,1,0,3980
2001,E09000007,With dependent children,Owned,Occupancy rating of +2 or more,8,1,1,2073
2001,E09000007,With dependent children,Owned,Occupancy rating of +1,8,1,2,701
2001,E09000007,With dependent children,Owned,Occupancy rating of 0,8,1,3,698
2001,E09000007,With dependent children,Owned,Occupancy rating of -1 or less,8,1,4,508
2001,E09000007,With dependent children,Rented from council,All categories: Occupancy rating,8,2,0,2356
2001,E09000007,With dependent children,Rented from council,Occupancy rating of +2 or more,8,2,1,91
2001,E09000007,With dependent children,Rented from council,Occupancy rating of +1,8,2,2,219
2001,E09000007,With dependent children,Rented from council,Occupancy rating of 0,8,2,3,745
2001,E09000007,With dependent children,Rented from council,Occupancy rating of -1 or less,8,2,4,1301
2001,E09000007,With dependent children,Other social rented,All categories: Occupancy rating,8,3,0,967
2001,E09000007,With dependent children,Other social rented,Occupancy rating of +2 or more,8,3,1,43
2001,E09000007,With dependent children,Other social rented,Occupancy rating of +1,8,3,2,104
2001,E09000007,With dependent children,Other social rented,Occupancy rating of 0,8,3,3,375
2001,E09000007,With dependent children,Other social rented,Occupancy rating of -1 or less,8,3,4,445
2001,E09000007,With dependent children,Private rented or living rent free,All categories: Occupancy rating,8,4,0,1388
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of +2 or more,8,4,1,358
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of +1,8,4,2,300
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of 0,8,4,3,358
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of -1 or less,8,4,4,372
2001,E09000007,All children non-dependent,All categories: Tenure,All categories: Occupancy rating,9,0,0,2092
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of +2 or more,9,0,1,696
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of +1,9,0,2,535
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of 0,9,0,3,559
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of -1 or less,9,0,4,302
2001,E09000007,All children non-dependent,Owned,All categories: Occupancy rating,9,1,0,1095
2001,E09000007,All children non-dependent,Owned,Occupancy rating of +2 or more,9,1,1,557
2001,E09000007,All children non-dependent,Owned,Occupancy rating of +1,9,1,2,233
2001,E09000007,All children non-dependent,Owned,Occupancy rating of 0,9,1,3,201
2001,E09000007,All children non-dependent,Owned,Occupancy rating of -1 or less,9,1,4,104
2001,E09000007,All children non-dependent,Rented from council,All categories: Occupancy rating,9,2,0,647
2001,E09000007,All children non-dependent,Rented from council,Occupancy rating of +2 or more,9,2,1,72
2001,E09000007,All children non-dependent,Rented from council,Occupancy rating of +1,9,2,2,200
2001,E09000007,All children non-dependent,Rented from council,Occupancy rating of 0,9,2,3,235
2001,E09000007,All children non-dependent,Rented from council,Occupancy rating of -1 or less,9,2,4,140
2001,E09000007,All children non-dependent,Other social rented,All categories: Occupancy rating,9,3,0,152
2001,E09000007,All children non-dependent,Other social rented,Occupancy rating of +2 or more,9,3,1,24
2001,E09000007,All children non-dependent,Other social rented,Occupancy rating of +1,9,3,2,38
2001,E09000007,All children non-dependent,Other social rented,Occupancy rating of 0,9,3,3,61
2001,E09000007,All children non-dependent,Other social rented,Occupancy rating of -1 or less,9,3,4,29
2001,E09000007,All children non-dependent,Private rented or living rent free,All categories: Occupancy rating,9,4,0,198
2001,E09000007,All children non-dependent,Private rented or living rent free,Occupancy rating of +2 or more,9,4,1,43
2001,E09000007,All children non-dependent,Private rented or living rent free,Occupancy rating of +1,9,4,2,64
2001,E09000007,All children non-dependent,Private rented or living rent free,Occupancy rating of 0,9,4,3,62
2001,E09000007,All children non-dependent,Private rented or living rent free,Occupancy rating of -1 or less,9,4,4,29
2001,E09000007,Cohabiting couple households,All categories: Tenure,All categories: Occupancy rating,10,0,0,7939
2001,E09000007,Cohabiting couple households,All categories: Tenure,Occupancy rating of +2 or more,10,0,1,1486
2001,E09000007,Cohabiting couple households,All categories: Tenure,Occupancy rating of +1,10,0,2,1872
2001,E09000007,Cohabiting couple households,All categories: Tenure,Occupancy rating of 0,10,0,3,2743
2001,E09000007,Cohabiting couple households,All categories: Tenure,Occupancy rating of -1 or less,10,0,4,1838
2001,E09000007,Cohabiting couple households,Owned,All categories: Occupancy rating,10,1,0,3220
2001,E09000007,Cohabiting couple households,Owned,Occupancy rating of +2 or more,10,1,1,1118
2001,E09000007,Cohabiting couple households,Owned,Occupancy rating of +1,10,1,2,946
2001,E09000007,Cohabiting couple households,Owned,Occupancy rating of 0,10,1,3,813
2001,E09000007,Cohabiting couple households,Owned,Occupancy rating of -1 or less,10,1,4,343
2001,E09000007,Cohabiting couple households,Rented from council,All categories: Occupancy rating,10,2,0,992
2001,E09000007,Cohabiting couple households,Rented from council,Occupancy rating of +2 or more,10,2,1,71
2001,E09000007,Cohabiting couple households,Rented from council,Occupancy rating of +1,10,2,2,168
2001,E09000007,Cohabiting couple households,Rented from council,Occupancy rating of 0,10,2,3,407
2001,E09000007,Cohabiting couple households,Rented from council,Occupancy rating of -1 or less,10,2,4,346
2001,E09000007,Cohabiting couple households,Other social rented,All categories: Occupancy rating,10,3,0,589
2001,E09000007,Cohabiting couple households,Other social rented,Occupancy rating of +2 or more,10,3,1,41
2001,E09000007,Cohabiting couple households,Other social rented,Occupancy rating of +1,10,3,2,99
2001,E09000007,Cohabiting couple households,Other social rented,Occupancy rating of 0,10,3,3,247
2001,E09000007,Cohabiting couple households,Other social rented,Occupancy rating of -1 or less,10,3,4,202
2001,E09000007,Cohabiting couple households,Private rented or living rent free,All categories: Occupancy rating,10,4,0,3138
2001,E09000007,Cohabiting couple households,Private rented or living rent free,Occupancy rating of +2 or more,10,4,1,256
2001,E09000007,Cohabiting couple households,Private rented or living rent free,Occupancy rating of +1,10,4,2,659
2001,E09000007,Cohabiting couple households,Private rented or living rent free,Occupancy rating of 0,10,4,3,1276
2001,E09000007,Cohabiting couple households,Private rented or living rent free,Occupancy rating of -1 or less,10,4,4,947
2001,E09000007,No children,All categories: Tenure,All categories: Occupancy rating,11,0,0,6061
2001,E09000007,No children,All categories: Tenure,Occupancy rating of +2 or more,11,0,1,1124
2001,E09000007,No children,All categories: Tenure,Occupancy rating of +1,11,0,2,1561
2001,E09000007,No children,All categories: Tenure,Occupancy rating of 0,11,0,3,2129
2001,E09000007,No children,All categories: Tenure,Occupancy rating of -1 or less,11,0,4,1247
2001,E09000007,No children,Owned,All categories: Occupancy rating,11,1,0,2418
2001,E09000007,No children,Owned,Occupancy rating of +2 or more,11,1,1,825
2001,E09000007,No children,Owned,Occupancy rating of +1,11,1,2,779
2001,E09000007,No children,Owned,Occupancy rating of 0,11,1,3,600
2001,E09000007,No children,Owned,Occupancy rating of -1 or less,11,1,4,214
2001,E09000007,No children,Rented from council,All categories: Occupancy rating,11,2,0,419
2001,E09000007,No children,Rented from council,Occupancy rating of +2 or more,11,2,1,40
2001,E09000007,No children,Rented from council,Occupancy rating of +1,11,2,2,102
2001,E09000007,No children,Rented from council,Occupancy rating of 0,11,2,3,177
2001,E09000007,No children,Rented from council,Occupancy rating of -1 or less,11,2,4,100
2001,E09000007,No children,Other social rented,All categories: Occupancy rating,11,3,0,312
2001,E09000007,No children,Other social rented,Occupancy rating of +2 or more,11,3,1,31
2001,E09000007,No children,Other social rented,Occupancy rating of +1,11,3,2,62
2001,E09000007,No children,Other social rented,Occupancy rating of 0,11,3,3,145
2001,E09000007,No children,Other social rented,Occupancy rating of -1 or less,11,3,4,74
2001,E09000007,No children,Private rented or living rent free,All categories: Occupancy rating,11,4,0,2912
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of +2 or more,11,4,1,228
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of +1,11,4,2,618
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of 0,11,4,3,1207
2001,E09000007,No children,Private rented or living rent free,Occupancy rating of -1 or less,11,4,4,859
2001,E09000007,With dependent children,All categories: Tenure,All categories: Occupancy rating,12,0,0,1676
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of +2 or more,12,0,1,307
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of +1,12,0,2,261
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of 0,12,0,3,557
2001,E09000007,With dependent children,All categories: Tenure,Occupancy rating of -1 or less,12,0,4,551
2001,E09000007,With dependent children,Owned,All categories: Occupancy rating,12,1,0,702
2001,E09000007,With dependent children,Owned,Occupancy rating of +2 or more,12,1,1,252
2001,E09000007,With dependent children,Owned,Occupancy rating of +1,12,1,2,139
2001,E09000007,With dependent children,Owned,Occupancy rating of 0,12,1,3,193
2001,E09000007,With dependent children,Owned,Occupancy rating of -1 or less,12,1,4,118
2001,E09000007,With dependent children,Rented from council,All categories: Occupancy rating,12,2,0,512
2001,E09000007,With dependent children,Rented from council,Occupancy rating of +2 or more,12,2,1,22
2001,E09000007,With dependent children,Rented from council,Occupancy rating of +1,12,2,2,52
2001,E09000007,With dependent children,Rented from council,Occupancy rating of 0,12,2,3,209
2001,E09000007,With dependent children,Rented from council,Occupancy rating of -1 or less,12,2,4,229
2001,E09000007,With dependent children,Other social rented,All categories: Occupancy rating,12,3,0,254
2001,E09000007,With dependent children,Other social rented,Occupancy rating of +2 or more,12,3,1,10
2001,E09000007,With dependent children,Other social rented,Occupancy rating of +1,12,3,2,34
2001,E09000007,With dependent children,Other social rented,Occupancy rating of 0,12,3,3,91
2001,E09000007,With dependent children,Other social rented,Occupancy rating of -1 or less,12,3,4,119
2001,E09000007,With dependent children,Private rented or living rent free,All categories: Occupancy rating,12,4,0,208
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of +2 or more,12,4,1,23
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of +1,12,4,2,36
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of 0,12,4,3,64
2001,E09000007,With dependent children,Private rented or living rent free,Occupancy rating of -1 or less,12,4,4,85
2001,E09000007,All children non-dependent,All categories: Tenure,All categories: Occupancy rating,13,0,0,202
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of +2 or more,13,0,1,55
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of +1,13,0,2,50
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of 0,13,0,3,57
2001,E09000007,All children non-dependent,All categories: Tenure,Occupancy rating of -1 or less,13,0,4,40
2001,E09000007,All children non-dependent,Owned,All categories: Occupancy rating,13,1,0,100
