date,geography_code,c_age_name,hhtype_name,c_age_code,hhtype_code,obs_value
2001,E09000007,"dependent children in household, youngest aged 10 to 15",In a couple household,17,1,1333
2001,E09000007,"dependent children in household, youngest aged 10 to 15",Not in a couple household,17,2,1020
2001,E09000007,"dependent children in household, youngest aged 16 to 18",All adults,18,0,527
2001,E09000007,"dependent children in household, youngest aged 16 to 18",In a couple household,18,1,323
2001,E09000007,"dependent children in household, youngest aged 16 to 18",Not in a couple household,18,2,204
2001,E09000007,Aged 45 to 54,All adults,19,0,20745
2001,E09000007,Aged 45 to 54,In a couple household,19,1,10152
2001,E09000007,Aged 45 to 54,Not in a couple household,19,2,10593
2001,E09000007,no dependent children in household,All adults,20,0,13803
2001,E09000007,no dependent children in household,In a couple household,20,1,4860
2001,E09000007,no dependent children in household,Not in a couple household,20,2,8943
2001,E09000007,"dependent children in household, youngest aged 0 to 4",All adults,21,0,1067
2001,E09000007,"dependent children in household, youngest aged 0 to 4",In a couple household,21,1,910
2001,E09000007,"dependent children in household, youngest aged 0 to 4",Not in a couple household,21,2,157
2001,E09000007,"dependent children in household, youngest aged 5 to 9",All adults,22,0,1675
2001,E09000007,"dependent children in household, youngest aged 5 to 9",In a couple household,22,1,1316
2001,E09000007,"dependent children in household, youngest aged 5 to 9",Not in a couple household,22,2,359
2001,E09000007,"dependent children in household, youngest aged 10 to 15",All adults,23,0,2765
2001,E09000007,"dependent children in household, youngest aged 10 to 15",In a couple household,23,1,2013
2001,E09000007,"dependent children in household, youngest aged 10 to 15",Not in a couple household,23,2,752
2001,E09000007,"dependent children in household, youngest aged 16 to 18",All adults,24,0,1435
2001,E09000007,"dependent children in household, youngest aged 16 to 18",In a couple household,24,1,1053
2001,E09000007,"dependent children in household, youngest aged 16 to 18",Not in a couple household,24,2,382
2001,E09000007,55 to pensionable age,All adults,25,0,11573
2001,E09000007,55 to pensionable age,In a couple household,25,1,5922
2001,E09000007,55 to pensionable age,Not in a couple household,25,2,5651
2001,E09000007,no dependent children in household,All adults,26,0,9803
2001,E09000007,no dependent children in household,In a couple household,26,1,4503
2001,E09000007,no dependent children in household,Not in a couple household,26,2,5300
2001,E09000007,"dependent children in household, youngest aged 0 to 4",All adults,27,0,315
2001,E09000007,"dependent children in household, youngest aged 0 to 4",In a couple household,27,1,249
2001,E09000007,"dependent children in household, youngest aged 0 to 4",Not in a couple household,27,2,66
2001,E09000007,"dependent children in household, youngest aged 5 to 9",All adults,28,0,302
2001,E09000007,"dependent children in household, youngest aged 5 to 9",In a couple household,28,1,236
2001,E09000007,"dependent children in household, youngest aged 5 to 9",Not in a couple household,28,2,66
2001,E09000007,"dependent children in household, youngest aged 10 to 15",All adults,29,0,665
2001,E09000007,"dependent children in household, youngest aged 10 to 15",In a couple household,29,1,547
2001,E09000007,"dependent children in household, youngest aged 10 to 15",Not in a couple household,29,2,118
2001,E09000007,"dependent children in household, youngest aged 16 to 18",All adults,30,0,488
2001,E09000007,"dependent children in household, youngest aged 16 to 18",In a couple household,30,1,387
2001,E09000007,"dependent children in household, youngest aged 16 to 18",Not in a couple household,30,2,101
2001,E09000007,Pensionable age to 74,All adults,31,0,14466
2001,E09000007,Pensionable age to 74,In a couple household,31,1,6618
2001,E09000007,Pensionable age to 74,Not in a couple household,31,2,7848
2001,E09000007,75 and over dependent children or not,All adults,32,0,9412
2001,E09000007,75 and over dependent children or not,In a couple household,32,1,3054
2001,E09000007,75 and over dependent children or not,Not in a couple household,32,2,6358
2001,E09000001,All Adults,All adults,0,0,6169
2001,E09000001,All Adults,In a couple household,0,1,2607
2001,E09000001,All Adults,Not in a couple household,0,2,3562
2001,E09000001,Aged 16 to 24,All adults,1,0,577
2001,E09000001,Aged 16 to 24,In a couple household,1,1,199
2001,E09000001,Aged 16 to 24,Not in a couple household,1,2,378
2001,E09000001,no dependent children in household,All adults,2,0,503
2001,E09000001,no dependent children in household,In a couple household,2,1,161
2001,E09000001,no dependent children in household,Not in a couple household,2,2,342
2001,E09000001,"dependent children in household, youngest aged 0 to 4",All adults,3,0,37
2001,E09000001,"dependent children in household, youngest aged 0 to 4",In a couple household,3,1,18
2001,E09000001,"dependent children in household, youngest aged 0 to 4",Not in a couple household,3,2,19
2001,E09000001,"dependent children in household, youngest aged 5 to 9",All adults,4,0,9
2001,E09000001,"dependent children in household, youngest aged 5 to 9",In a couple household,4,1,6
2001,E09000001,"dependent children in household, youngest aged 5 to 9",Not in a couple household,4,2,3
2001,E09000001,"dependent children in household, youngest aged 10 to 15",All adults,5,0,20
2001,E09000001,"dependent children in household, youngest aged 10 to 15",In a couple household,5,1,11
2001,E09000001,"dependent children in household, youngest aged 10 to 15",Not in a couple household,5,2,9
2001,E09000001,"dependent children in household, youngest aged 16 to 18",All adults,6,0,8
2001,E09000001,"dependent children in household, youngest aged 16 to 18",In a couple household,6,1,3
2001,E09000001,"dependent children in household, youngest aged 16 to 18",Not in a couple household,6,2,5
2001,E09000001,Aged 25 to 34,All adults,7,0,1660
2001,E09000001,Aged 25 to 34,In a couple household,7,1,769
2001,E09000001,Aged 25 to 34,Not in a couple household,7,2,891
2001,E09000001,no dependent children in household,All adults,8,0,1491
2001,E09000001,no dependent children in household,In a couple household,8,1,656
2001,E09000001,no dependent children in household,Not in a couple household,8,2,835
2001,E09000001,"dependent children in household, youngest aged 0 to 4",All adults,9,0,131
2001,E09000001,"dependent children in household, youngest aged 0 to 4",In a couple household,9,1,104
2001,E09000001,"dependent children in household, youngest aged 0 to 4",Not in a couple household,9,2,27
2001,E09000001,"dependent children in household, youngest aged 5 to 9",All adults,10,0,28
2001,E09000001,"dependent children in household, youngest aged 5 to 9",In a couple household,10,1,9
2001,E09000001,"dependent children in household, youngest aged 5 to 9",Not in a couple household,10,2,19
2001,E09000001,"dependent children in household, youngest aged 10 to 15",All adults,11,0,10
2001,E09000001,"dependent children in household, youngest aged 10 to 15",In a couple household,11,1,0
2001,E09000001,"dependent children in household, youngest aged 10 to 15",Not in a couple household,11,2,10
2001,E09000001,"dependent children in household, youngest aged 16 to 18",All adults,12,0,0
2001,E09000001,"dependent children in household, youngest aged 16 to 18",In a couple household,12,1,0
2001,E09000001,"dependent children in household, youngest aged 16 to 18",Not in a couple household,12,2,0
2001,E09000001,Aged 35 to 44,All adults,13,0,1085
2001,E09000001,Aged 35 to 44,In a couple household,13,1,485
2001,E09000001,Aged 35 to 44,Not in a couple household,13,2,600
2001,E09000001,no dependent children in household,All adults,14,0,802
2001,E09000001,no dependent children in household,In a couple household,14,1,281
2001,E09000001,no dependent children in household,Not in a couple household,14,2,521
2001,E09000001,"dependent children in household, youngest aged 0 to 4",All adults,15,0,141
2001,E09000001,"dependent children in household, youngest aged 0 to 4",In a couple household,15,1,121
2001,E09000001,"dependent children in household, youngest aged 0 to 4",Not in a couple household,15,2,20
2001,E09000001,"dependent children in household, youngest aged 5 to 9",All adults,16,0,79
2001,E09000001,"dependent children in household, youngest aged 5 to 9",In a couple household,16,1,50
2001,E09000001,"dependent children in household, youngest aged 5 to 9",Not in a couple household,16,2,29
2001,E09000001,"dependent children in household, youngest aged 10 to 15",All adults,17,0,48
2001,E09000001,"dependent children in household, youngest aged 10 to 15",In a couple household,17,1,26
2001,E09000001,"dependent children in household, youngest aged 10 to 15",Not in a couple household,17,2,22
2001,E09000001,"dependent children in household, youngest aged 16 to 18",All adults,18,0,15
2001,E09000001,"dependent children in household, youngest aged 16 to 18",In a couple household,18,1,7
2001,E09000001,"dependent children in household, youngest aged 16 to 18",Not in a couple household,18,2,8
2001,E09000001,Aged 45 to 54,All adults,19,0,1111
2001,E09000001,Aged 45 to 54,In a couple household,19,1,470
2001,E09000001,Aged 45 to 54,Not in a couple household,19,2,641
2001,E09000001,no dependent children in household,All adults,20,0,906
2001,E09000001,no dependent children in household,In a couple household,20,1,309
2001,E09000001,no dependent children in household,Not in a couple household,20,2,597
2001,E09000001,"dependent children in household, youngest aged 0 to 4",All adults,21,0,40
2001,E09000001,"dependent children in household, youngest aged 0 to 4",In a couple household,21,1,30
2001,E09000001,"dependent children in household, youngest aged 0 to 4",Not in a couple household,21,2,10
2001,E09000001,"dependent children in household, youngest aged 5 to 9",All adults,22,0,61
2001,E09000001,"dependent children in household, youngest aged 5 to 9",In a couple household,22,1,53
2001,E09000001,"dependent children in household, youngest aged 5 to 9",Not in a couple household,22,2,8
2001,E09000001,"dependent children in household, youngest aged 10 to 15",All adults,23,0,73
2001,E09000001,"dependent children in household, youngest aged 10 to 15",In a couple household,23,1,54
2001,E09000001,"dependent children in household, youngest aged 10 to 15",Not in a couple household,23,2,19
2001,E09000001,"dependent children in household, youngest aged 16 to 18",All adults,24,0,31
2001,E09000001,"dependent children in household, youngest aged 16 to 18",In a couple household,24,1,24
2001,E09000001,"dependent children in household, youngest aged 16 to 18",Not in a couple household,24,2,7
2001,E09000001,55 to pensionable age,All adults,25,0,640
2001,E09000001,55 to pensionable age,In a couple household,25,1,292
2001,E09000001,55 to pensionable age,Not in a couple household,25,2,348
2001,E09000001,no dependent children in household,All adults,26,0,582
2001,E09000001,no dependent children in household,In a couple household,26,1,245
2001,E09000001,no dependent children in household,Not in a couple household,26,2,337
2001,E09000001,"dependent children in household, youngest aged 0 to 4",All adults,27,0,10
2001,E09000001,"dependent children in household, youngest aged 0 to 4",In a couple household,27,1,5
2001,E09000001,"dependent children in household, youngest aged 0 to 4",Not in a couple household,27,2,5
2001,E09000001,"dependent children in household, youngest aged 5 to 9",All adults,28,0,18
2001,E09000001,"dependent children in household, youngest aged 5 to 9",In a couple household,28,1,15
2001,E09000001,"dependent children in household, youngest aged 5 to 9",Not in a couple household,28,2,3
2001,E09000001,"dependent children in household, youngest aged 10 to 15",All adults,29,0,12
2001,E09000001,"dependent children in household, youngest aged 10 to 15",In a couple household,29,1,12
2001,E09000001,"dependent children in household, youngest aged 10 to 15",Not in a couple household,29,2,0
2001,E09000001,"dependent children in household, youngest aged 16 to 18",All adults,30,0,18
2001,E09000001,"dependent children in household, youngest aged 16 to 18",In a couple household,30,1,15
2001,E09000001,"dependent children in household, youngest aged 16 to 18",Not in a couple household,30,2,3
2001,E09000001,Pensionable age to 74,All adults,31,0,649
2001,E09000001,Pensionable age to 74,In a couple household,31,1,261
2001,E09000001,Pensionable age to 74,Not in a couple household,31,2,388
2001,E09000001,75 and over dependent children or not,All adults,32,0,447
2001,E09000001,75 and over dependent children or not,In a couple household,32,1,131
2001,E09000001,75 and over dependent children or not,Not in a couple household,32,2,316
2001,E09000012,All Adults,All adults,0,0,148444
2001,E09000012,All Adults,In a couple household,0,1,73184
2001,E09000012,All Adults,Not in a couple household,0,2,75260
2001,E09000012,Aged 16 to 24,All adults,1,0,20134
2001,E09000012,Aged 16 to 24,In a couple household,1,1,9937
2001,E09000012,Aged 16 to 24,Not in a couple household,1,2,10197
2001,E09000012,no dependent children in household,All adults,2,0,11961
2001,E09000012,no dependent children in household,In a couple household,2,1,4906
2001,E09000012,no dependent children in household,Not in a couple household,2,2,7055
2001,E09000012,"dependent children in household, youngest aged 0 to 4",All adults,3,0,3634
2001,E09000012,"dependent children in household, youngest aged 0 to 4",In a couple household,3,1,2319
2001,E09000012,"dependent children in household, youngest aged 0 to 4",Not in a couple household,3,2,1315
2001,E09000012,"dependent children in household, youngest aged 5 to 9",All adults,4,0,1239
2001,E09000012,"dependent children in household, youngest aged 5 to 9",In a couple household,4,1,763
2001,E09000012,"dependent children in household, youngest aged 5 to 9",Not in a couple household,4,2,476
2001,E09000012,"dependent children in household, youngest aged 10 to 15",All adults,5,0,2198
2001,E09000012,"dependent children in household, youngest aged 10 to 15",In a couple household,5,1,1275
2001,E09000012,"dependent children in household, youngest aged 10 to 15",Not in a couple household,5,2,923
2001,E09000012,"dependent children in household, youngest aged 16 to 18",All adults,6,0,1102
2001,E09000012,"dependent children in household, youngest aged 16 to 18",In a couple household,6,1,674
2001,E09000012,"dependent children in household, youngest aged 16 to 18",Not in a couple household,6,2,428
2001,E09000012,Aged 25 to 34,All adults,7,0,42002
2001,E09000012,Aged 25 to 34,In a couple household,7,1,21644
2001,E09000012,Aged 25 to 34,Not in a couple household,7,2,20358
2001,E09000012,no dependent children in household,All adults,8,0,27967
2001,E09000012,no dependent children in household,In a couple household,8,1,12040
2001,E09000012,no dependent children in household,Not in a couple household,8,2,15927
2001,E09000012,"dependent children in household, youngest aged 0 to 4",All adults,9,0,9922
2001,E09000012,"dependent children in household, youngest aged 0 to 4",In a couple household,9,1,7525
2001,E09000012,"dependent children in household, youngest aged 0 to 4",Not in a couple household,9,2,2397
2001,E09000012,"dependent children in household, youngest aged 5 to 9",All adults,10,0,2490
2001,E09000012,"dependent children in household, youngest aged 5 to 9",In a couple household,10,1,1285
2001,E09000012,"dependent children in household, youngest aged 5 to 9",Not in a couple household,10,2,1205
2001,E09000012,"dependent children in household, youngest aged 10 to 15",All adults,11,0,1309
2001,E09000012,"dependent children in household, youngest aged 10 to 15",In a couple household,11,1,607
2001,E09000012,"dependent children in household, youngest aged 10 to 15",Not in a couple household,11,2,702
2001,E09000012,"dependent children in household, youngest aged 16 to 18",All adults,12,0,314
2001,E09000012,"dependent children in household, youngest aged 16 to 18",In a couple household,12,1,187
2001,E09000012,"dependent children in household, youngest aged 16 to 18",Not in a couple household,12,2,127
2001,E09000012,Aged 35 to 44,All adults,13,0,34041
2001,E09000012,Aged 35 to 44,In a couple household,13,1,18069
2001,E09000012,Aged 35 to 44,Not in a couple household,13,2,15972
2001,E09000012,no dependent children in household,All adults,14,0,16806
2001,E09000012,no dependent children in household,In a couple household,14,1,5578
2001,E09000012,no dependent children in household,Not in a couple household,14,2,11228
2001,E09000012,"dependent children in household, youngest aged 0 to 4",All adults,15,0,8265
2001,E09000012,"dependent children in household, youngest aged 0 to 4",In a couple household,15,1,6766
2001,E09000012,"dependent children in household, youngest aged 0 to 4",Not in a couple household,15,2,1499
2001,E09000012,"dependent children in household, youngest aged 5 to 9",All adults,16,0,4637
2001,E09000012,"dependent children in household, youngest aged 5 to 9",In a couple household,16,1,3239
2001,E09000012,"dependent children in household, youngest aged 5 to 9",Not in a couple household,16,2,1398
2001,E09000012,"dependent children in household, youngest aged 10 to 15",All adults,17,0,3496
2001,E09000012,"dependent children in household, youngest aged 10 to 15",In a couple household,17,1,1990
2001,E09000012,"dependent children in household, youngest aged 10 to 15",Not in a couple household,17,2,1506
2001,E09000012,"dependent children in household, youngest aged 16 to 18",All adults,18,0,837
2001,E09000012,"dependent children in household, youngest aged 16 to 18",In a couple household,18,1,496
2001,E09000012,"dependent children in household, youngest aged 16 to 18",Not in a couple household,18,2,341
2001,E09000012,Aged 45 to 54,All adults,19,0,20224
2001,E09000012,Aged 45 to 54,In a couple household,19,1,10346
2001,E09000012,Aged 45 to 54,Not in a couple household,19,2,9878
2001,E09000012,no dependent children in household,All adults,20,0,12517
2001,E09000012,no dependent children in household,In a couple household,20,1,4598
2001,E09000012,no dependent children in household,Not in a couple household,20,2,7919
2001,E09000012,"dependent children in household, youngest aged 0 to 4",All adults,21,0,1591
2001,E09000012,"dependent children in household, youngest aged 0 to 4",In a couple household,21,1,1304
2001,E09000012,"dependent children in household, youngest aged 0 to 4",Not in a couple household,21,2,287
2001,E09000012,"dependent children in household, youngest aged 5 to 9",All adults,22,0,1843
2001,E09000012,"dependent children in household, youngest aged 5 to 9",In a couple household,22,1,1473
2001,E09000012,"dependent children in household, youngest aged 5 to 9",Not in a couple household,22,2,370
2001,E09000012,"dependent children in household, youngest aged 10 to 15",All adults,23,0,3038
2001,E09000012,"dependent children in household, youngest aged 10 to 15",In a couple household,23,1,2115
2001,E09000012,"dependent children in household, youngest aged 10 to 15",Not in a couple household,23,2,923
2001,E09000012,"dependent children in household, youngest aged 16 to 18",All adults,24,0,1235
2001,E09000012,"dependent children in household, youngest aged 16 to 18",In a couple household,24,1,856
2001,E09000012,"dependent children in household, youngest aged 16 to 18",Not in a couple household,24,2,379
2001,E09000012,55 to pensionable age,All adults,25,0,10353
2001,E09000012,55 to pensionable age,In a couple household,25,1,5194
2001,E09000012,55 to pensionable age,Not in a couple household,25,2,5159
2001,E09000012,no dependent children in household,All adults,26,0,8549
2001,E09000012,no dependent children in household,In a couple household,26,1,3816
2001,E09000012,no dependent children in household,Not in a couple household,26,2,4733
2001,E09000012,"dependent children in household, youngest aged 0 to 4",All adults,27,0,415
2001,E09000012,"dependent children in household, youngest aged 0 to 4",In a couple household,27,1,321
2001,E09000012,"dependent children in household, youngest aged 0 to 4",Not in a couple household,27,2,94
2001,E09000012,"dependent children in household, youngest aged 5 to 9",All adults,28,0,271
2001,E09000012,"dependent children in household, youngest aged 5 to 9",In a couple household,28,1,200
2001,E09000012,"dependent children in household, youngest aged 5 to 9",Not in a couple household,28,2,71
2001,E09000012,"dependent children in household, youngest aged 10 to 15",All adults,29,0,668
2001,E09000012,"dependent children in household, youngest aged 10 to 15",In a couple household,29,1,527
2001,E09000012,"dependent children in household, youngest aged 10 to 15",Not in a couple household,29,2,141
2001,E09000012,"dependent children in household, youngest aged 16 to 18",All adults,30,0,450
2001,E09000012,"dependent children in household, youngest aged 16 to 18",In a couple household,30,1,330
2001,E09000012,"dependent children in household, youngest aged 16 to 18",Not in a couple household,30,2,120
2001,E09000012,Pensionable age to 74,All adults,31,0,13567
2001,E09000012,Pensionable age to 74,In a couple household,31,1,5763
2001,E09000012,Pensionable age to 74,Not in a couple household,31,2,7804
2001,E09000012,75 and over dependent children or not,All adults,32,0,8123
2001,E09000012,75 and over dependent children or not,In a couple household,32,1,2231
2001,E09000012,75 and over dependent children or not,Not in a couple household,32,2,5892
2001,E09000013,All Adults,All adults,0,0,133135
2001,E09000013,All Adults,In a couple household,0,1,62353
2001,E09000013,All Adults,Not in a couple household,0,2,70782
2001,E09000013,Aged 16 to 24,All adults,1,0,17350
2001,E09000013,Aged 16 to 24,In a couple household,1,1,6741
2001,E09000013,Aged 16 to 24,Not in a couple household,1,2,10609
2001,E09000013,no dependent children in household,All adults,2,0,13684
2001,E09000013,no dependent children in household,In a couple household,2,1,4779
2001,E09000013,no dependent children in household,Not in a couple household,2,2,8905
2001,E09000013,"dependent children in household, youngest aged 0 to 4",All adults,3,0,1279
2001,E09000013,"dependent children in household, youngest aged 0 to 4",In a couple household,3,1,692
2001,E09000013,"dependent children in household, youngest aged 0 to 4",Not in a couple household,3,2,587
2001,E09000013,"dependent children in household, youngest aged 5 to 9",All adults,4,0,666
2001,E09000013,"dependent children in household, youngest aged 5 to 9",In a couple household,4,1,313
2001,E09000013,"dependent children in household, youngest aged 5 to 9",Not in a couple household,4,2,353
2001,E09000013,"dependent children in household, youngest aged 10 to 15",All adults,5,0,1154
2001,E09000013,"dependent children in household, youngest aged 10 to 15",In a couple household,5,1,610
2001,E09000013,"dependent children in household, youngest aged 10 to 15",Not in a couple household,5,2,544
2001,E09000013,"dependent children in household, youngest aged 16 to 18",All adults,6,0,567
2001,E09000013,"dependent children in household, youngest aged 16 to 18",In a couple household,6,1,347
2001,E09000013,"dependent children in household, youngest aged 16 to 18",Not in a couple household,6,2,220
2001,E09000013,Aged 25 to 34,All adults,7,0,44262
2001,E09000013,Aged 25 to 34,In a couple household,7,1,22270
2001,E09000013,Aged 25 to 34,Not in a couple household,7,2,21992
2001,E09000013,no dependent children in household,All adults,8,0,35548
2001,E09000013,no dependent children in household,In a couple household,8,1,16211
2001,E09000013,no dependent children in household,Not in a couple household,8,2,19337
2001,E09000013,"dependent children in household, youngest aged 0 to 4",All adults,9,0,6152
2001,E09000013,"dependent children in household, youngest aged 0 to 4",In a couple household,9,1,4853
2001,E09000013,"dependent children in household, youngest aged 0 to 4",Not in a couple household,9,2,1299
2001,E09000013,"dependent children in household, youngest aged 5 to 9",All adults,10,0,1565
2001,E09000013,"dependent children in household, youngest aged 5 to 9",In a couple household,10,1,765
2001,E09000013,"dependent children in household, youngest aged 5 to 9",Not in a couple household,10,2,800
2001,E09000013,"dependent children in household, youngest aged 10 to 15",All adults,11,0,805
2001,E09000013,"dependent children in household, youngest aged 10 to 15",In a couple household,11,1,316
2001,E09000013,"dependent children in household, youngest aged 10 to 15",Not in a couple household,11,2,489
2001,E09000013,"dependent children in household, youngest aged 16 to 18",All adults,12,0,192
2001,E09000013,"dependent children in household, youngest aged 16 to 18",In a couple household,12,1,125
2001,E09000013,"dependent children in household, youngest aged 16 to 18",Not in a couple household,12,2,67
2001,E09000013,Aged 35 to 44,All adults,13,0,25305
2001,E09000013,Aged 35 to 44,In a couple household,13,1,13077
2001,E09000013,Aged 35 to 44,Not in a couple household,13,2,12228
2001,E09000013,no dependent children in household,All adults,14,0,13749
2001,E09000013,no dependent children in household,In a couple household,14,1,4298
2001,E09000013,no dependent children in household,Not in a couple household,14,2,9451
2001,E09000013,"dependent children in household, youngest aged 0 to 4",All adults,15,0,5890
2001,E09000013,"dependent children in household, youngest aged 0 to 4",In a couple household,15,1,5177
2001,E09000013,"dependent children in household, youngest aged 0 to 4",Not in a couple household,15,2,713
2001,E09000013,"dependent children in household, youngest aged 5 to 9",All adults,16,0,3189
2001,E09000013,"dependent children in household, youngest aged 5 to 9",In a couple household,16,1,2224
2001,E09000013,"dependent children in household, youngest aged 5 to 9",Not in a couple household,16,2,965
2001,E09000013,"dependent children in household, youngest aged 10 to 15",All adults,17,0,2063
2001,E09000013,"dependent children in household, youngest aged 10 to 15",In a couple household,17,1,1152
2001,E09000013,"dependent children in household, youngest aged 10 to 15",Not in a couple household,17,2,911
2001,E09000013,"dependent children in household, youngest aged 16 to 18",All adults,18,0,414
2001,E09000013,"dependent children in household, youngest aged 16 to 18",In a couple household,18,1,226
2001,E09000013,"dependent children in household, youngest aged 16 to 18",Not in a couple household,18,2,188
2001,E09000013,Aged 45 to 54,All adults,19,0,16872
2001,E09000013,Aged 45 to 54,In a couple household,19,1,8219
2001,E09000013,Aged 45 to 54,Not in a couple household,19,2,8653
2001,E09000013,no dependent children in household,All adults,20,0,11561
2001,E09000013,no dependent children in household,In a couple household,20,1,4195
2001,E09000013,no dependent children in household,Not in a couple household,20,2,7366
2001,E09000013,"dependent children in household, youngest aged 0 to 4",All adults,21,0,905
2001,E09000013,"dependent children in household, youngest aged 0 to 4",In a couple household,21,1,772
2001,E09000013,"dependent children in household, youngest aged 0 to 4",Not in a couple household,21,2,133
2001,E09000013,"dependent children in household, youngest aged 5 to 9",All adults,22,0,1276
2001,E09000013,"dependent children in household, youngest aged 5 to 9",In a couple household,22,1,997
2001,E09000013,"dependent children in household, youngest aged 5 to 9",Not in a couple household,22,2,279
2001,E09000013,"dependent children in household, youngest aged 10 to 15",All adults,23,0,2181
2001,E09000013,"dependent children in household, youngest aged 10 to 15",In a couple household,23,1,1594
2001,E09000013,"dependent children in household, youngest aged 10 to 15",Not in a couple household,23,2,587
2001,E09000013,"dependent children in household, youngest aged 16 to 18",All adults,24,0,949
2001,E09000013,"dependent children in household, youngest aged 16 to 18",In a couple household,24,1,661
2001,E09000013,"dependent children in household, youngest aged 16 to 18",Not in a couple household,24,2,288
2001,E09000013,55 to pensionable age,All adults,25,0,9129
2001,E09000013,55 to pensionable age,In a couple household,25,1,4588
2001,E09000013,55 to pensionable age,Not in a couple household,25,2,4541
2001,E09000013,no dependent children in household,All adults,26,0,7939
2001,E09000013,no dependent children in household,In a couple household,26,1,3700
2001,E09000013,no dependent children in household,Not in a couple household,26,2,4239
2001,E09000013,"dependent children in household, youngest aged 0 to 4",All adults,27,0,240
2001,E09000013,"dependent children in household, youngest aged 0 to 4",In a couple household,27,1,175
2001,E09000013,"dependent children in household, youngest aged 0 to 4",Not in a couple household,27,2,65
2001,E09000013,"dependent children in household, youngest aged 5 to 9",All adults,28,0,217
2001,E09000013,"dependent children in household, youngest aged 5 to 9",In a couple household,28,1,161
2001,E09000013,"dependent children in household, youngest aged 5 to 9",Not in a couple household,28,2,56
2001,E09000013,"dependent children in household, youngest aged 10 to 15",All adults,29,0,387
