date,geography_code,c_hhchuk11_name,c_ethpuk11_name,obs_value
2001,E09000007,One person household : Other,Black/Black British: Black African,1488
2001,E09000007,One person household : Other,Black/Black British: Other,119
2001,E09000007,One person household : Other,Chinese/Other,1378
2001,E09000007,One person household : Other,Chinese/Other: Chinese,599
2001,E09000007,One person household : Other,Chinese/Other: Other,779
2001,E09000007,One family and no others,White,27597
2001,E09000007,One family and no others,White: British,19216
2001,E09000007,One family and no others,White: Irish,1913
2001,E09000007,One family and no others,White: Other,6468
2001,E09000007,One family and no others,Mixed,952
2001,E09000007,One family and no others,Mixed: White and Black Caribbean,187
2001,E09000007,One family and no others,Mixed: White and Black African,172
2001,E09000007,One family and no others,Mixed: White and Asian,262
2001,E09000007,One family and no others,Mixed: Other,331
2001,E09000007,One family and no others,Asian/Asian British,3060
2001,E09000007,One family and no others,Asian/Asian British: Indian,739
2001,E09000007,One family and no others,Asian/Asian British: Pakistani,200
2001,E09000007,One family and no others,Asian/Asian British: Bangladeshi,1736
2001,E09000007,One family and no others,Asian/Asian British: Other,385
2001,E09000007,One family and no others,Black/Black British,2900
2001,E09000007,One family and no others,Black/Black British: Black Caribbean,775
2001,E09000007,One family and no others,Black/Black British: Black African,1983
2001,E09000007,One family and no others,Black/Black British: Other,142
2001,E09000007,One family and no others,Chinese/Other,1434
2001,E09000007,One family and no others,Chinese/Other: Chinese,464
2001,E09000007,One family and no others,Chinese/Other: Other,970
2001,E09000007,One family : All pensioners,White,2587
2001,E09000007,One family : All pensioners,White: British,2130
2001,E09000007,One family : All pensioners,White: Irish,198
2001,E09000007,One family : All pensioners,White: Other,259
2001,E09000007,One family : All pensioners,Mixed,16
2001,E09000007,One family : All pensioners,Mixed: White and Black Caribbean,0
2001,E09000007,One family : All pensioners,Mixed: White and Black African,3
2001,E09000007,One family : All pensioners,Mixed: White and Asian,9
2001,E09000007,One family : All pensioners,Mixed: Other,4
2001,E09000007,One family : All pensioners,Asian/Asian British,61
2001,E09000007,One family : All pensioners,Asian/Asian British: Indian,41
2001,E09000007,One family : All pensioners,Asian/Asian British: Pakistani,3
2001,E09000007,One family : All pensioners,Asian/Asian British: Bangladeshi,7
2001,E09000007,One family : All pensioners,Asian/Asian British: Other,10
2001,E09000007,One family : All pensioners,Black/Black British,43
2001,E09000007,One family : All pensioners,Black/Black British: Black Caribbean,23
2001,E09000007,One family : All pensioners,Black/Black British: Black African,17
2001,E09000007,One family : All pensioners,Black/Black British: Other,3
2001,E09000007,One family : All pensioners,Chinese/Other,36
2001,E09000007,One family : All pensioners,Chinese/Other: Chinese,14
2001,E09000007,One family : All pensioners,Chinese/Other: Other,22
2001,E09000007,One family : Married couple family households,White,12079
2001,E09000007,One family : Married couple family households,White: British,7752
2001,E09000007,One family : Married couple family households,White: Irish,715
2001,E09000007,One family : Married couple family households,White: Other,3612
2001,E09000007,One family : Married couple family households,Mixed,340
2001,E09000007,One family : Married couple family households,Mixed: White and Black Caribbean,33
2001,E09000007,One family : Married couple family households,Mixed: White and Black African,50
2001,E09000007,One family : Married couple family households,Mixed: White and Asian,103
2001,E09000007,One family : Married couple family households,Mixed: Other,154
2001,E09000007,One family : Married couple family households,Asian/Asian British,2142
2001,E09000007,One family : Married couple family households,Asian/Asian British: Indian,483
2001,E09000007,One family : Married couple family households,Asian/Asian British: Pakistani,120
2001,E09000007,One family : Married couple family households,Asian/Asian British: Bangladeshi,1296
2001,E09000007,One family : Married couple family households,Asian/Asian British: Other,243
2001,E09000007,One family : Married couple family households,Black/Black British,889
2001,E09000007,One family : Married couple family households,Black/Black British: Black Caribbean,159
2001,E09000007,One family : Married couple family households,Black/Black British: Black African,686
2001,E09000007,One family : Married couple family households,Black/Black British: Other,44
2001,E09000007,One family : Married couple family households,Chinese/Other,933
2001,E09000007,One family : Married couple family households,Chinese/Other: Chinese,296
2001,E09000007,One family : Married couple family households,Chinese/Other: Other,637
2001,E09000007,One family : Married couple family households : No children,White,4669
2001,E09000007,One family : Married couple family households : No children,White: British,3059
2001,E09000007,One family : Married couple family households : No children,White: Irish,232
2001,E09000007,One family : Married couple family households : No children,White: Other,1378
2001,E09000007,One family : Married couple family households : No children,Mixed,107
2001,E09000007,One family : Married couple family households : No children,Mixed: White and Black Caribbean,11
2001,E09000007,One family : Married couple family households : No children,Mixed: White and Black African,12
2001,E09000007,One family : Married couple family households : No children,Mixed: White and Asian,33
2001,E09000007,One family : Married couple family households : No children,Mixed: Other,51
2001,E09000007,One family : Married couple family households : No children,Asian/Asian British,281
2001,E09000007,One family : Married couple family households : No children,Asian/Asian British: Indian,153
2001,E09000007,One family : Married couple family households : No children,Asian/Asian British: Pakistani,44
2001,E09000007,One family : Married couple family households : No children,Asian/Asian British: Bangladeshi,44
2001,E09000007,One family : Married couple family households : No children,Asian/Asian British: Other,40
2001,E09000007,One family : Married couple family households : No children,Black/Black British,180
2001,E09000007,One family : Married couple family households : No children,Black/Black British: Black Caribbean,33
2001,E09000007,One family : Married couple family households : No children,Black/Black British: Black African,134
2001,E09000007,One family : Married couple family households : No children,Black/Black British: Other,13
2001,E09000007,One family : Married couple family households : No children,Chinese/Other,364
2001,E09000007,One family : Married couple family households : No children,Chinese/Other: Chinese,88
2001,E09000007,One family : Married couple family households : No children,Chinese/Other: Other,276
2001,E09000007,One family : Married couple family households : With one dependent child,White,2304
2001,E09000007,One family : Married couple family households : With one dependent child,White: British,1407
2001,E09000007,One family : Married couple family households : With one dependent child,White: Irish,119
2001,E09000007,One family : Married couple family households : With one dependent child,White: Other,778
2001,E09000007,One family : Married couple family households : With one dependent child,Mixed,51
2001,E09000007,One family : Married couple family households : With one dependent child,Mixed: White and Black Caribbean,5
2001,E09000007,One family : Married couple family households : With one dependent child,Mixed: White and Black African,11
2001,E09000007,One family : Married couple family households : With one dependent child,Mixed: White and Asian,17
2001,E09000007,One family : Married couple family households : With one dependent child,Mixed: Other,18
2001,E09000007,One family : Married couple family households : With one dependent child,Asian/Asian British,425
2001,E09000007,One family : Married couple family households : With one dependent child,Asian/Asian British: Indian,115
2001,E09000007,One family : Married couple family households : With one dependent child,Asian/Asian British: Pakistani,23
2001,E09000007,One family : Married couple family households : With one dependent child,Asian/Asian British: Bangladeshi,219
2001,E09000007,One family : Married couple family households : With one dependent child,Asian/Asian British: Other,68
2001,E09000007,One family : Married couple family households : With one dependent child,Black/Black British,177
2001,E09000007,One family : Married couple family households : With one dependent child,Black/Black British: Black Caribbean,34
2001,E09000007,One family : Married couple family households : With one dependent child,Black/Black British: Black African,131
2001,E09000007,One family : Married couple family households : With one dependent child,Black/Black British: Other,12
2001,E09000007,One family : Married couple family households : With one dependent child,Chinese/Other,219
2001,E09000007,One family : Married couple family households : With one dependent child,Chinese/Other: Chinese,79
2001,E09000007,One family : Married couple family households : With one dependent child,Chinese/Other: Other,140
2001,E09000007,One family : Married couple family households : With two or more dependent children,White,3373
2001,E09000007,One family : Married couple family households : With two or more dependent children,White: British,2075
2001,E09000007,One family : Married couple family households : With two or more dependent children,White: Irish,151
2001,E09000007,One family : Married couple family households : With two or more dependent children,White: Other,1147
2001,E09000007,One family : Married couple family households : With two or more dependent children,Mixed,153
2001,E09000007,One family : Married couple family households : With two or more dependent children,Mixed: White and Black Caribbean,17
2001,E09000007,One family : Married couple family households : With two or more dependent children,Mixed: White and Black African,22
2001,E09000007,One family : Married couple family households : With two or more dependent children,Mixed: White and Asian,39
2001,E09000007,One family : Married couple family households : With two or more dependent children,Mixed: Other,75
2001,E09000007,One family : Married couple family households : With two or more dependent children,Asian/Asian British,1264
2001,E09000007,One family : Married couple family households : With two or more dependent children,Asian/Asian British: Indian,144
2001,E09000007,One family : Married couple family households : With two or more dependent children,Asian/Asian British: Pakistani,39
2001,E09000007,One family : Married couple family households : With two or more dependent children,Asian/Asian British: Bangladeshi,971
2001,E09000007,One family : Married couple family households : With two or more dependent children,Asian/Asian British: Other,110
2001,E09000007,One family : Married couple family households : With two or more dependent children,Black/Black British,449
2001,E09000007,One family : Married couple family households : With two or more dependent children,Black/Black British: Black Caribbean,46
2001,E09000007,One family : Married couple family households : With two or more dependent children,Black/Black British: Black African,384
2001,E09000007,One family : Married couple family households : With two or more dependent children,Black/Black British: Other,19
2001,E09000007,One family : Married couple family households : With two or more dependent children,Chinese/Other,276
2001,E09000007,One family : Married couple family households : With two or more dependent children,Chinese/Other: Chinese,84
2001,E09000007,One family : Married couple family households : With two or more dependent children,Chinese/Other: Other,192
2001,E09000007,One family : Married couple family households : All children non-dependent,White,1733
2001,E09000007,One family : Married couple family households : All children non-dependent,White: British,1211
2001,E09000007,One family : Married couple family households : All children non-dependent,White: Irish,213
2001,E09000007,One family : Married couple family households : All children non-dependent,White: Other,309
2001,E09000007,One family : Married couple family households : All children non-dependent,Mixed,29
2001,E09000007,One family : Married couple family households : All children non-dependent,Mixed: White and Black Caribbean,0
2001,E09000007,One family : Married couple family households : All children non-dependent,Mixed: White and Black African,5
2001,E09000007,One family : Married couple family households : All children non-dependent,Mixed: White and Asian,14
2001,E09000007,One family : Married couple family households : All children non-dependent,Mixed: Other,10
2001,E09000007,One family : Married couple family households : All children non-dependent,Asian/Asian British,172
2001,E09000007,One family : Married couple family households : All children non-dependent,Asian/Asian British: Indian,71
2001,E09000007,One family : Married couple family households : All children non-dependent,Asian/Asian British: Pakistani,14
2001,E09000007,One family : Married couple family households : All children non-dependent,Asian/Asian British: Bangladeshi,62
2001,E09000007,One family : Married couple family households : All children non-dependent,Asian/Asian British: Other,25
2001,E09000007,One family : Married couple family households : All children non-dependent,Black/Black British,83
2001,E09000007,One family : Married couple family households : All children non-dependent,Black/Black British: Black Caribbean,46
2001,E09000007,One family : Married couple family households : All children non-dependent,Black/Black British: Black African,37
2001,E09000007,One family : Married couple family households : All children non-dependent,Black/Black British: Other,0
2001,E09000007,One family : Married couple family households : All children non-dependent,Chinese/Other,74
2001,E09000007,One family : Married couple family households : All children non-dependent,Chinese/Other: Chinese,45
2001,E09000007,One family : Married couple family households : All children non-dependent,Chinese/Other: Other,29
2001,E09000007,One family : Cohabiting couple family households,White,7031
2001,E09000007,One family : Cohabiting couple family households,White: British,5099
2001,E09000007,One family : Cohabiting couple family households,White: Irish,345
2001,E09000007,One family : Cohabiting couple family households,White: Other,1587
2001,E09000007,One family : Cohabiting couple family households,Mixed,230
2001,E09000007,One family : Cohabiting couple family households,Mixed: White and Black Caribbean,45
2001,E09000007,One family : Cohabiting couple family households,Mixed: White and Black African,38
2001,E09000007,One family : Cohabiting couple family households,Mixed: White and Asian,74
2001,E09000007,One family : Cohabiting couple family households,Mixed: Other,73
2001,E09000007,One family : Cohabiting couple family households,Asian/Asian British,206
2001,E09000007,One family : Cohabiting couple family households,Asian/Asian British: Indian,87
2001,E09000007,One family : Cohabiting couple family households,Asian/Asian British: Pakistani,22
2001,E09000007,One family : Cohabiting couple family households,Asian/Asian British: Bangladeshi,55
2001,E09000007,One family : Cohabiting couple family households,Asian/Asian British: Other,42
2001,E09000007,One family : Cohabiting couple family households,Black/Black British,309
2001,E09000007,One family : Cohabiting couple family households,Black/Black British: Black Caribbean,113
2001,E09000007,One family : Cohabiting couple family households,Black/Black British: Black African,170
2001,E09000007,One family : Cohabiting couple family households,Black/Black British: Other,26
2001,E09000007,One family : Cohabiting couple family households,Chinese/Other,161
2001,E09000007,One family : Cohabiting couple family households,Chinese/Other: Chinese,70
2001,E09000007,One family : Cohabiting couple family households,Chinese/Other: Other,91
2001,E09000007,One family : Cohabiting couple family households : No children,White,5487
2001,E09000007,One family : Cohabiting couple family households : No children,White: British,3931
2001,E09000007,One family : Cohabiting couple family households : No children,White: Irish,236
2001,E09000007,One family : Cohabiting couple family households : No children,White: Other,1320
2001,E09000007,One family : Cohabiting couple family households : No children,Mixed,175
2001,E09000007,One family : Cohabiting couple family households : No children,Mixed: White and Black Caribbean,27
2001,E09000007,One family : Cohabiting couple family households : No children,Mixed: White and Black African,26
2001,E09000007,One family : Cohabiting couple family households : No children,Mixed: White and Asian,61
2001,E09000007,One family : Cohabiting couple family households : No children,Mixed: Other,61
2001,E09000007,One family : Cohabiting couple family households : No children,Asian/Asian British,132
2001,E09000007,One family : Cohabiting couple family households : No children,Asian/Asian British: Indian,73
2001,E09000007,One family : Cohabiting couple family households : No children,Asian/Asian British: Pakistani,13
2001,E09000007,One family : Cohabiting couple family households : No children,Asian/Asian British: Bangladeshi,14
2001,E09000007,One family : Cohabiting couple family households : No children,Asian/Asian British: Other,32
2001,E09000007,One family : Cohabiting couple family households : No children,Black/Black British,137
2001,E09000007,One family : Cohabiting couple family households : No children,Black/Black British: Black Caribbean,61
2001,E09000007,One family : Cohabiting couple family households : No children,Black/Black British: Black African,64
2001,E09000007,One family : Cohabiting couple family households : No children,Black/Black British: Other,12
2001,E09000007,One family : Cohabiting couple family households : No children,Chinese/Other,130
2001,E09000007,One family : Cohabiting couple family households : No children,Chinese/Other: Chinese,58
2001,E09000007,One family : Cohabiting couple family households : No children,Chinese/Other: Other,72
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,White,739
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,White: British,541
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,White: Irish,51
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,White: Other,147
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Mixed,24
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Mixed: White and Black Caribbean,8
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Mixed: White and Black African,3
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Mixed: White and Asian,9
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Mixed: Other,4
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Asian/Asian British,21
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Asian/Asian British: Indian,7
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Asian/Asian British: Pakistani,3
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Asian/Asian British: Bangladeshi,5
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Asian/Asian British: Other,6
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Black/Black British,58
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Black/Black British: Black Caribbean,16
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Black/Black British: Black African,38
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Black/Black British: Other,4
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Chinese/Other,19
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Chinese/Other: Chinese,8
2001,E09000007,One family : Cohabiting couple family households : With one dependent child,Chinese/Other: Other,11
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,White,629
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,White: British,500
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,White: Irish,32
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,White: Other,97
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Mixed,28
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Mixed: White and Black Caribbean,10
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Mixed: White and Black African,6
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Mixed: White and Asian,4
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Mixed: Other,8
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Asian/Asian British,44
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Asian/Asian British: Indian,4
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Asian/Asian British: Pakistani,3
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Asian/Asian British: Bangladeshi,33
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Asian/Asian British: Other,4
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Black/Black British,105
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Black/Black British: Black Caribbean,31
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Black/Black British: Black African,64
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Black/Black British: Other,10
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Chinese/Other,8
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Chinese/Other: Chinese,0
2001,E09000007,One family : Cohabiting couple family households : With two or more dependent children,Chinese/Other: Other,8
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,White,176
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,White: British,127
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,White: Irish,26
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,White: Other,23
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Mixed,3
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Mixed: White and Black Caribbean,0
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Mixed: White and Black African,3
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Mixed: White and Asian,0
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Mixed: Other,0
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Asian/Asian British,9
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Asian/Asian British: Indian,3
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Asian/Asian British: Pakistani,3
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Asian/Asian British: Bangladeshi,3
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Asian/Asian British: Other,0
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Black/Black British,9
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Black/Black British: Black Caribbean,5
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Black/Black British: Black African,4
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Black/Black British: Other,0
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Chinese/Other,4
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Chinese/Other: Chinese,4
2001,E09000007,One family : Cohabiting couple family households : All children non-dependent,Chinese/Other: Other,0
2001,E09000007,One family : Lone parent households,White,5900
2001,E09000007,One family : Lone parent households,White: British,4235
2001,E09000007,One family : Lone parent households,White: Irish,655
2001,E09000007,One family : Lone parent households,White: Other,1010
2001,E09000007,One family : Lone parent households,Mixed,366
2001,E09000007,One family : Lone parent households,Mixed: White and Black Caribbean,109
2001,E09000007,One family : Lone parent households,Mixed: White and Black African,81
2001,E09000007,One family : Lone parent households,Mixed: White and Asian,76
2001,E09000007,One family : Lone parent households,Mixed: Other,100
2001,E09000007,One family : Lone parent households,Asian/Asian British,651
2001,E09000007,One family : Lone parent households,Asian/Asian British: Indian,128
2001,E09000007,One family : Lone parent households,Asian/Asian British: Pakistani,55
2001,E09000007,One family : Lone parent households,Asian/Asian British: Bangladeshi,378
2001,E09000007,One family : Lone parent households,Asian/Asian British: Other,90
2001,E09000007,One family : Lone parent households,Black/Black British,1659
2001,E09000007,One family : Lone parent households,Black/Black British: Black Caribbean,480
2001,E09000007,One family : Lone parent households,Black/Black British: Black African,1110
2001,E09000007,One family : Lone parent households,Black/Black British: Other,69
2001,E09000007,One family : Lone parent households,Chinese/Other,304
2001,E09000007,One family : Lone parent households,Chinese/Other: Chinese,84
2001,E09000007,One family : Lone parent households,Chinese/Other: Other,220
2001,E09000007,One family : Lone parent households : With one dependent child,White,2299
2001,E09000007,One family : Lone parent households : With one dependent child,White: British,1612
2001,E09000007,One family : Lone parent households : With one dependent child,White: Irish,228
2001,E09000007,One family : Lone parent households : With one dependent child,White: Other,459
2001,E09000007,One family : Lone parent households : With one dependent child,Mixed,172
2001,E09000007,One family : Lone parent households : With one dependent child,Mixed: White and Black Caribbean,53
2001,E09000007,One family : Lone parent households : With one dependent child,Mixed: White and Black African,35
2001,E09000007,One family : Lone parent households : With one dependent child,Mixed: White and Asian,34
2001,E09000007,One family : Lone parent households : With one dependent child,Mixed: Other,50
2001,E09000007,One family : Lone parent households : With one dependent child,Asian/Asian British,193
2001,E09000007,One family : Lone parent households : With one dependent child,Asian/Asian British: Indian,42
2001,E09000007,One family : Lone parent households : With one dependent child,Asian/Asian British: Pakistani,17
2001,E09000007,One family : Lone parent households : With one dependent child,Asian/Asian British: Bangladeshi,96
2001,E09000007,One family : Lone parent households : With one dependent child,Asian/Asian British: Other,38
2001,E09000007,One family : Lone parent households : With one dependent child,Black/Black British,692
2001,E09000007,One family : Lone parent households : With one dependent child,Black/Black British: Black Caribbean,218
2001,E09000007,One family : Lone parent households : With one dependent child,Black/Black British: Black African,439
2001,E09000007,One family : Lone parent households : With one dependent child,Black/Black British: Other,35
2001,E09000007,One family : Lone parent households : With one dependent child,Chinese/Other,127
2001,E09000007,One family : Lone parent households : With one dependent child,Chinese/Other: Chinese,27
2001,E09000007,One family : Lone parent households : With one dependent child,Chinese/Other: Other,100
2001,E09000007,One family : Lone parent households : With two or more dependent children,White,1526
2001,E09000007,One family : Lone parent households : With two or more dependent children,White: British,1199
2001,E09000007,One family : Lone parent households : With two or more dependent children,White: Irish,111
2001,E09000007,One family : Lone parent households : With two or more dependent children,White: Other,216
2001,E09000007,One family : Lone parent households : With two or more dependent children,Mixed,132
2001,E09000007,One family : Lone parent households : With two or more dependent children,Mixed: White and Black Caribbean,43
2001,E09000007,One family : Lone parent households : With two or more dependent children,Mixed: White and Black African,38
2001,E09000007,One family : Lone parent households : With two or more dependent children,Mixed: White and Asian,25
2001,E09000007,One family : Lone parent households : With two or more dependent children,Mixed: Other,26
2001,E09000007,One family : Lone parent households : With two or more dependent children,Asian/Asian British,278
2001,E09000007,One family : Lone parent households : With two or more dependent children,Asian/Asian British: Indian,24
2001,E09000007,One family : Lone parent households : With two or more dependent children,Asian/Asian British: Pakistani,13
2001,E09000007,One family : Lone parent households : With two or more dependent children,Asian/Asian British: Bangladeshi,211
2001,E09000007,One family : Lone parent households : With two or more dependent children,Asian/Asian British: Other,30
2001,E09000007,One family : Lone parent households : With two or more dependent children,Black/Black British,719
2001,E09000007,One family : Lone parent households : With two or more dependent children,Black/Black British: Black Caribbean,158
2001,E09000007,One family : Lone parent households : With two or more dependent children,Black/Black British: Black African,534
2001,E09000007,One family : Lone parent households : With two or more dependent children,Black/Black British: Other,27
2001,E09000007,One family : Lone parent households : With two or more dependent children,Chinese/Other,76
2001,E09000007,One family : Lone parent households : With two or more dependent children,Chinese/Other: Chinese,22
2001,E09000007,One family : Lone parent households : With two or more dependent children,Chinese/Other: Other,54
2001,E09000007,One family : Lone parent households : All children non-dependent,White,2075
2001,E09000007,One family : Lone parent households : All children non-dependent,White: British,1424
2001,E09000007,One family : Lone parent households : All children non-dependent,White: Irish,316
2001,E09000007,One family : Lone parent households : All children non-dependent,White: Other,335
2001,E09000007,One family : Lone parent households : All children non-dependent,Mixed,62
2001,E09000007,One family : Lone parent households : All children non-dependent,Mixed: White and Black Caribbean,13
2001,E09000007,One family : Lone parent households : All children non-dependent,Mixed: White and Black African,8
2001,E09000007,One family : Lone parent households : All children non-dependent,Mixed: White and Asian,17
2001,E09000007,One family : Lone parent households : All children non-dependent,Mixed: Other,24
2001,E09000007,One family : Lone parent households : All children non-dependent,Asian/Asian British,180
2001,E09000007,One family : Lone parent households : All children non-dependent,Asian/Asian British: Indian,62
2001,E09000007,One family : Lone parent households : All children non-dependent,Asian/Asian British: Pakistani,25
2001,E09000007,One family : Lone parent households : All children non-dependent,Asian/Asian British: Bangladeshi,71
2001,E09000007,One family : Lone parent households : All children non-dependent,Asian/Asian British: Other,22
2001,E09000007,One family : Lone parent households : All children non-dependent,Black/Black British,248
2001,E09000007,One family : Lone parent households : All children non-dependent,Black/Black British: Black Caribbean,104
2001,E09000007,One family : Lone parent households : All children non-dependent,Black/Black British: Black African,137
2001,E09000007,One family : Lone parent households : All children non-dependent,Black/Black British: Other,7
2001,E09000007,One family : Lone parent households : All children non-dependent,Chinese/Other,101
2001,E09000007,One family : Lone parent households : All children non-dependent,Chinese/Other: Chinese,35
2001,E09000007,One family : Lone parent households : All children non-dependent,Chinese/Other: Other,66
2001,E09000007,Other households,White,10056
2001,E09000007,Other households,White: British,6986
2001,E09000007,Other households,White: Irish,560
2001,E09000007,Other households,White: Other,2510
2001,E09000007,Other households,Mixed,408
2001,E09000007,Other households,Mixed: White and Black Caribbean,67
2001,E09000007,Other households,Mixed: White and Black African,73
