date,geography_code,c_age_name,c_dpcfamuk11_name,c_fmtfamuk11_name,obs_value
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Lone parent family: Female parent,10
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 8 to 9,Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 10 to 11,Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 12 to 15,Couple family: Cohabiting: Step-family,3
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,One dependent child in family aged 16 to 18,Couple family: Cohabiting: Step-family,4
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Lone parent family: Male parent,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Lone parent family: Female parent,82
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Non step-family,12
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Non step-family,4
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Step-family,7
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Lone parent family: Female parent,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Lone parent family: Female parent,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Two dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Lone parent family: Female parent,16
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Non step-family,7
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Non step-family,3
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Step-family,12
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Step-family,3
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Lone parent family: Male parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Lone parent family: Female parent,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 24 and under,"Three or more dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Lone parent family: Female parent,4
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Couple family: Married or remarried - Non step-family,2117
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Couple family: Married or remarried - Step-family,6
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Couple family: Cohabiting: Non step-family,4431
2001,E09000007,FRP Age 25 to 34,Families with no dependent children,Couple family: Cohabiting: Step-family,10
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Lone parent family: Male parent,21
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Lone parent family: Female parent,542
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Non step-family,857
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Step-family,20
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Non step-family,227
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Step-family,30
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Lone parent family: Male parent,22
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Lone parent family: Female parent,251
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Non step-family,36
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Non step-family,14
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Step-family,15
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Lone parent family: Male parent,13
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Lone parent family: Female parent,138
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Non step-family,5
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Step-family,5
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Couple family: Cohabiting: Non step-family,4
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 8 to 9,Couple family: Cohabiting: Step-family,9
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Lone parent family: Male parent,14
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Lone parent family: Female parent,79
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Couple family: Married or remarried - Non step-family,6
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Couple family: Cohabiting: Non step-family,5
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 10 to 11,Couple family: Cohabiting: Step-family,4
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Lone parent family: Male parent,12
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Lone parent family: Female parent,67
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Couple family: Married or remarried - Non step-family,6
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Couple family: Cohabiting: Non step-family,3
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 12 to 15,Couple family: Cohabiting: Step-family,8
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Lone parent family: Female parent,10
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Couple family: Married or remarried - Non step-family,6
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Couple family: Married or remarried - Step-family,13
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Couple family: Cohabiting: Non step-family,3
2001,E09000007,FRP Age 25 to 34,One dependent child in family aged 16 to 18,Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Lone parent family: Male parent,12
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Lone parent family: Female parent,379
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Non step-family,589
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Step-family,27
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Non step-family,100
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Step-family,27
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Lone parent family: Male parent,3
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Lone parent family: Female parent,114
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Non step-family,66
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Step-family,6
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Non step-family,10
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Step-family,5
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Lone parent family: Female parent,56
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Non step-family,18
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Non step-family,7
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Step-family,4
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Lone parent family: Female parent,24
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Non step-family,3
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Step-family,3
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Step-family,4
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Lone parent family: Female parent,15
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Step-family,3
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Lone parent family: Female parent,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Two dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Lone parent family: Male parent,3
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Lone parent family: Female parent,260
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Non step-family,279
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Couple family: Married or remarried - Step-family,56
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Non step-family,28
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 0 to 4",Couple family: Cohabiting: Step-family,28
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Lone parent family: Female parent,60
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Non step-family,34
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Couple family: Married or remarried - Step-family,6
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Non step-family,3
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 5 to 7",Couple family: Cohabiting: Step-family,9
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Lone parent family: Female parent,24
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Non step-family,4
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 8 to 9",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Lone parent family: Female parent,5
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Non step-family,3
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 10 to 11",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Lone parent family: Female parent,3
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 12 to 15",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Lone parent family: Male parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Lone parent family: Female parent,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Couple family: Married or remarried - Step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Non step-family,0
2001,E09000007,FRP Age 25 to 34,"Three or more dependent children, youngest aged 16 to 18",Couple family: Cohabiting: Step-family,0
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Lone parent family: Male parent,63
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Lone parent family: Female parent,437
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Couple family: Married or remarried - Non step-family,1865
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Couple family: Married or remarried - Step-family,50
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Couple family: Cohabiting: Non step-family,1671
2001,E09000007,FRP Age 35 to 49,Families with no dependent children,Couple family: Cohabiting: Step-family,50
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Lone parent family: Male parent,48
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Lone parent family: Female parent,280
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Non step-family,674
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Couple family: Married or remarried - Step-family,7
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Non step-family,254
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 0 to 4,Couple family: Cohabiting: Step-family,20
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Lone parent family: Male parent,32
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Lone parent family: Female parent,288
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Non step-family,123
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Couple family: Married or remarried - Step-family,13
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Non step-family,37
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 5 to 7,Couple family: Cohabiting: Step-family,22
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 8 to 9,Lone parent family: Male parent,29
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 8 to 9,Lone parent family: Female parent,208
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Non step-family,82
2001,E09000007,FRP Age 35 to 49,One dependent child in family aged 8 to 9,Couple family: Married or remarried - Step-family,8
