date,geography_code,c2021_hh_depchild_6b_name,c2021_hhfamtype_6_name,c2021_hh_depchild_6b_code,c2021_hhfamtype_6_code,obs_value
2021,E09000004,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,52
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,8591
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,0
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,5014
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,1178
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,2369
2021,E09000004,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,30
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,8666
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,4
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,4931
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,988
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,2699
2021,E09000004,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,44
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,3082
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,1787
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,311
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,978
2021,E09000004,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,6
2021,E09000005,Total,Total,0,0,118612
2021,E09000005,Total,One-person household,0,_1,31984
2021,E09000005,Total,Married or civil partnership couple household,0,_2,48451
2021,E09000005,Total,Cohabiting couple household,0,_3,10396
2021,E09000005,Total,Lone parent household,0,_4,20596
2021,E09000005,Total,Multi-person household,0,_5,7185
2021,E09000005,No dependent children in household,Total,_0,0,78341
2021,E09000005,No dependent children in household,One-person household,_0,_1,31973
2021,E09000005,No dependent children in household,Married or civil partnership couple household,_0,_2,23251
2021,E09000005,No dependent children in household,Cohabiting couple household,_0,_3,7368
2021,E09000005,No dependent children in household,Lone parent household,_0,_4,8868
2021,E09000005,No dependent children in household,Multi-person household,_0,_5,6881
2021,E09000005,Youngest dependent child,Total,1001,0,40271
2021,E09000005,Youngest dependent child,One-person household,1001,_1,11
2021,E09000005,Youngest dependent child,Married or civil partnership couple household,1001,_2,25200
2021,E09000005,Youngest dependent child,Cohabiting couple household,1001,_3,3028
2021,E09000005,Youngest dependent child,Lone parent household,1001,_4,11728
2021,E09000005,Youngest dependent child,Multi-person household,1001,_5,304
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,15689
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,7
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,10693
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,1533
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,3376
2021,E09000005,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,80
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,9958
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,3
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,6248
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,694
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,2946
2021,E09000005,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,67
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,10381
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,1
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,5993
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,602
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,3664
2021,E09000005,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,121
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,4243
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,2266
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,199
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,1742
2021,E09000005,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,36
2021,E09000006,Total,Total,0,0,135831
2021,E09000006,Total,One-person household,0,_1,38668
2021,E09000006,Total,Married or civil partnership couple household,0,_2,60913
2021,E09000006,Total,Cohabiting couple household,0,_3,16342
2021,E09000006,Total,Lone parent household,0,_4,16898
2021,E09000006,Total,Multi-person household,0,_5,3010
2021,E09000006,No dependent children in household,Total,_0,0,92502
2021,E09000006,No dependent children in household,One-person household,_0,_1,38663
2021,E09000006,No dependent children in household,Married or civil partnership couple household,_0,_2,33848
2021,E09000006,No dependent children in household,Cohabiting couple household,_0,_3,10440
2021,E09000006,No dependent children in household,Lone parent household,_0,_4,6660
2021,E09000006,No dependent children in household,Multi-person household,_0,_5,2891
2021,E09000006,Youngest dependent child,Total,1001,0,43329
2021,E09000006,Youngest dependent child,One-person household,1001,_1,5
2021,E09000006,Youngest dependent child,Married or civil partnership couple household,1001,_2,27065
2021,E09000006,Youngest dependent child,Cohabiting couple household,1001,_3,5902
2021,E09000006,Youngest dependent child,Lone parent household,1001,_4,10238
2021,E09000006,Youngest dependent child,Multi-person household,1001,_5,119
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,15955
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,1
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,10043
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,2981
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,2896
2021,E09000006,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,34
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,11274
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,2
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,7167
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,1373
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,2696
2021,E09000006,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,36
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,11765
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,2
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,7252
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,1192
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,3271
2021,E09000006,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,48
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,4335
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,2603
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,356
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,1375
2021,E09000006,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,1
2021,E09000007,Total,Total,0,0,92761
2021,E09000007,Total,One-person household,0,_1,35932
2021,E09000007,Total,Married or civil partnership couple household,0,_2,25234
2021,E09000007,Total,Cohabiting couple household,0,_3,11383
2021,E09000007,Total,Lone parent household,0,_4,11714
2021,E09000007,Total,Multi-person household,0,_5,8498
2021,E09000007,No dependent children in household,Total,_0,0,71617
2021,E09000007,No dependent children in household,One-person household,_0,_1,35920
2021,E09000007,No dependent children in household,Married or civil partnership couple household,_0,_2,12865
2021,E09000007,No dependent children in household,Cohabiting couple household,_0,_3,9412
2021,E09000007,No dependent children in household,Lone parent household,_0,_4,5041
2021,E09000007,No dependent children in household,Multi-person household,_0,_5,8379
2021,E09000007,Youngest dependent child,Total,1001,0,21144
2021,E09000007,Youngest dependent child,One-person household,1001,_1,12
2021,E09000007,Youngest dependent child,Married or civil partnership couple household,1001,_2,12369
2021,E09000007,Youngest dependent child,Cohabiting couple household,1001,_3,1971
2021,E09000007,Youngest dependent child,Lone parent household,1001,_4,6673
2021,E09000007,Youngest dependent child,Multi-person household,1001,_5,119
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,8126
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,6
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,5116
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,1066
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,1901
2021,E09000007,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,37
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,5230
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,1
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,3104
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,415
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,1684
2021,E09000007,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,26
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,5579
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,5
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,3041
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,354
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,2135
2021,E09000007,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,44
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,2209
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,1108
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,136
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,953
2021,E09000007,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,12
2021,E09000008,Total,Total,0,0,152943
2021,E09000008,Total,One-person household,0,_1,43091
2021,E09000008,Total,Married or civil partnership couple household,0,_2,59148
2021,E09000008,Total,Cohabiting couple household,0,_3,17201
2021,E09000008,Total,Lone parent household,0,_4,27820
2021,E09000008,Total,Multi-person household,0,_5,5683
2021,E09000008,No dependent children in household,Total,_0,0,101100
2021,E09000008,No dependent children in household,One-person household,_0,_1,43074
2021,E09000008,No dependent children in household,Married or civil partnership couple household,_0,_2,31503
2021,E09000008,No dependent children in household,Cohabiting couple household,_0,_3,10757
2021,E09000008,No dependent children in household,Lone parent household,_0,_4,10351
2021,E09000008,No dependent children in household,Multi-person household,_0,_5,5415
2021,E09000008,Youngest dependent child,Total,1001,0,51843
2021,E09000008,Youngest dependent child,One-person household,1001,_1,17
2021,E09000008,Youngest dependent child,Married or civil partnership couple household,1001,_2,27645
2021,E09000008,Youngest dependent child,Cohabiting couple household,1001,_3,6444
2021,E09000008,Youngest dependent child,Lone parent household,1001,_4,17469
2021,E09000008,Youngest dependent child,Multi-person household,1001,_5,268
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,20399
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,7
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,11258
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,3426
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,5637
2021,E09000008,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,71
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,13186
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,6
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,Married or civil partnership couple household,_2,_2,6943
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,Cohabiting couple household,_2,_3,1485
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,Lone parent household,_2,_4,4671
2021,E09000008,Youngest dependent child: Aged 5 to 9 years,Multi-person household,_2,_5,81
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,Total,_3,0,13249
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,One-person household,_3,_1,4
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,Married or civil partnership couple household,_3,_2,6865
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,Cohabiting couple household,_3,_3,1169
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,Lone parent household,_3,_4,5104
2021,E09000008,Youngest dependent child: Aged 10 to 15 years,Multi-person household,_3,_5,107
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,Total,_4,0,5009
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,One-person household,_4,_1,0
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,Married or civil partnership couple household,_4,_2,2579
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,Cohabiting couple household,_4,_3,364
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,Lone parent household,_4,_4,2057
2021,E09000008,Youngest dependent child: Aged 16 to 18 years,Multi-person household,_4,_5,9
2021,E09000009,Total,Total,0,0,133662
2021,E09000009,Total,One-person household,0,_1,35662
2021,E09000009,Total,Married or civil partnership couple household,0,_2,56982
2021,E09000009,Total,Cohabiting couple household,0,_3,13534
2021,E09000009,Total,Lone parent household,0,_4,19952
2021,E09000009,Total,Multi-person household,0,_5,7532
2021,E09000009,No dependent children in household,Total,_0,0,87872
2021,E09000009,No dependent children in household,One-person household,_0,_1,35642
2021,E09000009,No dependent children in household,Married or civil partnership couple household,_0,_2,26637
2021,E09000009,No dependent children in household,Cohabiting couple household,_0,_3,9604
2021,E09000009,No dependent children in household,Lone parent household,_0,_4,8649
2021,E09000009,No dependent children in household,Multi-person household,_0,_5,7340
2021,E09000009,Youngest dependent child,Total,1001,0,45790
2021,E09000009,Youngest dependent child,One-person household,1001,_1,20
2021,E09000009,Youngest dependent child,Married or civil partnership couple household,1001,_2,30345
2021,E09000009,Youngest dependent child,Cohabiting couple household,1001,_3,3930
2021,E09000009,Youngest dependent child,Lone parent household,1001,_4,11303
2021,E09000009,Youngest dependent child,Multi-person household,1001,_5,192
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,Total,_1,0,17195
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,One-person household,_1,_1,6
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,Married or civil partnership couple household,_1,_2,11888
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,Cohabiting couple household,_1,_3,2001
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,Lone parent household,_1,_4,3248
2021,E09000009,Youngest dependent child: Aged 0 to 4 years,Multi-person household,_1,_5,52
2021,E09000009,Youngest dependent child: Aged 5 to 9 years,Total,_2,0,11645
2021,E09000009,Youngest dependent child: Aged 5 to 9 years,One-person household,_2,_1,4
