lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,ethnic_group_20,observation
E09000001,City of London,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E09000001,City of London,Single family household: All aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,1
E09000001,City of London,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: All aged 66 years and over,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,0
E09000001,City of London,Single family household: All aged 66 years and over,"White: English, Welsh, Scottish, Northern Irish or British",165
E09000001,City of London,Single family household: All aged 66 years and over,White: Irish,4
E09000001,City of London,Single family household: All aged 66 years and over,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: All aged 66 years and over,White: Roma,1
E09000001,City of London,Single family household: All aged 66 years and over,White: Other White,17
E09000001,City of London,Single family household: All aged 66 years and over,Other ethnic group: Arab,1
E09000001,City of London,Single family household: All aged 66 years and over,Other ethnic group: Any other ethnic group,1
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",3
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Chinese",22
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Indian",28
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Asian, Asian British or Asian Welsh: Other Asian",14
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: African",0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Asian,2
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black African,1
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,14
E09000001,City of London,Single family household: Married or civil partnership couple: No children,"White: English, Welsh, Scottish, Northern Irish or British",239
E09000001,City of London,Single family household: Married or civil partnership couple: No children,White: Irish,12
E09000001,City of London,Single family household: Married or civil partnership couple: No children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,White: Roma,0
E09000001,City of London,Single family household: Married or civil partnership couple: No children,White: Other White,156
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Other ethnic group: Arab,3
E09000001,City of London,Single family household: Married or civil partnership couple: No children,Other ethnic group: Any other ethnic group,26
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",18
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Chinese",8
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Indian",12
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Pakistani",1
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Asian, Asian British or Asian Welsh: Other Asian",13
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",8
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Asian,2
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,4
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"White: English, Welsh, Scottish, Northern Irish or British",94
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,White: Irish,5
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,White: Roma,2
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,White: Other White,61
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Arab,7
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Other ethnic group: Any other ethnic group,13
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",9
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",4
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",5
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",3
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",34
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,White: Irish,1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,White: Roma,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,White: Other White,10
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Arab,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Other ethnic group: Any other ethnic group,4
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Bangladeshi",2
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Chinese",51
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Indian",13
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Pakistani",1
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Asian, Asian British or Asian Welsh: Other Asian",10
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: African",4
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E09000001,City of London,Single family household: Cohabiting couple family: No children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Asian,14
E09000001,City of London,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black African,1
E09000001,City of London,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E09000001,City of London,Single family household: Cohabiting couple family: No children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,9
E09000001,City of London,Single family household: Cohabiting couple family: No children,"White: English, Welsh, Scottish, Northern Irish or British",252
E09000001,City of London,Single family household: Cohabiting couple family: No children,White: Irish,9
E09000001,City of London,Single family household: Cohabiting couple family: No children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Cohabiting couple family: No children,White: Roma,6
E09000001,City of London,Single family household: Cohabiting couple family: No children,White: Other White,189
E09000001,City of London,Single family household: Cohabiting couple family: No children,Other ethnic group: Arab,4
E09000001,City of London,Single family household: Cohabiting couple family: No children,Other ethnic group: Any other ethnic group,25
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",23
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,White: Irish,3
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,White: Roma,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,White: Other White,14
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Arab,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Other ethnic group: Any other ethnic group,7
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",7
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,White: Irish,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,White: Roma,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,White: Other White,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Arab,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Other ethnic group: Any other ethnic group,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",6
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",1
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Indian",0
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",4
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",6
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Single family household: Lone parent family: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E09000001,City of London,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Asian,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E09000001,City of London,Single family household: Lone parent family: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3
E09000001,City of London,Single family household: Lone parent family: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",27
E09000001,City of London,Single family household: Lone parent family: With dependent children,White: Irish,2
E09000001,City of London,Single family household: Lone parent family: With dependent children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,White: Roma,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,White: Other White,28
E09000001,City of London,Single family household: Lone parent family: With dependent children,Other ethnic group: Arab,1
E09000001,City of London,Single family household: Lone parent family: With dependent children,Other ethnic group: Any other ethnic group,6
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Bangladeshi",7
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Chinese",5
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Indian",0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Asian, Asian British or Asian Welsh: Other Asian",1
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: African",6
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Asian,2
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: White and Black Caribbean,1
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,1
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"White: English, Welsh, Scottish, Northern Irish or British",35
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,White: Irish,3
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,White: Gypsy or Irish Traveller,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,White: Roma,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,White: Other White,16
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Arab,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Other ethnic group: Any other ethnic group,5
E09000001,City of London,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E09000001,City of London,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Chinese",16
E09000001,City of London,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Indian",3
E09000001,City of London,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Pakistani",1
E09000001,City of London,Other household types: Other related household: Other family composition,"Asian, Asian British or Asian Welsh: Other Asian",1
E09000001,City of London,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: African",2
E09000001,City of London,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1
E09000001,City of London,Other household types: Other related household: Other family composition,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Asian,1
E09000001,City of London,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Other household types: Other related household: Other family composition,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
E09000001,City of London,Other household types: Other related household: Other family composition,"White: English, Welsh, Scottish, Northern Irish or British",26
E09000001,City of London,Other household types: Other related household: Other family composition,White: Irish,1
E09000001,City of London,Other household types: Other related household: Other family composition,White: Gypsy or Irish Traveller,0
E09000001,City of London,Other household types: Other related household: Other family composition,White: Roma,1
E09000001,City of London,Other household types: Other related household: Other family composition,White: Other White,32
E09000001,City of London,Other household types: Other related household: Other family composition,Other ethnic group: Arab,1
E09000001,City of London,Other household types: Other related household: Other family composition,Other ethnic group: Any other ethnic group,8
E09000001,City of London,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Bangladeshi",12
E09000001,City of London,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Chinese",1
E09000001,City of London,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Indian",1
E09000001,City of London,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Pakistani",0
E09000001,City of London,Other household types: With dependent children,"Asian, Asian British or Asian Welsh: Other Asian",0
E09000001,City of London,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: African",0
E09000001,City of London,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E09000001,City of London,Other household types: With dependent children,"Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Asian,0
E09000001,City of London,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black African,0
E09000001,City of London,Other household types: With dependent children,Mixed or Multiple ethnic groups: White and Black Caribbean,0
E09000001,City of London,Other household types: With dependent children,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,2
E09000001,City of London,Other household types: With dependent children,"White: English, Welsh, Scottish, Northern Irish or British",5
E09000001,City of London,Other household types: With dependent children,White: Irish,0
E09000001,City of London,Other household types: With dependent children,White: Gypsy or Irish Traveller,0
E09000001,City of London,Other household types: With dependent children,White: Roma,0
E09000001,City of London,Other household types: With dependent children,White: Other White,6
E09000001,City of London,Other household types: With dependent children,Other ethnic group: Arab,1
E09000001,City of London,Other household types: With dependent children,Other ethnic group: Any other ethnic group,0
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Bangladeshi",7
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Chinese",39
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Indian",28
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Pakistani",1
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Asian, Asian British or Asian Welsh: Other Asian",13
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: African",5
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","Black, Black British, Black Welsh, Caribbean or African: Other Black",0
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Asian,13
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black African,1
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: White and Black Caribbean,3
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,11
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","White: English, Welsh, Scottish, Northern Irish or British",138
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Irish,6
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Gypsy or Irish Traveller,0
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Roma,2
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",White: Other White,118
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Other ethnic group: Arab,6
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Other ethnic group: Any other ethnic group,5
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Bangladeshi",19
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Chinese",52
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Indian",89
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Pakistani",41
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Asian, Asian British or Asian Welsh: Other Asian",31
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: African",222
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",176
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"Black, Black British, Black Welsh, Caribbean or African: Other Black",43
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Asian,7
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black African,16
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Mixed or Multiple ethnic groups: White and Black Caribbean,18
