Lower tier local authorities Code,Lower tier local authorities,Household composition (37 categories) Code,Household composition (37 categories),Observation
E09000003,Barnet,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1856
E09000003,Barnet,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1660
E09000003,Barnet,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,613
E09000003,Barnet,24,Single family household: Same-sex cohabiting couple family: No children,545
E09000003,Barnet,25,Single family household: Same-sex cohabiting couple family: With one dependent child,23
E09000003,Barnet,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,26
E09000003,Barnet,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,29
E09000003,Barnet,28,Single family household: Lone parent family: With one dependent child,5693
E09000003,Barnet,29,Single family household: Lone parent family: With two or more dependent children,4783
E09000003,Barnet,30,Single family household: Lone parent family: All children non-dependent,7627
E09000003,Barnet,31,Other household types: Other related household: Other family composition,2218
E09000003,Barnet,32,Other household types: With one dependent child,3127
E09000003,Barnet,33,Other household types: With two or more dependent children,3338
E09000003,Barnet,34,Other household types: All in full-time education,351
E09000003,Barnet,35,Other household types: All aged 66 years and over,181
E09000003,Barnet,36,Other household types: Other family composition,9029
E09000004,Bexley,-8,Does not apply,0
E09000004,Bexley,1,One-person household: Aged 66 years and over,11968
E09000004,Bexley,2,One-person household: Other,12785
E09000004,Bexley,3,Single family household: All aged 66 years and over,7730
E09000004,Bexley,4,Single family household: Opposite-sex married couple family: No children,7965
E09000004,Bexley,5,Single family household: Opposite-sex married couple family: With one dependent child,6208
E09000004,Bexley,6,Single family household: Opposite-sex married couple family: With two or more dependent children,10112
E09000004,Bexley,7,Single family household: Opposite-sex married couple family: All children non-dependent,7308
E09000004,Bexley,8,Single family household: Same-sex married couple family: No children,89
E09000004,Bexley,9,Single family household: Same-sex married couple family: With one dependent child,14
E09000004,Bexley,10,Single family household: Same-sex married couple family: With two or more dependent children,11
E09000004,Bexley,11,Single family household: Same-sex married couple family: All children non-dependent,4
E09000004,Bexley,12,Single family household: Opposite-sex civil partnership couple family: No children,15
E09000004,Bexley,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,7
E09000004,Bexley,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,13
E09000004,Bexley,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,6
E09000004,Bexley,16,Single family household: Same-sex civil partnership couple family: No children,46
E09000004,Bexley,17,Single family household: Same-sex civil partnership couple family: With one dependent child,0
E09000004,Bexley,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,2
E09000004,Bexley,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000004,Bexley,20,Single family household: Opposite-sex cohabiting couple family: No children,4172
E09000004,Bexley,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2110
E09000004,Bexley,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2409
E09000004,Bexley,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,863
E09000004,Bexley,24,Single family household: Same-sex cohabiting couple family: No children,278
E09000004,Bexley,25,Single family household: Same-sex cohabiting couple family: With one dependent child,27
E09000004,Bexley,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,16
E09000004,Bexley,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,22
E09000004,Bexley,28,Single family household: Lone parent family: With one dependent child,3638
E09000004,Bexley,29,Single family household: Lone parent family: With two or more dependent children,4027
E09000004,Bexley,30,Single family household: Lone parent family: All children non-dependent,5016
E09000004,Bexley,31,Other household types: Other related household: Other family composition,792
E09000004,Bexley,32,Other household types: With one dependent child,1917
E09000004,Bexley,33,Other household types: With two or more dependent children,2012
E09000004,Bexley,34,Other household types: All in full-time education,222
E09000004,Bexley,35,Other household types: All aged 66 years and over,92
E09000004,Bexley,36,Other household types: Other family composition,3400
E09000005,Brent,-8,Does not apply,0
E09000005,Brent,1,One-person household: Aged 66 years and over,9712
E09000005,Brent,2,One-person household: Other,22273
E09000005,Brent,3,Single family household: All aged 66 years and over,4302
E09000005,Brent,4,Single family household: Opposite-sex married couple family: No children,7241
E09000005,Brent,5,Single family household: Opposite-sex married couple family: With one dependent child,7177
E09000005,Brent,6,Single family household: Opposite-sex married couple family: With two or more dependent children,11281
E09000005,Brent,7,Single family household: Opposite-sex married couple family: All children non-dependent,7853
E09000005,Brent,8,Single family household: Same-sex married couple family: No children,122
E09000005,Brent,9,Single family household: Same-sex married couple family: With one dependent child,12
E09000005,Brent,10,Single family household: Same-sex married couple family: With two or more dependent children,31
E09000005,Brent,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000005,Brent,12,Single family household: Opposite-sex civil partnership couple family: No children,38
E09000005,Brent,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,13
E09000005,Brent,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,19
E09000005,Brent,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,8
E09000005,Brent,16,Single family household: Same-sex civil partnership couple family: No children,63
E09000005,Brent,17,Single family household: Same-sex civil partnership couple family: With one dependent child,1
E09000005,Brent,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,5
E09000005,Brent,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,0
E09000005,Brent,20,Single family household: Opposite-sex cohabiting couple family: No children,4650
E09000005,Brent,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1207
E09000005,Brent,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1191
E09000005,Brent,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,506
E09000005,Brent,24,Single family household: Same-sex cohabiting couple family: No children,442
E09000005,Brent,25,Single family household: Same-sex cohabiting couple family: With one dependent child,35
E09000005,Brent,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,15
E09000005,Brent,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,11
E09000005,Brent,28,Single family household: Lone parent family: With one dependent child,5165
E09000005,Brent,29,Single family household: Lone parent family: With two or more dependent children,4665
E09000005,Brent,30,Single family household: Lone parent family: All children non-dependent,7848
E09000005,Brent,31,Other household types: Other related household: Other family composition,2406
E09000005,Brent,32,Other household types: With one dependent child,4119
E09000005,Brent,33,Other household types: With two or more dependent children,5177
E09000005,Brent,34,Other household types: All in full-time education,235
E09000005,Brent,35,Other household types: All aged 66 years and over,151
E09000005,Brent,36,Other household types: Other family composition,10641
E09000006,Bromley,-8,Does not apply,0
E09000006,Bromley,1,One-person household: Aged 66 years and over,17443
E09000006,Bromley,2,One-person household: Other,21225
E09000006,Bromley,3,Single family household: All aged 66 years and over,11684
E09000006,Bromley,4,Single family household: Opposite-sex married couple family: No children,12267
E09000006,Bromley,5,Single family household: Opposite-sex married couple family: With one dependent child,9866
E09000006,Bromley,6,Single family household: Opposite-sex married couple family: With two or more dependent children,15020
E09000006,Bromley,7,Single family household: Opposite-sex married couple family: All children non-dependent,8609
E09000006,Bromley,8,Single family household: Same-sex married couple family: No children,279
E09000006,Bromley,9,Single family household: Same-sex married couple family: With one dependent child,41
E09000006,Bromley,10,Single family household: Same-sex married couple family: With two or more dependent children,23
E09000006,Bromley,11,Single family household: Same-sex married couple family: All children non-dependent,6
E09000006,Bromley,12,Single family household: Opposite-sex civil partnership couple family: No children,24
E09000006,Bromley,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,21
E09000006,Bromley,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,13
E09000006,Bromley,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,10
E09000006,Bromley,16,Single family household: Same-sex civil partnership couple family: No children,133
E09000006,Bromley,17,Single family household: Same-sex civil partnership couple family: With one dependent child,9
E09000006,Bromley,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,7
E09000006,Bromley,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,3
E09000006,Bromley,20,Single family household: Opposite-sex cohabiting couple family: No children,7426
E09000006,Bromley,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2693
E09000006,Bromley,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2677
E09000006,Bromley,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,940
E09000006,Bromley,24,Single family household: Same-sex cohabiting couple family: No children,655
E09000006,Bromley,25,Single family household: Same-sex cohabiting couple family: With one dependent child,27
E09000006,Bromley,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,34
E09000006,Bromley,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,10
E09000006,Bromley,28,Single family household: Lone parent family: With one dependent child,4671
E09000006,Bromley,29,Single family household: Lone parent family: With two or more dependent children,4627
E09000006,Bromley,30,Single family household: Lone parent family: All children non-dependent,6149
E09000006,Bromley,31,Other household types: Other related household: Other family composition,986
E09000006,Bromley,32,Other household types: With one dependent child,1804
E09000006,Bromley,33,Other household types: With two or more dependent children,1740
E09000006,Bromley,34,Other household types: All in full-time education,21
E09000006,Bromley,35,Other household types: All aged 66 years and over,128
E09000006,Bromley,36,Other household types: Other family composition,4558
E09000007,Camden,-8,Does not apply,0
E09000007,Camden,1,One-person household: Aged 66 years and over,9718
E09000007,Camden,2,One-person household: Other,26213
E09000007,Camden,3,Single family household: All aged 66 years and over,3004
E09000007,Camden,4,Single family household: Opposite-sex married couple family: No children,6052
E09000007,Camden,5,Single family household: Opposite-sex married couple family: With one dependent child,4404
E09000007,Camden,6,Single family household: Opposite-sex married couple family: With two or more dependent children,6596
E09000007,Camden,7,Single family household: Opposite-sex married couple family: All children non-dependent,2697
E09000007,Camden,8,Single family household: Same-sex married couple family: No children,358
E09000007,Camden,9,Single family household: Same-sex married couple family: With one dependent child,15
E09000007,Camden,10,Single family household: Same-sex married couple family: With two or more dependent children,14
E09000007,Camden,11,Single family household: Same-sex married couple family: All children non-dependent,2
E09000007,Camden,12,Single family household: Opposite-sex civil partnership couple family: No children,83
E09000007,Camden,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,18
E09000007,Camden,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,24
E09000007,Camden,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,4
E09000007,Camden,16,Single family household: Same-sex civil partnership couple family: No children,231
E09000007,Camden,17,Single family household: Same-sex civil partnership couple family: With one dependent child,3
E09000007,Camden,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,8
E09000007,Camden,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,2
E09000007,Camden,20,Single family household: Opposite-sex cohabiting couple family: No children,7040
E09000007,Camden,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,934
E09000007,Camden,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,803
E09000007,Camden,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,310
E09000007,Camden,24,Single family household: Same-sex cohabiting couple family: No children,857
E09000007,Camden,25,Single family household: Same-sex cohabiting couple family: With one dependent child,17
E09000007,Camden,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,13
E09000007,Camden,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,12
E09000007,Camden,28,Single family household: Lone parent family: With one dependent child,3190
E09000007,Camden,29,Single family household: Lone parent family: With two or more dependent children,2755
E09000007,Camden,30,Single family household: Lone parent family: All children non-dependent,4614
E09000007,Camden,31,Other household types: Other related household: Other family composition,1656
E09000007,Camden,32,Other household types: With one dependent child,1061
E09000007,Camden,33,Other household types: With two or more dependent children,1212
E09000007,Camden,34,Other household types: All in full-time education,1876
E09000007,Camden,35,Other household types: All aged 66 years and over,98
E09000007,Camden,36,Other household types: Other family composition,6864
E09000008,Croydon,-8,Does not apply,0
E09000008,Croydon,1,One-person household: Aged 66 years and over,14652
E09000008,Croydon,2,One-person household: Other,28439
E09000008,Croydon,3,Single family household: All aged 66 years and over,8471
E09000008,Croydon,4,Single family household: Opposite-sex married couple family: No children,11386
E09000008,Croydon,5,Single family household: Opposite-sex married couple family: With one dependent child,9608
E09000008,Croydon,6,Single family household: Opposite-sex married couple family: With two or more dependent children,13868
E09000008,Croydon,7,Single family household: Opposite-sex married couple family: All children non-dependent,9214
E09000008,Croydon,8,Single family household: Same-sex married couple family: No children,264
E09000008,Croydon,9,Single family household: Same-sex married couple family: With one dependent child,25
E09000008,Croydon,10,Single family household: Same-sex married couple family: With two or more dependent children,19
E09000008,Croydon,11,Single family household: Same-sex married couple family: All children non-dependent,4
E09000008,Croydon,12,Single family household: Opposite-sex civil partnership couple family: No children,34
E09000008,Croydon,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,27
E09000008,Croydon,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,28
E09000008,Croydon,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,24
E09000008,Croydon,16,Single family household: Same-sex civil partnership couple family: No children,137
E09000008,Croydon,17,Single family household: Same-sex civil partnership couple family: With one dependent child,12
E09000008,Croydon,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,12
E09000008,Croydon,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,1
E09000008,Croydon,20,Single family household: Opposite-sex cohabiting couple family: No children,7385
E09000008,Croydon,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,2699
E09000008,Croydon,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2904
E09000008,Croydon,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,1074
E09000008,Croydon,24,Single family household: Same-sex cohabiting couple family: No children,642
E09000008,Croydon,25,Single family household: Same-sex cohabiting couple family: With one dependent child,47
E09000008,Croydon,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,39
E09000008,Croydon,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,26
E09000008,Croydon,28,Single family household: Lone parent family: With one dependent child,7717
E09000008,Croydon,29,Single family household: Lone parent family: With two or more dependent children,7452
E09000008,Croydon,30,Single family household: Lone parent family: All children non-dependent,9374
E09000008,Croydon,31,Other household types: Other related household: Other family composition,2149
E09000008,Croydon,32,Other household types: With one dependent child,3574
E09000008,Croydon,33,Other household types: With two or more dependent children,3676
E09000008,Croydon,34,Other household types: All in full-time education,54
E09000008,Croydon,35,Other household types: All aged 66 years and over,171
E09000008,Croydon,36,Other household types: Other family composition,7738
E09000009,Ealing,-8,Does not apply,0
E09000009,Ealing,1,One-person household: Aged 66 years and over,11837
E09000009,Ealing,2,One-person household: Other,23825
E09000009,Ealing,3,Single family household: All aged 66 years and over,5423
E09000009,Ealing,4,Single family household: Opposite-sex married couple family: No children,9380
E09000009,Ealing,5,Single family household: Opposite-sex married couple family: With one dependent child,9288
E09000009,Ealing,6,Single family household: Opposite-sex married couple family: With two or more dependent children,14991
E09000009,Ealing,7,Single family household: Opposite-sex married couple family: All children non-dependent,8639
E09000009,Ealing,8,Single family household: Same-sex married couple family: No children,215
E09000009,Ealing,9,Single family household: Same-sex married couple family: With one dependent child,16
E09000009,Ealing,10,Single family household: Same-sex married couple family: With two or more dependent children,12
E09000009,Ealing,11,Single family household: Same-sex married couple family: All children non-dependent,7
E09000009,Ealing,12,Single family household: Opposite-sex civil partnership couple family: No children,44
E09000009,Ealing,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,25
E09000009,Ealing,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,25
E09000009,Ealing,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,9
E09000009,Ealing,16,Single family household: Same-sex civil partnership couple family: No children,134
E09000009,Ealing,17,Single family household: Same-sex civil partnership couple family: With one dependent child,6
E09000009,Ealing,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,4
E09000009,Ealing,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,4
E09000009,Ealing,20,Single family household: Opposite-sex cohabiting couple family: No children,6412
E09000009,Ealing,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1711
E09000009,Ealing,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,1537
E09000009,Ealing,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,597
E09000009,Ealing,24,Single family household: Same-sex cohabiting couple family: No children,625
E09000009,Ealing,25,Single family household: Same-sex cohabiting couple family: With one dependent child,46
E09000009,Ealing,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,28
E09000009,Ealing,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,22
E09000009,Ealing,28,Single family household: Lone parent family: With one dependent child,4983
E09000009,Ealing,29,Single family household: Lone parent family: With two or more dependent children,4575
E09000009,Ealing,30,Single family household: Lone parent family: All children non-dependent,7690
E09000009,Ealing,31,Other household types: Other related household: Other family composition,2288
E09000009,Ealing,32,Other household types: With one dependent child,3788
E09000009,Ealing,33,Other household types: With two or more dependent children,4632
E09000009,Ealing,34,Other household types: All in full-time education,287
E09000009,Ealing,35,Other household types: All aged 66 years and over,135
E09000009,Ealing,36,Other household types: Other family composition,10419
E09000010,Enfield,-8,Does not apply,0
E09000010,Enfield,1,One-person household: Aged 66 years and over,12251
E09000010,Enfield,2,One-person household: Other,18908
E09000010,Enfield,3,Single family household: All aged 66 years and over,6921
E09000010,Enfield,4,Single family household: Opposite-sex married couple family: No children,7818
E09000010,Enfield,5,Single family household: Opposite-sex married couple family: With one dependent child,7719
E09000010,Enfield,6,Single family household: Opposite-sex married couple family: With two or more dependent children,12460
E09000010,Enfield,7,Single family household: Opposite-sex married couple family: All children non-dependent,8958
E09000010,Enfield,8,Single family household: Same-sex married couple family: No children,94
E09000010,Enfield,9,Single family household: Same-sex married couple family: With one dependent child,14
E09000010,Enfield,10,Single family household: Same-sex married couple family: With two or more dependent children,12
E09000010,Enfield,11,Single family household: Same-sex married couple family: All children non-dependent,3
E09000010,Enfield,12,Single family household: Opposite-sex civil partnership couple family: No children,27
E09000010,Enfield,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,19
E09000010,Enfield,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,34
E09000010,Enfield,15,Single family household: Opposite-sex civil partnership couple family: All children non-dependent,13
E09000010,Enfield,16,Single family household: Same-sex civil partnership couple family: No children,62
E09000010,Enfield,17,Single family household: Same-sex civil partnership couple family: With one dependent child,3
E09000010,Enfield,18,Single family household: Same-sex civil partnership couple family: With two or more dependent children,7
E09000010,Enfield,19,Single family household: Same-sex civil partnership couple family: All children non-dependent,2
E09000010,Enfield,20,Single family household: Opposite-sex cohabiting couple family: No children,3616
E09000010,Enfield,21,Single family household: Opposite-sex cohabiting couple family: With one dependent child,1717
E09000010,Enfield,22,Single family household: Opposite-sex cohabiting couple family: With two or more dependent children,2162
E09000010,Enfield,23,Single family household: Opposite-sex cohabiting couple family: All children non-dependent,765
E09000010,Enfield,24,Single family household: Same-sex cohabiting couple family: No children,320
E09000010,Enfield,25,Single family household: Same-sex cohabiting couple family: With one dependent child,30
E09000010,Enfield,26,Single family household: Same-sex cohabiting couple family: With two or more dependent children,28
E09000010,Enfield,27,Single family household: Same-sex cohabiting couple family: All children non-dependent,21
E09000010,Enfield,28,Single family household: Lone parent family: With one dependent child,6667
E09000010,Enfield,29,Single family household: Lone parent family: With two or more dependent children,7606
E09000010,Enfield,30,Single family household: Lone parent family: All children non-dependent,8150
E09000010,Enfield,31,Other household types: Other related household: Other family composition,1642
E09000010,Enfield,32,Other household types: With one dependent child,3043
E09000010,Enfield,33,Other household types: With two or more dependent children,3881
E09000010,Enfield,34,Other household types: All in full-time education,28
E09000010,Enfield,35,Other household types: All aged 66 years and over,112
E09000010,Enfield,36,Other household types: Other family composition,5812
E09000011,Greenwich,-8,Does not apply,0
E09000011,Greenwich,1,One-person household: Aged 66 years and over,9581
E09000011,Greenwich,2,One-person household: Other,24467
E09000011,Greenwich,3,Single family household: All aged 66 years and over,4097
E09000011,Greenwich,4,Single family household: Opposite-sex married couple family: No children,8820
E09000011,Greenwich,5,Single family household: Opposite-sex married couple family: With one dependent child,6568
E09000011,Greenwich,6,Single family household: Opposite-sex married couple family: With two or more dependent children,9497
E09000011,Greenwich,7,Single family household: Opposite-sex married couple family: All children non-dependent,5135
E09000011,Greenwich,8,Single family household: Same-sex married couple family: No children,353
E09000011,Greenwich,9,Single family household: Same-sex married couple family: With one dependent child,37
E09000011,Greenwich,10,Single family household: Same-sex married couple family: With two or more dependent children,19
E09000011,Greenwich,11,Single family household: Same-sex married couple family: All children non-dependent,0
E09000011,Greenwich,12,Single family household: Opposite-sex civil partnership couple family: No children,39
E09000011,Greenwich,13,Single family household: Opposite-sex civil partnership couple family: With one dependent child,23
E09000011,Greenwich,14,Single family household: Opposite-sex civil partnership couple family: With two or more dependent children,26
