lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,national_statistics_socio-economic_classification_ns-sec_10,observation
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L13: Routine occupations,8
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L14.1 and L14.2: Never worked and long-term unemployed,6
E09000001,City of London,Single family household: Married or civil partnership couple: No children,L15: Full-time students,2
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",118
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",59
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L7: Intermediate occupations,10
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L8 and L9: Small employers and own account workers,21
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L10 and L11: Lower supervisory and technical occupations,9
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L12: Semi-routine occupations,11
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L13: Routine occupations,12
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L14.1 and L14.2: Never worked and long-term unemployed,14
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,L15: Full-time students,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",22
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",17
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L7: Intermediate occupations,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L8 and L9: Small employers and own account workers,10
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L12: Semi-routine occupations,6
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L13: Routine occupations,4
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,9
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,L15: Full-time students,0
E09000001,City of London,Single family household: Cohabiting couple family: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",309
E09000001,City of London,Single family household: Cohabiting couple family: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",166
E09000001,City of London,Single family household: Cohabiting couple family: No children,L7: Intermediate occupations,32
E09000001,City of London,Single family household: Cohabiting couple family: No children,L8 and L9: Small employers and own account workers,25
E09000001,City of London,Single family household: Cohabiting couple family: No children,L10 and L11: Lower supervisory and technical occupations,8
E09000001,City of London,Single family household: Cohabiting couple family: No children,L12: Semi-routine occupations,15
E09000001,City of London,Single family household: Cohabiting couple family: No children,L13: Routine occupations,8
E09000001,City of London,Single family household: Cohabiting couple family: No children,L14.1 and L14.2: Never worked and long-term unemployed,2
E09000001,City of London,Single family household: Cohabiting couple family: No children,L15: Full-time students,31
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",29
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",11
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L7: Intermediate occupations,4
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L8 and L9: Small employers and own account workers,3
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L10 and L11: Lower supervisory and technical occupations,3
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L12: Semi-routine occupations,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L13: Routine occupations,3
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,L15: Full-time students,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L7: Intermediate occupations,1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L8 and L9: Small employers and own account workers,3
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L12: Semi-routine occupations,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L13: Routine occupations,1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,L15: Full-time students,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",21
E09000001,City of London,Single family household: Lone parent family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",22
E09000001,City of London,Single family household: Lone parent family: With dependent children,L7: Intermediate occupations,13
E09000001,City of London,Single family household: Lone parent family: With dependent children,L8 and L9: Small employers and own account workers,9
E09000001,City of London,Single family household: Lone parent family: With dependent children,L10 and L11: Lower supervisory and technical occupations,2
E09000001,City of London,Single family household: Lone parent family: With dependent children,L12: Semi-routine occupations,8
E09000001,City of London,Single family household: Lone parent family: With dependent children,L13: Routine occupations,4
E09000001,City of London,Single family household: Lone parent family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,8
E09000001,City of London,Single family household: Lone parent family: With dependent children,L15: Full-time students,2
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",23
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",16
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L7: Intermediate occupations,6
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L8 and L9: Small employers and own account workers,7
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L12: Semi-routine occupations,8
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L13: Routine occupations,12
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,7
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,L15: Full-time students,2
E09000001,City of London,Other household types: Other related household: Other family composition,"L1, L2 and L3: Higher managerial, administrative and professional occupations",40
E09000001,City of London,Other household types: Other related household: Other family composition,"L4, L5 and L6: Lower managerial, administrative and professional occupations",24
E09000001,City of London,Other household types: Other related household: Other family composition,L7: Intermediate occupations,6
E09000001,City of London,Other household types: Other related household: Other family composition,L8 and L9: Small employers and own account workers,2
E09000001,City of London,Other household types: Other related household: Other family composition,L10 and L11: Lower supervisory and technical occupations,1
E09000001,City of London,Other household types: Other related household: Other family composition,L12: Semi-routine occupations,2
E09000001,City of London,Other household types: Other related household: Other family composition,L13: Routine occupations,4
E09000001,City of London,Other household types: Other related household: Other family composition,L14.1 and L14.2: Never worked and long-term unemployed,1
E09000001,City of London,Other household types: Other related household: Other family composition,L15: Full-time students,17
E09000001,City of London,Other household types: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",6
E09000001,City of London,Other household types: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",7
E09000001,City of London,Other household types: With dependent children,L7: Intermediate occupations,3
E09000001,City of London,Other household types: With dependent children,L8 and L9: Small employers and own account workers,1
E09000001,City of London,Other household types: With dependent children,L10 and L11: Lower supervisory and technical occupations,0
E09000001,City of London,Other household types: With dependent children,L12: Semi-routine occupations,10
E09000001,City of London,Other household types: With dependent children,L13: Routine occupations,2
E09000001,City of London,Other household types: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,2
E09000001,City of London,Other household types: With dependent children,L15: Full-time students,1
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","L1, L2 and L3: Higher managerial, administrative and professional occupations",168
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over","L4, L5 and L6: Lower managerial, administrative and professional occupations",83
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L7: Intermediate occupations,13
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L8 and L9: Small employers and own account workers,35
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L10 and L11: Lower supervisory and technical occupations,10
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L12: Semi-routine occupations,11
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L13: Routine occupations,10
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L14.1 and L14.2: Never worked and long-term unemployed,7
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",L15: Full-time students,58
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",182
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",642
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L7: Intermediate occupations,824
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L8 and L9: Small employers and own account workers,336
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,380
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L12: Semi-routine occupations,1037
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L13: Routine occupations,1244
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,1335
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,L15: Full-time students,11
E09000002,Barking and Dagenham,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1292
E09000002,Barking and Dagenham,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2154
E09000002,Barking and Dagenham,One-person household: Other,L7: Intermediate occupations,1281
E09000002,Barking and Dagenham,One-person household: Other,L8 and L9: Small employers and own account workers,1340
E09000002,Barking and Dagenham,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,648
E09000002,Barking and Dagenham,One-person household: Other,L12: Semi-routine occupations,1319
E09000002,Barking and Dagenham,One-person household: Other,L13: Routine occupations,1517
E09000002,Barking and Dagenham,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,1570
E09000002,Barking and Dagenham,One-person household: Other,L15: Full-time students,384
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",100
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",268
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L7: Intermediate occupations,228
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,234
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,210
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L12: Semi-routine occupations,308
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L13: Routine occupations,499
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,418
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,L15: Full-time students,1
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",589
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",900
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L7: Intermediate occupations,420
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L8 and L9: Small employers and own account workers,680
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L10 and L11: Lower supervisory and technical occupations,345
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L12: Semi-routine occupations,437
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L13: Routine occupations,625
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L14.1 and L14.2: Never worked and long-term unemployed,189
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,L15: Full-time students,38
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1964
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3087
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L7: Intermediate occupations,1243
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L8 and L9: Small employers and own account workers,3178
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L10 and L11: Lower supervisory and technical occupations,1120
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L12: Semi-routine occupations,1497
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L13: Routine occupations,1740
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L14.1 and L14.2: Never worked and long-term unemployed,390
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,L15: Full-time students,198
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",289
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",751
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L7: Intermediate occupations,390
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L8 and L9: Small employers and own account workers,746
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,415
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L12: Semi-routine occupations,554
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L13: Routine occupations,786
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,280
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,L15: Full-time students,17
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",254
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",463
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L7: Intermediate occupations,227
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L8 and L9: Small employers and own account workers,331
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L10 and L11: Lower supervisory and technical occupations,143
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L12: Semi-routine occupations,192
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L13: Routine occupations,280
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L14.1 and L14.2: Never worked and long-term unemployed,83
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,L15: Full-time students,31
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",270
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",589
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L7: Intermediate occupations,303
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L8 and L9: Small employers and own account workers,754
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L10 and L11: Lower supervisory and technical occupations,304
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L12: Semi-routine occupations,440
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L13: Routine occupations,533
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,145
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,L15: Full-time students,63
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",36
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",95
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L7: Intermediate occupations,63
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L8 and L9: Small employers and own account workers,109
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,59
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L12: Semi-routine occupations,93
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L13: Routine occupations,121
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,33
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,L15: Full-time students,1
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",377
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1445
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L7: Intermediate occupations,1305
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L8 and L9: Small employers and own account workers,663
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L10 and L11: Lower supervisory and technical occupations,302
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L12: Semi-routine occupations,1710
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L13: Routine occupations,1446
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,1559
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,L15: Full-time students,619
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,"L1, L2 and L3: Higher managerial, administrative and professional occupations",194
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,"L4, L5 and L6: Lower managerial, administrative and professional occupations",762
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L7: Intermediate occupations,606
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L8 and L9: Small employers and own account workers,368
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L10 and L11: Lower supervisory and technical occupations,236
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L12: Semi-routine occupations,847
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L13: Routine occupations,825
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L14.1 and L14.2: Never worked and long-term unemployed,794
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,L15: Full-time students,58
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,"L1, L2 and L3: Higher managerial, administrative and professional occupations",105
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,"L4, L5 and L6: Lower managerial, administrative and professional occupations",227
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L7: Intermediate occupations,135
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L8 and L9: Small employers and own account workers,233
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L10 and L11: Lower supervisory and technical occupations,72
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L12: Semi-routine occupations,133
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L13: Routine occupations,148
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L14.1 and L14.2: Never worked and long-term unemployed,87
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,L15: Full-time students,55
E09000002,Barking and Dagenham,Other household types: With dependent children,"L1, L2 and L3: Higher managerial, administrative and professional occupations",507
E09000002,Barking and Dagenham,Other household types: With dependent children,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1120
E09000002,Barking and Dagenham,Other household types: With dependent children,L7: Intermediate occupations,561
E09000002,Barking and Dagenham,Other household types: With dependent children,L8 and L9: Small employers and own account workers,1661
E09000002,Barking and Dagenham,Other household types: With dependent children,L10 and L11: Lower supervisory and technical occupations,357
E09000002,Barking and Dagenham,Other household types: With dependent children,L12: Semi-routine occupations,713
E09000002,Barking and Dagenham,Other household types: With dependent children,L13: Routine occupations,888
E09000002,Barking and Dagenham,Other household types: With dependent children,L14.1 and L14.2: Never worked and long-term unemployed,348
E09000002,Barking and Dagenham,Other household types: With dependent children,L15: Full-time students,173
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over","L1, L2 and L3: Higher managerial, administrative and professional occupations",283
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over","L4, L5 and L6: Lower managerial, administrative and professional occupations",618
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L7: Intermediate occupations,286
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L8 and L9: Small employers and own account workers,896
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L10 and L11: Lower supervisory and technical occupations,246
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L12: Semi-routine occupations,412
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L13: Routine occupations,534
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L14.1 and L14.2: Never worked and long-term unemployed,223
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",L15: Full-time students,101
E09000003,Barnet,One-person household: Aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1788
E09000003,Barnet,One-person household: Aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3223
E09000003,Barnet,One-person household: Aged 66 years and over,L7: Intermediate occupations,2366
E09000003,Barnet,One-person household: Aged 66 years and over,L8 and L9: Small employers and own account workers,1930
E09000003,Barnet,One-person household: Aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,451
E09000003,Barnet,One-person household: Aged 66 years and over,L12: Semi-routine occupations,1608
E09000003,Barnet,One-person household: Aged 66 years and over,L13: Routine occupations,1185
E09000003,Barnet,One-person household: Aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,2630
E09000003,Barnet,One-person household: Aged 66 years and over,L15: Full-time students,21
E09000003,Barnet,One-person household: Other,"L1, L2 and L3: Higher managerial, administrative and professional occupations",5658
E09000003,Barnet,One-person household: Other,"L4, L5 and L6: Lower managerial, administrative and professional occupations",5913
E09000003,Barnet,One-person household: Other,L7: Intermediate occupations,2220
E09000003,Barnet,One-person household: Other,L8 and L9: Small employers and own account workers,3567
E09000003,Barnet,One-person household: Other,L10 and L11: Lower supervisory and technical occupations,907
E09000003,Barnet,One-person household: Other,L12: Semi-routine occupations,1946
E09000003,Barnet,One-person household: Other,L13: Routine occupations,1848
E09000003,Barnet,One-person household: Other,L14.1 and L14.2: Never worked and long-term unemployed,3344
E09000003,Barnet,One-person household: Other,L15: Full-time students,1034
E09000003,Barnet,Single family household: All aged 66 years and over,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2433
E09000003,Barnet,Single family household: All aged 66 years and over,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1924
E09000003,Barnet,Single family household: All aged 66 years and over,L7: Intermediate occupations,780
E09000003,Barnet,Single family household: All aged 66 years and over,L8 and L9: Small employers and own account workers,1934
E09000003,Barnet,Single family household: All aged 66 years and over,L10 and L11: Lower supervisory and technical occupations,304
E09000003,Barnet,Single family household: All aged 66 years and over,L12: Semi-routine occupations,498
E09000003,Barnet,Single family household: All aged 66 years and over,L13: Routine occupations,506
E09000003,Barnet,Single family household: All aged 66 years and over,L14.1 and L14.2: Never worked and long-term unemployed,882
E09000003,Barnet,Single family household: All aged 66 years and over,L15: Full-time students,3
