date,geography_code,c2021_eastat_10_name,c2021_fam_swg_6_name,obs_value
2021,E09000001,Economically inactive: Student,In a couple family: Child of one or both members of couple,85
2021,E09000001,Economically inactive: Student,In a lone parent family,32
2021,E09000001,Economically inactive: Student,In a lone parent family: Parent,3
2021,E09000001,Economically inactive: Student,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive: Student,In a lone parent family: Parent: No people in generation 1 working,3
2021,E09000001,Economically inactive: Student,In a lone parent family: Child of parent,29
2021,E09000001,Economically inactive: Looking after home or family,In a couple family,73
2021,E09000001,Economically inactive: Looking after home or family,In a couple family: Member of a couple,73
2021,E09000001,Economically inactive: Looking after home or family,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive: Looking after home or family,In a couple family: Member of a couple: One person in generation 1 working,57
2021,E09000001,Economically inactive: Looking after home or family,In a couple family: Member of a couple: No people in generation 1 working,16
2021,E09000001,Economically inactive: Looking after home or family,In a couple family: Child of one or both members of couple,0
2021,E09000001,Economically inactive: Looking after home or family,In a lone parent family,14
2021,E09000001,Economically inactive: Looking after home or family,In a lone parent family: Parent,14
2021,E09000001,Economically inactive: Looking after home or family,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive: Looking after home or family,In a lone parent family: Parent: No people in generation 1 working,14
2021,E09000001,Economically inactive: Looking after home or family,In a lone parent family: Child of parent,0
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family,12
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple,12
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: One person in generation 1 working,2
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: No people in generation 1 working,10
2021,E09000001,Economically inactive: Long-term sick or disabled,In a couple family: Child of one or both members of couple,0
2021,E09000001,Economically inactive: Long-term sick or disabled,In a lone parent family,3
2021,E09000001,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent,3
2021,E09000001,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent: No people in generation 1 working,3
2021,E09000001,Economically inactive: Long-term sick or disabled,In a lone parent family: Child of parent,0
2021,E09000001,Economically inactive: Other,In a couple family,20
2021,E09000001,Economically inactive: Other,In a couple family: Member of a couple,20
2021,E09000001,Economically inactive: Other,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000001,Economically inactive: Other,In a couple family: Member of a couple: One person in generation 1 working,13
2021,E09000001,Economically inactive: Other,In a couple family: Member of a couple: No people in generation 1 working,7
2021,E09000001,Economically inactive: Other,In a couple family: Child of one or both members of couple,0
2021,E09000001,Economically inactive: Other,In a lone parent family,16
2021,E09000001,Economically inactive: Other,In a lone parent family: Parent,12
2021,E09000001,Economically inactive: Other,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000001,Economically inactive: Other,In a lone parent family: Parent: No people in generation 1 working,12
2021,E09000001,Economically inactive: Other,In a lone parent family: Child of parent,4
2021,E09000002,Economically active (excluding full-time students),In a couple family,35444
2021,E09000002,Economically active (excluding full-time students),In a couple family: Member of a couple,32496
2021,E09000002,Economically active (excluding full-time students),In a couple family: Member of a couple: Both people in generation 1 working,22888
2021,E09000002,Economically active (excluding full-time students),In a couple family: Member of a couple: One person in generation 1 working,9036
2021,E09000002,Economically active (excluding full-time students),In a couple family: Member of a couple: No people in generation 1 working,572
2021,E09000002,Economically active (excluding full-time students),In a couple family: Child of one or both members of couple,2948
2021,E09000002,Economically active (excluding full-time students),In a lone parent family,8881
2021,E09000002,Economically active (excluding full-time students),In a lone parent family: Parent,7418
2021,E09000002,Economically active (excluding full-time students),In a lone parent family: Parent: One person in generation 1 working,6653
2021,E09000002,Economically active (excluding full-time students),In a lone parent family: Parent: No people in generation 1 working,765
2021,E09000002,Economically active (excluding full-time students),In a lone parent family: Child of parent,1463
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family,33359
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple,30920
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: Both people in generation 1 working,22888
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: One person in generation 1 working,8032
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000002,Economically active (excluding full-time students): In employment,In a couple family: Child of one or both members of couple,2439
2021,E09000002,Economically active (excluding full-time students): In employment,In a lone parent family,7794
2021,E09000002,Economically active (excluding full-time students): In employment,In a lone parent family: Parent,6653
2021,E09000002,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: One person in generation 1 working,6653
2021,E09000002,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000002,Economically active (excluding full-time students): In employment,In a lone parent family: Child of parent,1141
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family,2085
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple,1576
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: One person in generation 1 working,1004
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: No people in generation 1 working,572
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a couple family: Child of one or both members of couple,509
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a lone parent family,1087
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent,765
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: No people in generation 1 working,765
2021,E09000002,Economically active (excluding full-time students): Unemployed,In a lone parent family: Child of parent,322
2021,E09000002,Economically active and a full-time student,In a couple family,2161
2021,E09000002,Economically active and a full-time student,In a couple family: Member of a couple,971
2021,E09000002,Economically active and a full-time student,In a couple family: Member of a couple: Both people in generation 1 working,708
2021,E09000002,Economically active and a full-time student,In a couple family: Member of a couple: One person in generation 1 working,221
2021,E09000002,Economically active and a full-time student,In a couple family: Member of a couple: No people in generation 1 working,42
2021,E09000002,Economically active and a full-time student,In a couple family: Child of one or both members of couple,1190
2021,E09000002,Economically active and a full-time student,In a lone parent family,1067
2021,E09000002,Economically active and a full-time student,In a lone parent family: Parent,427
2021,E09000002,Economically active and a full-time student,In a lone parent family: Parent: One person in generation 1 working,367
2021,E09000002,Economically active and a full-time student,In a lone parent family: Parent: No people in generation 1 working,60
2021,E09000002,Economically active and a full-time student,In a lone parent family: Child of parent,640
2021,E09000002,Economically active and a full-time student: In employment,In a couple family,1578
2021,E09000002,Economically active and a full-time student: In employment,In a couple family: Member of a couple,871
2021,E09000002,Economically active and a full-time student: In employment,In a couple family: Member of a couple: Both people in generation 1 working,708
2021,E09000002,Economically active and a full-time student: In employment,In a couple family: Member of a couple: One person in generation 1 working,163
2021,E09000002,Economically active and a full-time student: In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000002,Economically active and a full-time student: In employment,In a couple family: Child of one or both members of couple,707
2021,E09000002,Economically active and a full-time student: In employment,In a lone parent family,687
2021,E09000002,Economically active and a full-time student: In employment,In a lone parent family: Parent,367
2021,E09000002,Economically active and a full-time student: In employment,In a lone parent family: Parent: One person in generation 1 working,367
2021,E09000002,Economically active and a full-time student: In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000002,Economically active and a full-time student: In employment,In a lone parent family: Child of parent,320
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family,583
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple,100
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: One person in generation 1 working,58
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: No people in generation 1 working,42
2021,E09000002,Economically active and a full-time student: Unemployed,In a couple family: Child of one or both members of couple,483
2021,E09000002,Economically active and a full-time student: Unemployed,In a lone parent family,380
2021,E09000002,Economically active and a full-time student: Unemployed,In a lone parent family: Parent,60
2021,E09000002,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: No people in generation 1 working,60
2021,E09000002,Economically active and a full-time student: Unemployed,In a lone parent family: Child of parent,320
2021,E09000002,Economically inactive,In a couple family,16528
2021,E09000002,Economically inactive,In a couple family: Member of a couple,10300
2021,E09000002,Economically inactive,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive,In a couple family: Member of a couple: One person in generation 1 working,7129
2021,E09000002,Economically inactive,In a couple family: Member of a couple: No people in generation 1 working,3171
2021,E09000002,Economically inactive,In a couple family: Child of one or both members of couple,6228
2021,E09000002,Economically inactive,In a lone parent family,7493
2021,E09000002,Economically inactive,In a lone parent family: Parent,3947
2021,E09000002,Economically inactive,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive,In a lone parent family: Parent: No people in generation 1 working,3947
2021,E09000002,Economically inactive,In a lone parent family: Child of parent,3546
2021,E09000002,Economically inactive: Retired,In a couple family,265
2021,E09000002,Economically inactive: Retired,In a couple family: Member of a couple,263
2021,E09000002,Economically inactive: Retired,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive: Retired,In a couple family: Member of a couple: One person in generation 1 working,103
2021,E09000002,Economically inactive: Retired,In a couple family: Member of a couple: No people in generation 1 working,160
2021,E09000002,Economically inactive: Retired,In a couple family: Child of one or both members of couple,2
2021,E09000002,Economically inactive: Retired,In a lone parent family,63
2021,E09000002,Economically inactive: Retired,In a lone parent family: Parent,63
2021,E09000002,Economically inactive: Retired,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive: Retired,In a lone parent family: Parent: No people in generation 1 working,63
2021,E09000002,Economically inactive: Retired,In a lone parent family: Child of parent,0
2021,E09000002,Economically inactive: Student,In a couple family,6401
2021,E09000002,Economically inactive: Student,In a couple family: Member of a couple,674
2021,E09000002,Economically inactive: Student,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive: Student,In a couple family: Member of a couple: One person in generation 1 working,504
2021,E09000002,Economically inactive: Student,In a couple family: Member of a couple: No people in generation 1 working,170
2021,E09000002,Economically inactive: Student,In a couple family: Child of one or both members of couple,5727
2021,E09000002,Economically inactive: Student,In a lone parent family,3530
2021,E09000002,Economically inactive: Student,In a lone parent family: Parent,419
2021,E09000002,Economically inactive: Student,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive: Student,In a lone parent family: Parent: No people in generation 1 working,419
2021,E09000002,Economically inactive: Student,In a lone parent family: Child of parent,3111
2021,E09000002,Economically inactive: Looking after home or family,In a couple family,7009
2021,E09000002,Economically inactive: Looking after home or family,In a couple family: Member of a couple,6914
2021,E09000002,Economically inactive: Looking after home or family,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive: Looking after home or family,In a couple family: Member of a couple: One person in generation 1 working,5241
2021,E09000002,Economically inactive: Looking after home or family,In a couple family: Member of a couple: No people in generation 1 working,1673
2021,E09000002,Economically inactive: Looking after home or family,In a couple family: Child of one or both members of couple,95
2021,E09000002,Economically inactive: Looking after home or family,In a lone parent family,2308
2021,E09000002,Economically inactive: Looking after home or family,In a lone parent family: Parent,2208
2021,E09000002,Economically inactive: Looking after home or family,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive: Looking after home or family,In a lone parent family: Parent: No people in generation 1 working,2208
2021,E09000002,Economically inactive: Looking after home or family,In a lone parent family: Child of parent,100
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family,949
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple,869
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: One person in generation 1 working,369
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family: Member of a couple: No people in generation 1 working,500
2021,E09000002,Economically inactive: Long-term sick or disabled,In a couple family: Child of one or both members of couple,80
2021,E09000002,Economically inactive: Long-term sick or disabled,In a lone parent family,746
2021,E09000002,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent,628
2021,E09000002,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive: Long-term sick or disabled,In a lone parent family: Parent: No people in generation 1 working,628
2021,E09000002,Economically inactive: Long-term sick or disabled,In a lone parent family: Child of parent,118
2021,E09000002,Economically inactive: Other,In a couple family,1904
2021,E09000002,Economically inactive: Other,In a couple family: Member of a couple,1580
2021,E09000002,Economically inactive: Other,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000002,Economically inactive: Other,In a couple family: Member of a couple: One person in generation 1 working,912
2021,E09000002,Economically inactive: Other,In a couple family: Member of a couple: No people in generation 1 working,668
2021,E09000002,Economically inactive: Other,In a couple family: Child of one or both members of couple,324
2021,E09000002,Economically inactive: Other,In a lone parent family,846
2021,E09000002,Economically inactive: Other,In a lone parent family: Parent,629
2021,E09000002,Economically inactive: Other,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000002,Economically inactive: Other,In a lone parent family: Parent: No people in generation 1 working,629
2021,E09000002,Economically inactive: Other,In a lone parent family: Child of parent,217
2021,E09000003,Economically active (excluding full-time students),In a couple family,62503
2021,E09000003,Economically active (excluding full-time students),In a couple family: Member of a couple,59584
2021,E09000003,Economically active (excluding full-time students),In a couple family: Member of a couple: Both people in generation 1 working,46385
2021,E09000003,Economically active (excluding full-time students),In a couple family: Member of a couple: One person in generation 1 working,12491
2021,E09000003,Economically active (excluding full-time students),In a couple family: Member of a couple: No people in generation 1 working,708
2021,E09000003,Economically active (excluding full-time students),In a couple family: Child of one or both members of couple,2919
2021,E09000003,Economically active (excluding full-time students),In a lone parent family,9784
2021,E09000003,Economically active (excluding full-time students),In a lone parent family: Parent,8539
2021,E09000003,Economically active (excluding full-time students),In a lone parent family: Parent: One person in generation 1 working,7768
2021,E09000003,Economically active (excluding full-time students),In a lone parent family: Parent: No people in generation 1 working,771
2021,E09000003,Economically active (excluding full-time students),In a lone parent family: Child of parent,1245
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family,59999
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple,57493
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: Both people in generation 1 working,46385
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: One person in generation 1 working,11108
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000003,Economically active (excluding full-time students): In employment,In a couple family: Child of one or both members of couple,2506
2021,E09000003,Economically active (excluding full-time students): In employment,In a lone parent family,8638
2021,E09000003,Economically active (excluding full-time students): In employment,In a lone parent family: Parent,7768
2021,E09000003,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: One person in generation 1 working,7768
2021,E09000003,Economically active (excluding full-time students): In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000003,Economically active (excluding full-time students): In employment,In a lone parent family: Child of parent,870
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family,2504
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple,2091
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: One person in generation 1 working,1383
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family: Member of a couple: No people in generation 1 working,708
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a couple family: Child of one or both members of couple,413
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a lone parent family,1146
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent,771
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a lone parent family: Parent: No people in generation 1 working,771
2021,E09000003,Economically active (excluding full-time students): Unemployed,In a lone parent family: Child of parent,375
2021,E09000003,Economically active and a full-time student,In a couple family,2003
2021,E09000003,Economically active and a full-time student,In a couple family: Member of a couple,635
2021,E09000003,Economically active and a full-time student,In a couple family: Member of a couple: Both people in generation 1 working,449
2021,E09000003,Economically active and a full-time student,In a couple family: Member of a couple: One person in generation 1 working,159
2021,E09000003,Economically active and a full-time student,In a couple family: Member of a couple: No people in generation 1 working,27
2021,E09000003,Economically active and a full-time student,In a couple family: Child of one or both members of couple,1368
2021,E09000003,Economically active and a full-time student,In a lone parent family,919
2021,E09000003,Economically active and a full-time student,In a lone parent family: Parent,262
2021,E09000003,Economically active and a full-time student,In a lone parent family: Parent: One person in generation 1 working,213
2021,E09000003,Economically active and a full-time student,In a lone parent family: Parent: No people in generation 1 working,49
2021,E09000003,Economically active and a full-time student,In a lone parent family: Child of parent,657
2021,E09000003,Economically active and a full-time student: In employment,In a couple family,1514
2021,E09000003,Economically active and a full-time student: In employment,In a couple family: Member of a couple,570
2021,E09000003,Economically active and a full-time student: In employment,In a couple family: Member of a couple: Both people in generation 1 working,449
2021,E09000003,Economically active and a full-time student: In employment,In a couple family: Member of a couple: One person in generation 1 working,121
2021,E09000003,Economically active and a full-time student: In employment,In a couple family: Member of a couple: No people in generation 1 working,0
2021,E09000003,Economically active and a full-time student: In employment,In a couple family: Child of one or both members of couple,944
2021,E09000003,Economically active and a full-time student: In employment,In a lone parent family,567
2021,E09000003,Economically active and a full-time student: In employment,In a lone parent family: Parent,213
2021,E09000003,Economically active and a full-time student: In employment,In a lone parent family: Parent: One person in generation 1 working,213
2021,E09000003,Economically active and a full-time student: In employment,In a lone parent family: Parent: No people in generation 1 working,0
2021,E09000003,Economically active and a full-time student: In employment,In a lone parent family: Child of parent,354
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family,489
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple,65
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: One person in generation 1 working,38
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family: Member of a couple: No people in generation 1 working,27
2021,E09000003,Economically active and a full-time student: Unemployed,In a couple family: Child of one or both members of couple,424
2021,E09000003,Economically active and a full-time student: Unemployed,In a lone parent family,352
2021,E09000003,Economically active and a full-time student: Unemployed,In a lone parent family: Parent,49
2021,E09000003,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000003,Economically active and a full-time student: Unemployed,In a lone parent family: Parent: No people in generation 1 working,49
2021,E09000003,Economically active and a full-time student: Unemployed,In a lone parent family: Child of parent,303
2021,E09000003,Economically inactive,In a couple family,23734
2021,E09000003,Economically inactive,In a couple family: Member of a couple,13815
2021,E09000003,Economically inactive,In a couple family: Member of a couple: Both people in generation 1 working,0
2021,E09000003,Economically inactive,In a couple family: Member of a couple: One person in generation 1 working,9807
2021,E09000003,Economically inactive,In a couple family: Member of a couple: No people in generation 1 working,4008
2021,E09000003,Economically inactive,In a couple family: Child of one or both members of couple,9919
2021,E09000003,Economically inactive,In a lone parent family,8026
2021,E09000003,Economically inactive,In a lone parent family: Parent,3918
2021,E09000003,Economically inactive,In a lone parent family: Parent: One person in generation 1 working,0
2021,E09000003,Economically inactive,In a lone parent family: Parent: No people in generation 1 working,3918
2021,E09000003,Economically inactive,In a lone parent family: Child of parent,4108
2021,E09000003,Economically inactive: Retired,In a couple family,625
