lower_tier_local_authorities_code,lower_tier_local_authorities,household_composition_15,religion_10,observation
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Hindu,12
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Jewish,4
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Muslim,30
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Sikh,0
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Other religion,0
E09000001,City of London,Single family household: Married or civil partnership couple: Dependent children,Not answered,17
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,No religion,14
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Christian,30
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,3
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,13
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,0
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,1
E09000001,City of London,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,7
E09000001,City of London,Single family household: Cohabiting couple family: No children,No religion,342
E09000001,City of London,Single family household: Cohabiting couple family: No children,Christian,174
E09000001,City of London,Single family household: Cohabiting couple family: No children,Buddhist,8
E09000001,City of London,Single family household: Cohabiting couple family: No children,Hindu,4
E09000001,City of London,Single family household: Cohabiting couple family: No children,Jewish,9
E09000001,City of London,Single family household: Cohabiting couple family: No children,Muslim,11
E09000001,City of London,Single family household: Cohabiting couple family: No children,Sikh,0
E09000001,City of London,Single family household: Cohabiting couple family: No children,Other religion,0
E09000001,City of London,Single family household: Cohabiting couple family: No children,Not answered,50
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,No religion,30
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Christian,16
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Buddhist,1
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Hindu,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Jewish,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Muslim,3
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Sikh,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Other religion,0
E09000001,City of London,Single family household: Cohabiting couple family: With dependent children,Not answered,6
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,No religion,3
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Christian,6
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Hindu,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Jewish,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Muslim,1
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Sikh,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Other religion,0
E09000001,City of London,Single family household: Cohabiting couple family: All children non-dependent,Not answered,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,No religion,29
E09000001,City of London,Single family household: Lone parent family: With dependent children,Christian,36
E09000001,City of London,Single family household: Lone parent family: With dependent children,Buddhist,1
E09000001,City of London,Single family household: Lone parent family: With dependent children,Hindu,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,Jewish,2
E09000001,City of London,Single family household: Lone parent family: With dependent children,Muslim,13
E09000001,City of London,Single family household: Lone parent family: With dependent children,Sikh,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,Other religion,0
E09000001,City of London,Single family household: Lone parent family: With dependent children,Not answered,9
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,No religion,18
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Christian,46
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Buddhist,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Hindu,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Jewish,2
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Muslim,8
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Sikh,1
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Other religion,0
E09000001,City of London,Single family household: Lone parent family: All children non-dependent,Not answered,7
E09000001,City of London,Other household types: Other related household: Other family composition,No religion,35
E09000001,City of London,Other household types: Other related household: Other family composition,Christian,39
E09000001,City of London,Other household types: Other related household: Other family composition,Buddhist,1
E09000001,City of London,Other household types: Other related household: Other family composition,Hindu,2
E09000001,City of London,Other household types: Other related household: Other family composition,Jewish,3
E09000001,City of London,Other household types: Other related household: Other family composition,Muslim,4
E09000001,City of London,Other household types: Other related household: Other family composition,Sikh,0
E09000001,City of London,Other household types: Other related household: Other family composition,Other religion,1
E09000001,City of London,Other household types: Other related household: Other family composition,Not answered,10
E09000001,City of London,Other household types: With dependent children,No religion,5
E09000001,City of London,Other household types: With dependent children,Christian,9
E09000001,City of London,Other household types: With dependent children,Buddhist,0
E09000001,City of London,Other household types: With dependent children,Hindu,1
E09000001,City of London,Other household types: With dependent children,Jewish,1
E09000001,City of London,Other household types: With dependent children,Muslim,14
E09000001,City of London,Other household types: With dependent children,Sikh,0
E09000001,City of London,Other household types: With dependent children,Other religion,1
E09000001,City of London,Other household types: With dependent children,Not answered,0
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,195
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,120
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,4
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,23
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,9
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,17
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,1
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,3
E09000001,City of London,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,24
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,No religion,963
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Christian,4481
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Buddhist,12
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Hindu,35
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Jewish,25
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Muslim,133
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Sikh,48
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Other religion,14
E09000002,Barking and Dagenham,One-person household: Aged 66 years and over,Not answered,284
E09000002,Barking and Dagenham,One-person household: Other,No religion,3089
E09000002,Barking and Dagenham,One-person household: Other,Christian,5697
E09000002,Barking and Dagenham,One-person household: Other,Buddhist,54
E09000002,Barking and Dagenham,One-person household: Other,Hindu,237
E09000002,Barking and Dagenham,One-person household: Other,Jewish,38
E09000002,Barking and Dagenham,One-person household: Other,Muslim,1436
E09000002,Barking and Dagenham,One-person household: Other,Sikh,140
E09000002,Barking and Dagenham,One-person household: Other,Other religion,90
E09000002,Barking and Dagenham,One-person household: Other,Not answered,730
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,No religion,302
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Christian,1704
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Buddhist,7
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Hindu,32
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Jewish,17
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Muslim,65
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Sikh,38
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Other religion,2
E09000002,Barking and Dagenham,Single family household: All aged 66 years and over,Not answered,103
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,No religion,867
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Christian,2122
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Buddhist,29
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Hindu,206
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Jewish,12
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Muslim,688
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Sikh,64
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Other religion,31
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: No children,Not answered,203
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,No religion,1434
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Christian,5199
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Buddhist,51
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Hindu,956
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Jewish,7
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Muslim,5739
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Sikh,419
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Other religion,49
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: Dependent children,Not answered,563
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,No religion,795
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Christian,2266
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,22
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,164
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,7
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,632
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,110
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,18
E09000002,Barking and Dagenham,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,217
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,No religion,759
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Christian,942
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Buddhist,10
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Hindu,19
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Jewish,2
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Muslim,132
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Sikh,19
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Other religion,7
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: No children,Not answered,115
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,No religion,1031
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Christian,1595
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Buddhist,11
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Hindu,24
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Jewish,2
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Muslim,514
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Sikh,32
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Other religion,15
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: With dependent children,Not answered,178
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,No religion,210
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Christian,327
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,4
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Hindu,3
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Jewish,0
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Muslim,19
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Sikh,6
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Other religion,3
E09000002,Barking and Dagenham,Single family household: Cohabiting couple family: All children non-dependent,Not answered,38
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,No religion,2465
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Christian,4637
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Buddhist,32
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Hindu,71
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Jewish,9
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Muslim,1661
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Sikh,71
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Other religion,73
E09000002,Barking and Dagenham,Single family household: Lone parent family: With dependent children,Not answered,407
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,No religion,1128
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Christian,2728
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Buddhist,16
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Hindu,64
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Jewish,16
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Muslim,394
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Sikh,60
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Other religion,29
E09000002,Barking and Dagenham,Single family household: Lone parent family: All children non-dependent,Not answered,256
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,No religion,224
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Christian,581
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Buddhist,5
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Hindu,38
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Jewish,2
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Muslim,239
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Sikh,22
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Other religion,5
E09000002,Barking and Dagenham,Other household types: Other related household: Other family composition,Not answered,84
E09000002,Barking and Dagenham,Other household types: With dependent children,No religion,778
E09000002,Barking and Dagenham,Other household types: With dependent children,Christian,3138
E09000002,Barking and Dagenham,Other household types: With dependent children,Buddhist,23
E09000002,Barking and Dagenham,Other household types: With dependent children,Hindu,196
E09000002,Barking and Dagenham,Other household types: With dependent children,Jewish,4
E09000002,Barking and Dagenham,Other household types: With dependent children,Muslim,1689
E09000002,Barking and Dagenham,Other household types: With dependent children,Sikh,190
E09000002,Barking and Dagenham,Other household types: With dependent children,Other religion,29
E09000002,Barking and Dagenham,Other household types: With dependent children,Not answered,281
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,613
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,2019
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,37
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,95
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,5
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,500
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,63
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,23
E09000002,Barking and Dagenham,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,246
E09000003,Barnet,One-person household: Aged 66 years and over,No religion,2255
E09000003,Barnet,One-person household: Aged 66 years and over,Christian,7228
E09000003,Barnet,One-person household: Aged 66 years and over,Buddhist,121
E09000003,Barnet,One-person household: Aged 66 years and over,Hindu,550
E09000003,Barnet,One-person household: Aged 66 years and over,Jewish,3233
E09000003,Barnet,One-person household: Aged 66 years and over,Muslim,571
E09000003,Barnet,One-person household: Aged 66 years and over,Sikh,29
E09000003,Barnet,One-person household: Aged 66 years and over,Other religion,183
E09000003,Barnet,One-person household: Aged 66 years and over,Not answered,1038
E09000003,Barnet,One-person household: Other,No religion,7841
E09000003,Barnet,One-person household: Other,Christian,9676
E09000003,Barnet,One-person household: Other,Buddhist,322
E09000003,Barnet,One-person household: Other,Hindu,880
E09000003,Barnet,One-person household: Other,Jewish,2385
E09000003,Barnet,One-person household: Other,Muslim,2530
E09000003,Barnet,One-person household: Other,Sikh,121
E09000003,Barnet,One-person household: Other,Other religion,416
E09000003,Barnet,One-person household: Other,Not answered,2279
E09000003,Barnet,Single family household: All aged 66 years and over,No religion,1237
E09000003,Barnet,Single family household: All aged 66 years and over,Christian,3569
E09000003,Barnet,Single family household: All aged 66 years and over,Buddhist,67
E09000003,Barnet,Single family household: All aged 66 years and over,Hindu,628
E09000003,Barnet,Single family household: All aged 66 years and over,Jewish,2731
E09000003,Barnet,Single family household: All aged 66 years and over,Muslim,294
E09000003,Barnet,Single family household: All aged 66 years and over,Sikh,22
E09000003,Barnet,Single family household: All aged 66 years and over,Other religion,165
E09000003,Barnet,Single family household: All aged 66 years and over,Not answered,550
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,No religion,2755
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Christian,4192
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Buddhist,165
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Hindu,875
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Jewish,1874
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Muslim,964
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Sikh,60
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Other religion,198
E09000003,Barnet,Single family household: Married or civil partnership couple: No children,Not answered,846
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,No religion,4940
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Christian,8636
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Buddhist,353
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Hindu,1881
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Jewish,6226
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Muslim,4602
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Sikh,137
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Other religion,334
E09000003,Barnet,Single family household: Married or civil partnership couple: Dependent children,Not answered,1925
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,No religion,1465
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Christian,3815
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Buddhist,123
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Hindu,1096
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Jewish,1327
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Muslim,967
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Sikh,43
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Other religion,233
E09000003,Barnet,Single family household: Married or civil partnership couple: All children non-dependent,Not answered,691
E09000003,Barnet,Single family household: Cohabiting couple family: No children,No religion,3036
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Christian,2360
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Buddhist,50
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Hindu,92
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Jewish,435
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Muslim,198
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Sikh,23
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Other religion,47
E09000003,Barnet,Single family household: Cohabiting couple family: No children,Not answered,479
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,No religion,1209
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Christian,1538
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Buddhist,28
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Hindu,45
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Jewish,159
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Muslim,309
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Sikh,2
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Other religion,29
E09000003,Barnet,Single family household: Cohabiting couple family: With dependent children,Not answered,246
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,No religion,210
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Christian,321
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Buddhist,6
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Hindu,14
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Jewish,19
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Muslim,23
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Sikh,1
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Other religion,5
E09000003,Barnet,Single family household: Cohabiting couple family: All children non-dependent,Not answered,40
E09000003,Barnet,Single family household: Lone parent family: With dependent children,No religion,2312
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Christian,4711
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Buddhist,133
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Hindu,144
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Jewish,549
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Muslim,1721
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Sikh,32
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Other religion,129
E09000003,Barnet,Single family household: Lone parent family: With dependent children,Not answered,740
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,No religion,1354
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Christian,3578
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Buddhist,96
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Hindu,490
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Jewish,546
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Muslim,784
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Sikh,30
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Other religion,135
E09000003,Barnet,Single family household: Lone parent family: All children non-dependent,Not answered,612
E09000003,Barnet,Other household types: Other related household: Other family composition,No religion,483
E09000003,Barnet,Other household types: Other related household: Other family composition,Christian,1025
E09000003,Barnet,Other household types: Other related household: Other family composition,Buddhist,33
E09000003,Barnet,Other household types: Other related household: Other family composition,Hindu,88
E09000003,Barnet,Other household types: Other related household: Other family composition,Jewish,78
E09000003,Barnet,Other household types: Other related household: Other family composition,Muslim,249
E09000003,Barnet,Other household types: Other related household: Other family composition,Sikh,6
E09000003,Barnet,Other household types: Other related household: Other family composition,Other religion,41
E09000003,Barnet,Other household types: Other related household: Other family composition,Not answered,215
E09000003,Barnet,Other household types: With dependent children,No religion,775
E09000003,Barnet,Other household types: With dependent children,Christian,3031
E09000003,Barnet,Other household types: With dependent children,Buddhist,88
E09000003,Barnet,Other household types: With dependent children,Hindu,535
E09000003,Barnet,Other household types: With dependent children,Jewish,496
E09000003,Barnet,Other household types: With dependent children,Muslim,952
E09000003,Barnet,Other household types: With dependent children,Sikh,37
E09000003,Barnet,Other household types: With dependent children,Other religion,114
E09000003,Barnet,Other household types: With dependent children,Not answered,442
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",No religion,2494
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Christian,4132
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Buddhist,126
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Hindu,624
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Jewish,557
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Muslim,652
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Sikh,40
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Other religion,154
E09000003,Barnet,"Other household types: Other, including all full-time students and all aged 66 years and over",Not answered,782
E09000004,Bexley,One-person household: Aged 66 years and over,No religion,2003
