date,geography_code,family_status_name,c_ecopuk11_name,obs_value
2011,E09000001,Couple family: One parent working,Economically inactive: Other,9
2011,E09000001,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000001,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000001,Couple family: No parents working,Economically active: Unemployed (including full-time students),9
2011,E09000001,Couple family: No parents working,Economically inactive: Retired,4
2011,E09000001,Couple family: No parents working,Economically inactive: Student (including full-time students),4
2011,E09000001,Couple family: No parents working,Economically inactive: Looking after home or family,11
2011,E09000001,Couple family: No parents working,Economically inactive: Long-term sick or disabled,8
2011,E09000001,Couple family: No parents working,Economically inactive: Other,6
2011,E09000001,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),64
2011,E09000001,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),14
2011,E09000001,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000001,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000001,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000001,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000001,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000001,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000001,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000001,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000001,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),7
2011,E09000001,Lone parent family: Parent not working,Economically inactive: Retired,5
2011,E09000001,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),1
2011,E09000001,Lone parent family: Parent not working,Economically inactive: Looking after home or family,11
2011,E09000001,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,3
2011,E09000001,Lone parent family: Parent not working,Economically inactive: Other,2
2011,E09000012,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),10359
2011,E09000012,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),3671
2011,E09000012,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000012,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000012,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000012,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000012,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000012,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000012,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),5439
2011,E09000012,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1283
2011,E09000012,Couple family: One parent working,Economically active: Unemployed (including full-time students),996
2011,E09000012,Couple family: One parent working,Economically inactive: Retired,87
2011,E09000012,Couple family: One parent working,Economically inactive: Student (including full-time students),885
2011,E09000012,Couple family: One parent working,Economically inactive: Looking after home or family,3569
2011,E09000012,Couple family: One parent working,Economically inactive: Long-term sick or disabled,257
2011,E09000012,Couple family: One parent working,Economically inactive: Other,913
2011,E09000012,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000012,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000012,Couple family: No parents working,Economically active: Unemployed (including full-time students),822
2011,E09000012,Couple family: No parents working,Economically inactive: Retired,287
2011,E09000012,Couple family: No parents working,Economically inactive: Student (including full-time students),310
2011,E09000012,Couple family: No parents working,Economically inactive: Looking after home or family,1332
2011,E09000012,Couple family: No parents working,Economically inactive: Long-term sick or disabled,790
2011,E09000012,Couple family: No parents working,Economically inactive: Other,692
2011,E09000012,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),5566
2011,E09000012,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),803
2011,E09000012,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000012,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000012,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000012,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000012,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000012,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000012,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000012,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000012,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),1784
2011,E09000012,Lone parent family: Parent not working,Economically inactive: Retired,248
2011,E09000012,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),725
2011,E09000012,Lone parent family: Parent not working,Economically inactive: Looking after home or family,2186
2011,E09000012,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,975
2011,E09000012,Lone parent family: Parent not working,Economically inactive: Other,914
2011,E09000013,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),8940
2011,E09000013,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),3148
2011,E09000013,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000013,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000013,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000013,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000013,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000013,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000013,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),3393
2011,E09000013,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1044
2011,E09000013,Couple family: One parent working,Economically active: Unemployed (including full-time students),546
2011,E09000013,Couple family: One parent working,Economically inactive: Retired,75
2011,E09000013,Couple family: One parent working,Economically inactive: Student (including full-time students),232
2011,E09000013,Couple family: One parent working,Economically inactive: Looking after home or family,3040
2011,E09000013,Couple family: One parent working,Economically inactive: Long-term sick or disabled,126
2011,E09000013,Couple family: One parent working,Economically inactive: Other,405
2011,E09000013,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000013,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000013,Couple family: No parents working,Economically active: Unemployed (including full-time students),360
2011,E09000013,Couple family: No parents working,Economically inactive: Retired,124
2011,E09000013,Couple family: No parents working,Economically inactive: Student (including full-time students),138
2011,E09000013,Couple family: No parents working,Economically inactive: Looking after home or family,634
2011,E09000013,Couple family: No parents working,Economically inactive: Long-term sick or disabled,407
2011,E09000013,Couple family: No parents working,Economically inactive: Other,263
2011,E09000013,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),2950
2011,E09000013,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),571
2011,E09000013,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000013,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000013,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000013,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000013,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000013,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000013,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000013,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000013,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),856
2011,E09000013,Lone parent family: Parent not working,Economically inactive: Retired,116
2011,E09000013,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),355
2011,E09000013,Lone parent family: Parent not working,Economically inactive: Looking after home or family,1280
2011,E09000013,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,478
2011,E09000013,Lone parent family: Parent not working,Economically inactive: Other,361
2011,E09000014,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),14449
2011,E09000014,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),5521
2011,E09000014,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000014,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000014,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000014,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000014,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000014,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000014,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),4942
2011,E09000014,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1755
2011,E09000014,Couple family: One parent working,Economically active: Unemployed (including full-time students),1036
2011,E09000014,Couple family: One parent working,Economically inactive: Retired,135
2011,E09000014,Couple family: One parent working,Economically inactive: Student (including full-time students),447
2011,E09000014,Couple family: One parent working,Economically inactive: Looking after home or family,3936
2011,E09000014,Couple family: One parent working,Economically inactive: Long-term sick or disabled,259
2011,E09000014,Couple family: One parent working,Economically inactive: Other,837
2011,E09000014,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000014,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000014,Couple family: No parents working,Economically active: Unemployed (including full-time students),789
2011,E09000014,Couple family: No parents working,Economically inactive: Retired,215
2011,E09000014,Couple family: No parents working,Economically inactive: Student (including full-time students),236
2011,E09000014,Couple family: No parents working,Economically inactive: Looking after home or family,1209
2011,E09000014,Couple family: No parents working,Economically inactive: Long-term sick or disabled,706
2011,E09000014,Couple family: No parents working,Economically inactive: Other,748
2011,E09000014,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),5726
2011,E09000014,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),1117
2011,E09000014,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000014,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000014,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000014,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000014,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000014,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000014,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000014,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000014,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),1521
2011,E09000014,Lone parent family: Parent not working,Economically inactive: Retired,292
2011,E09000014,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),651
2011,E09000014,Lone parent family: Parent not working,Economically inactive: Looking after home or family,2151
2011,E09000014,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,961
2011,E09000014,Lone parent family: Parent not working,Economically inactive: Other,865
2011,E09000019,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),8521
2011,E09000019,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),3113
2011,E09000019,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000019,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000019,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000019,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000019,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000019,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000019,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),2771
2011,E09000019,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),910
2011,E09000019,Couple family: One parent working,Economically active: Unemployed (including full-time students),575
2011,E09000019,Couple family: One parent working,Economically inactive: Retired,69
2011,E09000019,Couple family: One parent working,Economically inactive: Student (including full-time students),292
2011,E09000019,Couple family: One parent working,Economically inactive: Looking after home or family,2124
2011,E09000019,Couple family: One parent working,Economically inactive: Long-term sick or disabled,196
2011,E09000019,Couple family: One parent working,Economically inactive: Other,408
2011,E09000019,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000019,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000019,Couple family: No parents working,Economically active: Unemployed (including full-time students),469
2011,E09000019,Couple family: No parents working,Economically inactive: Retired,173
2011,E09000019,Couple family: No parents working,Economically inactive: Student (including full-time students),142
2011,E09000019,Couple family: No parents working,Economically inactive: Looking after home or family,783
2011,E09000019,Couple family: No parents working,Economically inactive: Long-term sick or disabled,547
2011,E09000019,Couple family: No parents working,Economically inactive: Other,351
2011,E09000019,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),3879
2011,E09000019,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),628
2011,E09000019,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000019,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000019,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000019,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000019,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000019,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000019,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000019,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000019,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),1280
2011,E09000019,Lone parent family: Parent not working,Economically inactive: Retired,146
2011,E09000019,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),610
2011,E09000019,Lone parent family: Parent not working,Economically inactive: Looking after home or family,2028
2011,E09000019,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,843
2011,E09000019,Lone parent family: Parent not working,Economically inactive: Other,698
2011,E09000020,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),6511
2011,E09000020,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),2767
2011,E09000020,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000020,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000020,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000020,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000020,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000020,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000020,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),3843
2011,E09000020,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1250
2011,E09000020,Couple family: One parent working,Economically active: Unemployed (including full-time students),401
2011,E09000020,Couple family: One parent working,Economically inactive: Retired,90
2011,E09000020,Couple family: One parent working,Economically inactive: Student (including full-time students),254
2011,E09000020,Couple family: One parent working,Economically inactive: Looking after home or family,3636
2011,E09000020,Couple family: One parent working,Economically inactive: Long-term sick or disabled,98
2011,E09000020,Couple family: One parent working,Economically inactive: Other,600
2011,E09000020,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000020,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000020,Couple family: No parents working,Economically active: Unemployed (including full-time students),258
2011,E09000020,Couple family: No parents working,Economically inactive: Retired,172
2011,E09000020,Couple family: No parents working,Economically inactive: Student (including full-time students),87
2011,E09000020,Couple family: No parents working,Economically inactive: Looking after home or family,534
2011,E09000020,Couple family: No parents working,Economically inactive: Long-term sick or disabled,328
2011,E09000020,Couple family: No parents working,Economically inactive: Other,276
2011,E09000020,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),1741
2011,E09000020,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),517
2011,E09000020,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000020,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000020,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000020,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000020,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000020,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000020,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000020,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000020,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),534
2011,E09000020,Lone parent family: Parent not working,Economically inactive: Retired,85
2011,E09000020,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),246
2011,E09000020,Lone parent family: Parent not working,Economically inactive: Looking after home or family,905
2011,E09000020,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,343
2011,E09000020,Lone parent family: Parent not working,Economically inactive: Other,296
2011,E09000022,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),16659
2011,E09000022,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),5049
2011,E09000022,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000022,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000022,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000022,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000022,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000022,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000022,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),4526
2011,E09000022,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1375
2011,E09000022,Couple family: One parent working,Economically active: Unemployed (including full-time students),1151
2011,E09000022,Couple family: One parent working,Economically inactive: Retired,134
2011,E09000022,Couple family: One parent working,Economically inactive: Student (including full-time students),469
2011,E09000022,Couple family: One parent working,Economically inactive: Looking after home or family,3231
2011,E09000022,Couple family: One parent working,Economically inactive: Long-term sick or disabled,234
2011,E09000022,Couple family: One parent working,Economically inactive: Other,650
2011,E09000022,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000022,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000022,Couple family: No parents working,Economically active: Unemployed (including full-time students),686
2011,E09000022,Couple family: No parents working,Economically inactive: Retired,222
2011,E09000022,Couple family: No parents working,Economically inactive: Student (including full-time students),192
2011,E09000022,Couple family: No parents working,Economically inactive: Looking after home or family,714
2011,E09000022,Couple family: No parents working,Economically inactive: Long-term sick or disabled,410
2011,E09000022,Couple family: No parents working,Economically inactive: Other,454
2011,E09000022,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),7835
2011,E09000022,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),1064
2011,E09000022,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000022,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000022,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000022,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000022,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000022,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000022,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000022,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000022,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),2326
2011,E09000022,Lone parent family: Parent not working,Economically inactive: Retired,240
2011,E09000022,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),920
2011,E09000022,Lone parent family: Parent not working,Economically inactive: Looking after home or family,2369
2011,E09000022,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,917
2011,E09000022,Lone parent family: Parent not working,Economically inactive: Other,931
2011,E09000023,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),20126
2011,E09000023,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),5112
2011,E09000023,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000023,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000023,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000023,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000023,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000023,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000023,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),5146
2011,E09000023,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),1446
2011,E09000023,Couple family: One parent working,Economically active: Unemployed (including full-time students),1469
2011,E09000023,Couple family: One parent working,Economically inactive: Retired,168
2011,E09000023,Couple family: One parent working,Economically inactive: Student (including full-time students),397
2011,E09000023,Couple family: One parent working,Economically inactive: Looking after home or family,3553
2011,E09000023,Couple family: One parent working,Economically inactive: Long-term sick or disabled,312
2011,E09000023,Couple family: One parent working,Economically inactive: Other,661
2011,E09000023,Couple family: No parents working,Economically active: In employment: Employee (including full-time students),0
2011,E09000023,Couple family: No parents working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000023,Couple family: No parents working,Economically active: Unemployed (including full-time students),757
2011,E09000023,Couple family: No parents working,Economically inactive: Retired,175
2011,E09000023,Couple family: No parents working,Economically inactive: Student (including full-time students),179
2011,E09000023,Couple family: No parents working,Economically inactive: Looking after home or family,897
2011,E09000023,Couple family: No parents working,Economically inactive: Long-term sick or disabled,515
2011,E09000023,Couple family: No parents working,Economically inactive: Other,482
2011,E09000023,Lone parent family: Parent working,Economically active: In employment: Employee (including full-time students),7905
2011,E09000023,Lone parent family: Parent working,Economically active: In employment: Self-employed (including full-time students),994
2011,E09000023,Lone parent family: Parent working,Economically active: Unemployed (including full-time students),0
2011,E09000023,Lone parent family: Parent working,Economically inactive: Retired,0
2011,E09000023,Lone parent family: Parent working,Economically inactive: Student (including full-time students),0
2011,E09000023,Lone parent family: Parent working,Economically inactive: Looking after home or family,0
2011,E09000023,Lone parent family: Parent working,Economically inactive: Long-term sick or disabled,0
2011,E09000023,Lone parent family: Parent working,Economically inactive: Other,0
2011,E09000023,Lone parent family: Parent not working,Economically active: In employment: Employee (including full-time students),0
2011,E09000023,Lone parent family: Parent not working,Economically active: In employment: Self-employed (including full-time students),0
2011,E09000023,Lone parent family: Parent not working,Economically active: Unemployed (including full-time students),1887
2011,E09000023,Lone parent family: Parent not working,Economically inactive: Retired,211
2011,E09000023,Lone parent family: Parent not working,Economically inactive: Student (including full-time students),751
2011,E09000023,Lone parent family: Parent not working,Economically inactive: Looking after home or family,2520
2011,E09000023,Lone parent family: Parent not working,Economically inactive: Long-term sick or disabled,925
2011,E09000023,Lone parent family: Parent not working,Economically inactive: Other,811
2011,E09000025,Couple family: Both parents working,Economically active: In employment: Employee (including full-time students),16016
2011,E09000025,Couple family: Both parents working,Economically active: In employment: Self-employed (including full-time students),3708
2011,E09000025,Couple family: Both parents working,Economically active: Unemployed (including full-time students),0
2011,E09000025,Couple family: Both parents working,Economically inactive: Retired,0
2011,E09000025,Couple family: Both parents working,Economically inactive: Student (including full-time students),0
2011,E09000025,Couple family: Both parents working,Economically inactive: Looking after home or family,0
2011,E09000025,Couple family: Both parents working,Economically inactive: Long-term sick or disabled,0
2011,E09000025,Couple family: Both parents working,Economically inactive: Other,0
2011,E09000025,Couple family: One parent working,Economically active: In employment: Employee (including full-time students),9177
2011,E09000025,Couple family: One parent working,Economically active: In employment: Self-employed (including full-time students),2902
2011,E09000025,Couple family: One parent working,Economically active: Unemployed (including full-time students),1826
2011,E09000025,Couple family: One parent working,Economically inactive: Retired,125
2011,E09000025,Couple family: One parent working,Economically inactive: Student (including full-time students),619
2011,E09000025,Couple family: One parent working,Economically inactive: Looking after home or family,7393
