date,geography_code,c_hhchuk11_name,c_ethhuk11_name,obs_value
2011,E09000007,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Black African,5
2011,E09000007,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Asian,12
2011,E09000007,One family only: All aged 65 and over,Mixed/multiple ethnic group: Other Mixed,15
2011,E09000007,One family only: All aged 65 and over,Asian/Asian British: Indian,48
2011,E09000007,One family only: All aged 65 and over,Asian/Asian British: Pakistani,9
2011,E09000007,One family only: All aged 65 and over,Asian/Asian British: Bangladeshi,15
2011,E09000007,One family only: All aged 65 and over,Asian/Asian British: Chinese,24
2011,E09000007,One family only: All aged 65 and over,Asian/Asian British: Other Asian,40
2011,E09000007,One family only: All aged 65 and over,Black/African/Caribbean/Black British: African,24
2011,E09000007,One family only: All aged 65 and over,Black/African/Caribbean/Black British: Caribbean,27
2011,E09000007,One family only: All aged 65 and over,Black/African/Caribbean/Black British: Other Black,5
2011,E09000007,One family only: All aged 65 and over,Other ethnic group: Arab,19
2011,E09000007,One family only: All aged 65 and over,Other ethnic group: Any other ethnic group,37
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,White: English/Welsh/Scottish/Northern Irish/British,3462
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,White: Irish,216
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,White: Gypsy or Irish Traveller,2
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,White: Other White,1832
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Black Caribbean,9
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Black African,20
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Asian,49
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: Other Mixed,111
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Asian/Asian British: Indian,286
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Asian/Asian British: Pakistani,38
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Asian/Asian British: Bangladeshi,79
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Asian/Asian British: Chinese,161
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Asian/Asian British: Other Asian,380
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Black/African/Caribbean/Black British: African,101
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Black/African/Caribbean/Black British: Caribbean,32
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Black/African/Caribbean/Black British: Other Black,29
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Other ethnic group: Arab,84
2011,E09000007,One family only: Married or same-sex civil partnership couple: No children,Other ethnic group: Any other ethnic group,175
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,White: English/Welsh/Scottish/Northern Irish/British,3557
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,White: Irish,204
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,White: Gypsy or Irish Traveller,2
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,White: Other White,2640
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Mixed/multiple ethnic group: White and Black Caribbean,38
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Mixed/multiple ethnic group: White and Black African,34
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Mixed/multiple ethnic group: White and Asian,99
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Mixed/multiple ethnic group: Other Mixed,108
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Asian/Asian British: Indian,352
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Asian/Asian British: Pakistani,114
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Asian/Asian British: Bangladeshi,1181
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Asian/Asian British: Chinese,189
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Asian/Asian British: Other Asian,516
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Black/African/Caribbean/Black British: African,469
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Black/African/Caribbean/Black British: Caribbean,85
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Black/African/Caribbean/Black British: Other Black,123
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Other ethnic group: Arab,259
2011,E09000007,One family only: Married or same-sex civil partnership couple: Dependent children,Other ethnic group: Any other ethnic group,307
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,White: English/Welsh/Scottish/Northern Irish/British,1164
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,White: Irish,141
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,White: Gypsy or Irish Traveller,1
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,White: Other White,344
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Mixed/multiple ethnic group: White and Black Caribbean,6
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Mixed/multiple ethnic group: White and Black African,10
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Mixed/multiple ethnic group: White and Asian,8
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Mixed/multiple ethnic group: Other Mixed,17
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Asian/Asian British: Indian,74
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Asian/Asian British: Pakistani,17
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Asian/Asian British: Bangladeshi,157
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Asian/Asian British: Chinese,54
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Asian/Asian British: Other Asian,100
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Black/African/Caribbean/Black British: African,80
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Black/African/Caribbean/Black British: Caribbean,32
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Black/African/Caribbean/Black British: Other Black,17
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Other ethnic group: Arab,30
2011,E09000007,One family only: Married or same-sex civil partnership couple: All children non-dependent,Other ethnic group: Any other ethnic group,66
2011,E09000007,One family only: Cohabiting couple: No children,White: English/Welsh/Scottish/Northern Irish/British,4055
2011,E09000007,One family only: Cohabiting couple: No children,White: Irish,241
2011,E09000007,One family only: Cohabiting couple: No children,White: Gypsy or Irish Traveller,2
2011,E09000007,One family only: Cohabiting couple: No children,White: Other White,1855
2011,E09000007,One family only: Cohabiting couple: No children,Mixed/multiple ethnic group: White and Black Caribbean,38
2011,E09000007,One family only: Cohabiting couple: No children,Mixed/multiple ethnic group: White and Black African,28
2011,E09000007,One family only: Cohabiting couple: No children,Mixed/multiple ethnic group: White and Asian,84
2011,E09000007,One family only: Cohabiting couple: No children,Mixed/multiple ethnic group: Other Mixed,103
2011,E09000007,One family only: Cohabiting couple: No children,Asian/Asian British: Indian,109
2011,E09000007,One family only: Cohabiting couple: No children,Asian/Asian British: Pakistani,14
2011,E09000007,One family only: Cohabiting couple: No children,Asian/Asian British: Bangladeshi,14
2011,E09000007,One family only: Cohabiting couple: No children,Asian/Asian British: Chinese,174
2011,E09000007,One family only: Cohabiting couple: No children,Asian/Asian British: Other Asian,189
2011,E09000007,One family only: Cohabiting couple: No children,Black/African/Caribbean/Black British: African,72
2011,E09000007,One family only: Cohabiting couple: No children,Black/African/Caribbean/Black British: Caribbean,48
2011,E09000007,One family only: Cohabiting couple: No children,Black/African/Caribbean/Black British: Other Black,71
2011,E09000007,One family only: Cohabiting couple: No children,Other ethnic group: Arab,46
2011,E09000007,One family only: Cohabiting couple: No children,Other ethnic group: Any other ethnic group,152
2011,E09000007,One family only: Cohabiting couple: Dependent children,White: English/Welsh/Scottish/Northern Irish/British,1046
2011,E09000007,One family only: Cohabiting couple: Dependent children,White: Irish,47
2011,E09000007,One family only: Cohabiting couple: Dependent children,White: Gypsy or Irish Traveller,0
2011,E09000007,One family only: Cohabiting couple: Dependent children,White: Other White,393
2011,E09000007,One family only: Cohabiting couple: Dependent children,Mixed/multiple ethnic group: White and Black Caribbean,19
2011,E09000007,One family only: Cohabiting couple: Dependent children,Mixed/multiple ethnic group: White and Black African,21
2011,E09000007,One family only: Cohabiting couple: Dependent children,Mixed/multiple ethnic group: White and Asian,26
2011,E09000007,One family only: Cohabiting couple: Dependent children,Mixed/multiple ethnic group: Other Mixed,52
2011,E09000007,One family only: Cohabiting couple: Dependent children,Asian/Asian British: Indian,22
2011,E09000007,One family only: Cohabiting couple: Dependent children,Asian/Asian British: Pakistani,8
2011,E09000007,One family only: Cohabiting couple: Dependent children,Asian/Asian British: Bangladeshi,28
2011,E09000007,One family only: Cohabiting couple: Dependent children,Asian/Asian British: Chinese,21
2011,E09000007,One family only: Cohabiting couple: Dependent children,Asian/Asian British: Other Asian,40
2011,E09000007,One family only: Cohabiting couple: Dependent children,Black/African/Caribbean/Black British: African,72
2011,E09000007,One family only: Cohabiting couple: Dependent children,Black/African/Caribbean/Black British: Caribbean,48
2011,E09000007,One family only: Cohabiting couple: Dependent children,Black/African/Caribbean/Black British: Other Black,34
2011,E09000007,One family only: Cohabiting couple: Dependent children,Other ethnic group: Arab,13
2011,E09000007,One family only: Cohabiting couple: Dependent children,Other ethnic group: Any other ethnic group,47
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,White: English/Welsh/Scottish/Northern Irish/British,203
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,White: Irish,15
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,White: Gypsy or Irish Traveller,0
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,White: Other White,26
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Mixed/multiple ethnic group: White and Black Caribbean,3
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Mixed/multiple ethnic group: White and Black African,4
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Mixed/multiple ethnic group: White and Asian,3
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Mixed/multiple ethnic group: Other Mixed,1
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Asian/Asian British: Indian,6
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Asian/Asian British: Pakistani,1
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Asian/Asian British: Bangladeshi,5
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Asian/Asian British: Chinese,4
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Asian/Asian British: Other Asian,5
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Black/African/Caribbean/Black British: African,2
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Black/African/Caribbean/Black British: Caribbean,8
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Black/African/Caribbean/Black British: Other Black,5
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Other ethnic group: Arab,3
2011,E09000007,One family only: Cohabiting couple: All children non-dependent,Other ethnic group: Any other ethnic group,8
2011,E09000007,One family only: Lone parent: Dependent children,White: English/Welsh/Scottish/Northern Irish/British,2413
2011,E09000007,One family only: Lone parent: Dependent children,White: Irish,179
2011,E09000007,One family only: Lone parent: Dependent children,White: Gypsy or Irish Traveller,15
2011,E09000007,One family only: Lone parent: Dependent children,White: Other White,817
2011,E09000007,One family only: Lone parent: Dependent children,Mixed/multiple ethnic group: White and Black Caribbean,135
2011,E09000007,One family only: Lone parent: Dependent children,Mixed/multiple ethnic group: White and Black African,96
2011,E09000007,One family only: Lone parent: Dependent children,Mixed/multiple ethnic group: White and Asian,55
2011,E09000007,One family only: Lone parent: Dependent children,Mixed/multiple ethnic group: Other Mixed,100
2011,E09000007,One family only: Lone parent: Dependent children,Asian/Asian British: Indian,42
2011,E09000007,One family only: Lone parent: Dependent children,Asian/Asian British: Pakistani,31
2011,E09000007,One family only: Lone parent: Dependent children,Asian/Asian British: Bangladeshi,297
2011,E09000007,One family only: Lone parent: Dependent children,Asian/Asian British: Chinese,41
2011,E09000007,One family only: Lone parent: Dependent children,Asian/Asian British: Other Asian,167
2011,E09000007,One family only: Lone parent: Dependent children,Black/African/Caribbean/Black British: African,1155
2011,E09000007,One family only: Lone parent: Dependent children,Black/African/Caribbean/Black British: Caribbean,292
2011,E09000007,One family only: Lone parent: Dependent children,Black/African/Caribbean/Black British: Other Black,176
2011,E09000007,One family only: Lone parent: Dependent children,Other ethnic group: Arab,118
2011,E09000007,One family only: Lone parent: Dependent children,Other ethnic group: Any other ethnic group,161
2011,E09000007,One family only: Lone parent: All children non-dependent,White: English/Welsh/Scottish/Northern Irish/British,1587
2011,E09000007,One family only: Lone parent: All children non-dependent,White: Irish,317
2011,E09000007,One family only: Lone parent: All children non-dependent,White: Gypsy or Irish Traveller,0
2011,E09000007,One family only: Lone parent: All children non-dependent,White: Other White,435
2011,E09000007,One family only: Lone parent: All children non-dependent,Mixed/multiple ethnic group: White and Black Caribbean,26
2011,E09000007,One family only: Lone parent: All children non-dependent,Mixed/multiple ethnic group: White and Black African,25
2011,E09000007,One family only: Lone parent: All children non-dependent,Mixed/multiple ethnic group: White and Asian,23
2011,E09000007,One family only: Lone parent: All children non-dependent,Mixed/multiple ethnic group: Other Mixed,37
2011,E09000007,One family only: Lone parent: All children non-dependent,Asian/Asian British: Indian,51
2011,E09000007,One family only: Lone parent: All children non-dependent,Asian/Asian British: Pakistani,14
2011,E09000007,One family only: Lone parent: All children non-dependent,Asian/Asian British: Bangladeshi,140
2011,E09000007,One family only: Lone parent: All children non-dependent,Asian/Asian British: Chinese,57
2011,E09000007,One family only: Lone parent: All children non-dependent,Asian/Asian British: Other Asian,123
2011,E09000007,One family only: Lone parent: All children non-dependent,Black/African/Caribbean/Black British: African,270
2011,E09000007,One family only: Lone parent: All children non-dependent,Black/African/Caribbean/Black British: Caribbean,128
2011,E09000007,One family only: Lone parent: All children non-dependent,Black/African/Caribbean/Black British: Other Black,58
2011,E09000007,One family only: Lone parent: All children non-dependent,Other ethnic group: Arab,51
2011,E09000007,One family only: Lone parent: All children non-dependent,Other ethnic group: Any other ethnic group,83
2011,E09000007,Other household types: With dependent children,White: English/Welsh/Scottish/Northern Irish/British,993
2011,E09000007,Other household types: With dependent children,White: Irish,69
2011,E09000007,Other household types: With dependent children,White: Gypsy or Irish Traveller,1
2011,E09000007,Other household types: With dependent children,White: Other White,477
2011,E09000007,Other household types: With dependent children,Mixed/multiple ethnic group: White and Black Caribbean,30
2011,E09000007,Other household types: With dependent children,Mixed/multiple ethnic group: White and Black African,23
2011,E09000007,Other household types: With dependent children,Mixed/multiple ethnic group: White and Asian,30
2011,E09000007,Other household types: With dependent children,Mixed/multiple ethnic group: Other Mixed,93
2011,E09000007,Other household types: With dependent children,Asian/Asian British: Indian,77
2011,E09000007,Other household types: With dependent children,Asian/Asian British: Pakistani,37
2011,E09000007,Other household types: With dependent children,Asian/Asian British: Bangladeshi,475
2011,E09000007,Other household types: With dependent children,Asian/Asian British: Chinese,55
2011,E09000007,Other household types: With dependent children,Asian/Asian British: Other Asian,101
2011,E09000007,Other household types: With dependent children,Black/African/Caribbean/Black British: African,296
2011,E09000007,Other household types: With dependent children,Black/African/Caribbean/Black British: Caribbean,74
2011,E09000007,Other household types: With dependent children,Black/African/Caribbean/Black British: Other Black,69
2011,E09000007,Other household types: With dependent children,Other ethnic group: Arab,70
2011,E09000007,Other household types: With dependent children,Other ethnic group: Any other ethnic group,74
2011,E09000007,Other household types: All full-time students,White: English/Welsh/Scottish/Northern Irish/British,791
2011,E09000007,Other household types: All full-time students,White: Irish,17
2011,E09000007,Other household types: All full-time students,White: Gypsy or Irish Traveller,1
2011,E09000007,Other household types: All full-time students,White: Other White,454
2011,E09000007,Other household types: All full-time students,Mixed/multiple ethnic group: White and Black Caribbean,9
2011,E09000007,Other household types: All full-time students,Mixed/multiple ethnic group: White and Black African,14
2011,E09000007,Other household types: All full-time students,Mixed/multiple ethnic group: White and Asian,50
2011,E09000007,Other household types: All full-time students,Mixed/multiple ethnic group: Other Mixed,22
2011,E09000007,Other household types: All full-time students,Asian/Asian British: Indian,119
2011,E09000007,Other household types: All full-time students,Asian/Asian British: Pakistani,21
2011,E09000007,Other household types: All full-time students,Asian/Asian British: Bangladeshi,9
2011,E09000007,Other household types: All full-time students,Asian/Asian British: Chinese,349
2011,E09000007,Other household types: All full-time students,Asian/Asian British: Other Asian,252
2011,E09000007,Other household types: All full-time students,Black/African/Caribbean/Black British: African,30
2011,E09000007,Other household types: All full-time students,Black/African/Caribbean/Black British: Caribbean,7
2011,E09000007,Other household types: All full-time students,Black/African/Caribbean/Black British: Other Black,5
2011,E09000007,Other household types: All full-time students,Other ethnic group: Arab,86
2011,E09000007,Other household types: All full-time students,Other ethnic group: Any other ethnic group,86
2011,E09000007,Other household types: All aged 65 and over,White: English/Welsh/Scottish/Northern Irish/British,232
2011,E09000007,Other household types: All aged 65 and over,White: Irish,24
2011,E09000007,Other household types: All aged 65 and over,White: Gypsy or Irish Traveller,0
2011,E09000007,Other household types: All aged 65 and over,White: Other White,31
2011,E09000007,Other household types: All aged 65 and over,Mixed/multiple ethnic group: White and Black Caribbean,1
2011,E09000007,Other household types: All aged 65 and over,Mixed/multiple ethnic group: White and Black African,0
2011,E09000007,Other household types: All aged 65 and over,Mixed/multiple ethnic group: White and Asian,2
2011,E09000007,Other household types: All aged 65 and over,Mixed/multiple ethnic group: Other Mixed,6
2011,E09000007,Other household types: All aged 65 and over,Asian/Asian British: Indian,5
2011,E09000007,Other household types: All aged 65 and over,Asian/Asian British: Pakistani,4
2011,E09000007,Other household types: All aged 65 and over,Asian/Asian British: Bangladeshi,0
2011,E09000007,Other household types: All aged 65 and over,Asian/Asian British: Chinese,2
2011,E09000007,Other household types: All aged 65 and over,Asian/Asian British: Other Asian,7
2011,E09000007,Other household types: All aged 65 and over,Black/African/Caribbean/Black British: African,6
2011,E09000007,Other household types: All aged 65 and over,Black/African/Caribbean/Black British: Caribbean,3
2011,E09000007,Other household types: All aged 65 and over,Black/African/Caribbean/Black British: Other Black,5
2011,E09000007,Other household types: All aged 65 and over,Other ethnic group: Arab,0
2011,E09000007,Other household types: All aged 65 and over,Other ethnic group: Any other ethnic group,11
2011,E09000007,Other household types: Other,White: English/Welsh/Scottish/Northern Irish/British,5130
2011,E09000007,Other household types: Other,White: Irish,359
2011,E09000007,Other household types: Other,White: Gypsy or Irish Traveller,7
2011,E09000007,Other household types: Other,White: Other White,2555
2011,E09000007,Other household types: Other,Mixed/multiple ethnic group: White and Black Caribbean,57
2011,E09000007,Other household types: Other,Mixed/multiple ethnic group: White and Black African,75
2011,E09000007,Other household types: Other,Mixed/multiple ethnic group: White and Asian,123
2011,E09000007,Other household types: Other,Mixed/multiple ethnic group: Other Mixed,215
2011,E09000007,Other household types: Other,Asian/Asian British: Indian,384
2011,E09000007,Other household types: Other,Asian/Asian British: Pakistani,70
2011,E09000007,Other household types: Other,Asian/Asian British: Bangladeshi,160
2011,E09000007,Other household types: Other,Asian/Asian British: Chinese,323
2011,E09000007,Other household types: Other,Asian/Asian British: Other Asian,497
2011,E09000007,Other household types: Other,Black/African/Caribbean/Black British: African,235
2011,E09000007,Other household types: Other,Black/African/Caribbean/Black British: Caribbean,75
2011,E09000007,Other household types: Other,Black/African/Caribbean/Black British: Other Black,129
2011,E09000007,Other household types: Other,Other ethnic group: Arab,166
2011,E09000007,Other household types: Other,Other ethnic group: Any other ethnic group,235
2011,E09000001,One person household: Aged 65 and over,White: English/Welsh/Scottish/Northern Irish/British,455
2011,E09000001,One person household: Aged 65 and over,White: Irish,15
2011,E09000001,One person household: Aged 65 and over,White: Gypsy or Irish Traveller,0
2011,E09000001,One person household: Aged 65 and over,White: Other White,34
2011,E09000001,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Black Caribbean,2
2011,E09000001,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Black African,0
2011,E09000001,One person household: Aged 65 and over,Mixed/multiple ethnic group: White and Asian,0
2011,E09000001,One person household: Aged 65 and over,Mixed/multiple ethnic group: Other Mixed,0
2011,E09000001,One person household: Aged 65 and over,Asian/Asian British: Indian,3
2011,E09000001,One person household: Aged 65 and over,Asian/Asian British: Pakistani,0
2011,E09000001,One person household: Aged 65 and over,Asian/Asian British: Bangladeshi,1
2011,E09000001,One person household: Aged 65 and over,Asian/Asian British: Chinese,2
2011,E09000001,One person household: Aged 65 and over,Asian/Asian British: Other Asian,2
2011,E09000001,One person household: Aged 65 and over,Black/African/Caribbean/Black British: African,1
2011,E09000001,One person household: Aged 65 and over,Black/African/Caribbean/Black British: Caribbean,1
2011,E09000001,One person household: Aged 65 and over,Black/African/Caribbean/Black British: Other Black,4
2011,E09000001,One person household: Aged 65 and over,Other ethnic group: Arab,1
2011,E09000001,One person household: Aged 65 and over,Other ethnic group: Any other ethnic group,5
2011,E09000001,One person household: Other,White: English/Welsh/Scottish/Northern Irish/British,1152
2011,E09000001,One person household: Other,White: Irish,59
2011,E09000001,One person household: Other,White: Gypsy or Irish Traveller,0
2011,E09000001,One person household: Other,White: Other White,382
2011,E09000001,One person household: Other,Mixed/multiple ethnic group: White and Black Caribbean,4
2011,E09000001,One person household: Other,Mixed/multiple ethnic group: White and Black African,8
2011,E09000001,One person household: Other,Mixed/multiple ethnic group: White and Asian,23
2011,E09000001,One person household: Other,Mixed/multiple ethnic group: Other Mixed,19
2011,E09000001,One person household: Other,Asian/Asian British: Indian,55
2011,E09000001,One person household: Other,Asian/Asian British: Pakistani,8
2011,E09000001,One person household: Other,Asian/Asian British: Bangladeshi,3
2011,E09000001,One person household: Other,Asian/Asian British: Chinese,89
2011,E09000001,One person household: Other,Asian/Asian British: Other Asian,63
2011,E09000001,One person household: Other,Black/African/Caribbean/Black British: African,25
2011,E09000001,One person household: Other,Black/African/Caribbean/Black British: Caribbean,8
2011,E09000001,One person household: Other,Black/African/Caribbean/Black British: Other Black,8
2011,E09000001,One person household: Other,Other ethnic group: Arab,25
2011,E09000001,One person household: Other,Other ethnic group: Any other ethnic group,15
2011,E09000001,One family only: All aged 65 and over,White: English/Welsh/Scottish/Northern Irish/British,122
2011,E09000001,One family only: All aged 65 and over,White: Irish,3
2011,E09000001,One family only: All aged 65 and over,White: Gypsy or Irish Traveller,0
2011,E09000001,One family only: All aged 65 and over,White: Other White,9
2011,E09000001,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Black Caribbean,0
2011,E09000001,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Black African,0
2011,E09000001,One family only: All aged 65 and over,Mixed/multiple ethnic group: White and Asian,0
2011,E09000001,One family only: All aged 65 and over,Mixed/multiple ethnic group: Other Mixed,0
2011,E09000001,One family only: All aged 65 and over,Asian/Asian British: Indian,0
2011,E09000001,One family only: All aged 65 and over,Asian/Asian British: Pakistani,0
2011,E09000001,One family only: All aged 65 and over,Asian/Asian British: Bangladeshi,0
2011,E09000001,One family only: All aged 65 and over,Asian/Asian British: Chinese,0
2011,E09000001,One family only: All aged 65 and over,Asian/Asian British: Other Asian,1
2011,E09000001,One family only: All aged 65 and over,Black/African/Caribbean/Black British: African,0
2011,E09000001,One family only: All aged 65 and over,Black/African/Caribbean/Black British: Caribbean,0
2011,E09000001,One family only: All aged 65 and over,Black/African/Caribbean/Black British: Other Black,0
2011,E09000001,One family only: All aged 65 and over,Other ethnic group: Arab,0
2011,E09000001,One family only: All aged 65 and over,Other ethnic group: Any other ethnic group,2
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,White: English/Welsh/Scottish/Northern Irish/British,352
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,White: Irish,10
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,White: Gypsy or Irish Traveller,0
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,White: Other White,102
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Black Caribbean,2
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Black African,1
2011,E09000001,One family only: Married or same-sex civil partnership couple: No children,Mixed/multiple ethnic group: White and Asian,3
