date,geography_code,c_dpchuk11_name,c_ahthuk11_name,c_dpchuk11_code,c_ahthuk11_code,obs_value
2011,E09000007,Youngest dependent child: Age 16 to 18,Cohabiting couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5aD3d,125
2011,E09000007,Youngest dependent child: Age 16 to 18,Lone parent household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5wIsV,882
2011,E09000007,Youngest dependent child: Age 16 to 18,Multi-person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6ENZZ,3
2011,E09000001,All categories: All households,All categories: Household type,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6SRFd,4385
2011,E09000001,All categories: All households,One person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_10,2472
2011,E09000001,All categories: All households,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5E7PL,975
2011,E09000001,All categories: All households,Cohabiting couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5aD3d,445
2011,E09000001,All categories: All households,Lone parent household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5wIsV,180
2011,E09000001,All categories: All households,Multi-person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6ENZZ,313
2011,E09000001,Households with no dependent children,All categories: Household type,C_DPCHUK11_01,C_AHTHUK11_Szp6SRFd,3953
2011,E09000001,Households with no dependent children,One person household,C_DPCHUK11_01,C_AHTHUK11_10,2471
2011,E09000001,Households with no dependent children,Married or same-sex civil partnership couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5E7PL,714
2011,E09000001,Households with no dependent children,Cohabiting couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5aD3d,380
2011,E09000001,Households with no dependent children,Lone parent household,C_DPCHUK11_01,C_AHTHUK11_Szp5wIsV,75
2011,E09000001,Households with no dependent children,Multi-person household,C_DPCHUK11_01,C_AHTHUK11_Szp6ENZZ,313
2011,E09000001,Households with dependent children: Total,All categories: Household type,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6SRFd,432
2011,E09000001,Households with dependent children: Total,One person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_10,1
2011,E09000001,Households with dependent children: Total,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5E7PL,261
2011,E09000001,Households with dependent children: Total,Cohabiting couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5aD3d,65
2011,E09000001,Households with dependent children: Total,Lone parent household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5wIsV,105
2011,E09000001,Households with dependent children: Total,Multi-person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6ENZZ,0
2011,E09000001,Youngest dependent child: Age 0 to 4,All categories: Household type,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6SRFd,195
2011,E09000001,Youngest dependent child: Age 0 to 4,One person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_10,1
2011,E09000001,Youngest dependent child: Age 0 to 4,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5E7PL,133
2011,E09000001,Youngest dependent child: Age 0 to 4,Cohabiting couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5aD3d,30
2011,E09000001,Youngest dependent child: Age 0 to 4,Lone parent household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5wIsV,31
2011,E09000001,Youngest dependent child: Age 0 to 4,Multi-person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6ENZZ,0
2011,E09000001,Youngest dependent child: Age 5 to 9,All categories: Household type,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6SRFd,109
2011,E09000001,Youngest dependent child: Age 5 to 9,One person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_10,0
2011,E09000001,Youngest dependent child: Age 5 to 9,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5E7PL,63
2011,E09000001,Youngest dependent child: Age 5 to 9,Cohabiting couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5aD3d,21
2011,E09000001,Youngest dependent child: Age 5 to 9,Lone parent household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5wIsV,25
2011,E09000001,Youngest dependent child: Age 5 to 9,Multi-person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6ENZZ,0
2011,E09000001,Youngest dependent child: Age 10 to 15,All categories: Household type,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6SRFd,97
2011,E09000001,Youngest dependent child: Age 10 to 15,One person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_10,0
2011,E09000001,Youngest dependent child: Age 10 to 15,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5E7PL,46
2011,E09000001,Youngest dependent child: Age 10 to 15,Cohabiting couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5aD3d,12
2011,E09000001,Youngest dependent child: Age 10 to 15,Lone parent household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5wIsV,39
2011,E09000001,Youngest dependent child: Age 10 to 15,Multi-person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6ENZZ,0
2011,E09000001,Youngest dependent child: Age 16 to 18,All categories: Household type,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6SRFd,31
2011,E09000001,Youngest dependent child: Age 16 to 18,One person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_10,0
2011,E09000001,Youngest dependent child: Age 16 to 18,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5E7PL,19
2011,E09000001,Youngest dependent child: Age 16 to 18,Cohabiting couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5aD3d,2
2011,E09000001,Youngest dependent child: Age 16 to 18,Lone parent household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5wIsV,10
2011,E09000001,Youngest dependent child: Age 16 to 18,Multi-person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6ENZZ,0
2011,E09000012,All categories: All households,All categories: Household type,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6SRFd,101690
2011,E09000012,All categories: All households,One person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_10,35635
2011,E09000012,All categories: All households,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5E7PL,23125
2011,E09000012,All categories: All households,Cohabiting couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5aD3d,12586
2011,E09000012,All categories: All households,Lone parent household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5wIsV,17790
2011,E09000012,All categories: All households,Multi-person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6ENZZ,12554
2011,E09000012,Households with no dependent children,All categories: Household type,C_DPCHUK11_01,C_AHTHUK11_Szp6SRFd,72584
2011,E09000012,Households with no dependent children,One person household,C_DPCHUK11_01,C_AHTHUK11_10,35628
2011,E09000012,Households with no dependent children,Married or same-sex civil partnership couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5E7PL,10213
2011,E09000012,Households with no dependent children,Cohabiting couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5aD3d,9360
2011,E09000012,Households with no dependent children,Lone parent household,C_DPCHUK11_01,C_AHTHUK11_Szp5wIsV,5050
2011,E09000012,Households with no dependent children,Multi-person household,C_DPCHUK11_01,C_AHTHUK11_Szp6ENZZ,12333
2011,E09000012,Households with dependent children: Total,All categories: Household type,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6SRFd,29106
2011,E09000012,Households with dependent children: Total,One person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_10,7
2011,E09000012,Households with dependent children: Total,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5E7PL,12912
2011,E09000012,Households with dependent children: Total,Cohabiting couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5aD3d,3226
2011,E09000012,Households with dependent children: Total,Lone parent household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5wIsV,12740
2011,E09000012,Households with dependent children: Total,Multi-person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6ENZZ,221
2011,E09000012,Youngest dependent child: Age 0 to 4,All categories: Household type,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6SRFd,14279
2011,E09000012,Youngest dependent child: Age 0 to 4,One person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_10,3
2011,E09000012,Youngest dependent child: Age 0 to 4,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5E7PL,7389
2011,E09000012,Youngest dependent child: Age 0 to 4,Cohabiting couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5aD3d,2018
2011,E09000012,Youngest dependent child: Age 0 to 4,Lone parent household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5wIsV,4755
2011,E09000012,Youngest dependent child: Age 0 to 4,Multi-person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6ENZZ,114
2011,E09000012,Youngest dependent child: Age 5 to 9,All categories: Household type,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6SRFd,6540
2011,E09000012,Youngest dependent child: Age 5 to 9,One person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_10,2
2011,E09000012,Youngest dependent child: Age 5 to 9,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5E7PL,2571
2011,E09000012,Youngest dependent child: Age 5 to 9,Cohabiting couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5aD3d,614
2011,E09000012,Youngest dependent child: Age 5 to 9,Lone parent household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5wIsV,3313
2011,E09000012,Youngest dependent child: Age 5 to 9,Multi-person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6ENZZ,40
2011,E09000012,Youngest dependent child: Age 10 to 15,All categories: Household type,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6SRFd,6121
2011,E09000012,Youngest dependent child: Age 10 to 15,One person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_10,2
2011,E09000012,Youngest dependent child: Age 10 to 15,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5E7PL,2183
2011,E09000012,Youngest dependent child: Age 10 to 15,Cohabiting couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5aD3d,461
2011,E09000012,Youngest dependent child: Age 10 to 15,Lone parent household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5wIsV,3409
2011,E09000012,Youngest dependent child: Age 10 to 15,Multi-person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6ENZZ,66
2011,E09000012,Youngest dependent child: Age 16 to 18,All categories: Household type,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6SRFd,2166
2011,E09000012,Youngest dependent child: Age 16 to 18,One person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_10,0
2011,E09000012,Youngest dependent child: Age 16 to 18,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5E7PL,769
2011,E09000012,Youngest dependent child: Age 16 to 18,Cohabiting couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5aD3d,133
2011,E09000012,Youngest dependent child: Age 16 to 18,Lone parent household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5wIsV,1263
2011,E09000012,Youngest dependent child: Age 16 to 18,Multi-person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6ENZZ,1
2011,E09000013,All categories: All households,All categories: Household type,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6SRFd,80590
2011,E09000013,All categories: All households,One person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_10,30148
2011,E09000013,All categories: All households,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5E7PL,20596
2011,E09000013,All categories: All households,Cohabiting couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5aD3d,9132
2011,E09000013,All categories: All households,Lone parent household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5wIsV,10308
2011,E09000013,All categories: All households,Multi-person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6ENZZ,10406
2011,E09000013,Households with no dependent children,All categories: Household type,C_DPCHUK11_01,C_AHTHUK11_Szp6SRFd,62111
2011,E09000013,Households with no dependent children,One person household,C_DPCHUK11_01,C_AHTHUK11_10,30138
2011,E09000013,Households with no dependent children,Married or same-sex civil partnership couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5E7PL,10584
2011,E09000013,Households with no dependent children,Cohabiting couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5aD3d,7541
2011,E09000013,Households with no dependent children,Lone parent household,C_DPCHUK11_01,C_AHTHUK11_Szp5wIsV,3544
2011,E09000013,Households with no dependent children,Multi-person household,C_DPCHUK11_01,C_AHTHUK11_Szp6ENZZ,10304
2011,E09000013,Households with dependent children: Total,All categories: Household type,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6SRFd,18479
2011,E09000013,Households with dependent children: Total,One person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_10,10
2011,E09000013,Households with dependent children: Total,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5E7PL,10012
2011,E09000013,Households with dependent children: Total,Cohabiting couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5aD3d,1591
2011,E09000013,Households with dependent children: Total,Lone parent household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5wIsV,6764
2011,E09000013,Households with dependent children: Total,Multi-person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6ENZZ,102
2011,E09000013,Youngest dependent child: Age 0 to 4,All categories: Household type,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6SRFd,9083
2011,E09000013,Youngest dependent child: Age 0 to 4,One person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_10,5
2011,E09000013,Youngest dependent child: Age 0 to 4,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5E7PL,5678
2011,E09000013,Youngest dependent child: Age 0 to 4,Cohabiting couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5aD3d,990
2011,E09000013,Youngest dependent child: Age 0 to 4,Lone parent household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5wIsV,2364
2011,E09000013,Youngest dependent child: Age 0 to 4,Multi-person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6ENZZ,46
2011,E09000013,Youngest dependent child: Age 5 to 9,All categories: Household type,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6SRFd,3894
2011,E09000013,Youngest dependent child: Age 5 to 9,One person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_10,2
2011,E09000013,Youngest dependent child: Age 5 to 9,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5E7PL,1994
2011,E09000013,Youngest dependent child: Age 5 to 9,Cohabiting couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5aD3d,270
2011,E09000013,Youngest dependent child: Age 5 to 9,Lone parent household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5wIsV,1612
2011,E09000013,Youngest dependent child: Age 5 to 9,Multi-person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6ENZZ,16
2011,E09000013,Youngest dependent child: Age 10 to 15,All categories: Household type,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6SRFd,4004
2011,E09000013,Youngest dependent child: Age 10 to 15,One person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_10,3
2011,E09000013,Youngest dependent child: Age 10 to 15,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5E7PL,1740
2011,E09000013,Youngest dependent child: Age 10 to 15,Cohabiting couple household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5aD3d,237
2011,E09000013,Youngest dependent child: Age 10 to 15,Lone parent household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp5wIsV,1985
2011,E09000013,Youngest dependent child: Age 10 to 15,Multi-person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6ENZZ,39
2011,E09000013,Youngest dependent child: Age 16 to 18,All categories: Household type,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6SRFd,1498
2011,E09000013,Youngest dependent child: Age 16 to 18,One person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_10,0
2011,E09000013,Youngest dependent child: Age 16 to 18,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5E7PL,600
2011,E09000013,Youngest dependent child: Age 16 to 18,Cohabiting couple household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5aD3d,94
2011,E09000013,Youngest dependent child: Age 16 to 18,Lone parent household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp5wIsV,803
2011,E09000013,Youngest dependent child: Age 16 to 18,Multi-person household,C_DPCHUK11_T0CQUOro,C_AHTHUK11_Szp6ENZZ,1
2011,E09000014,All categories: All households,All categories: Household type,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6SRFd,101955
2011,E09000014,All categories: All households,One person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_10,32524
2011,E09000014,All categories: All households,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5E7PL,30150
2011,E09000014,All categories: All households,Cohabiting couple household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5aD3d,12217
2011,E09000014,All categories: All households,Lone parent household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp5wIsV,18041
2011,E09000014,All categories: All households,Multi-person household,C_DPCHUK11_T0CKmuoD,C_AHTHUK11_Szp6ENZZ,9023
2011,E09000014,Households with no dependent children,All categories: Household type,C_DPCHUK11_01,C_AHTHUK11_Szp6SRFd,69959
2011,E09000014,Households with no dependent children,One person household,C_DPCHUK11_01,C_AHTHUK11_10,32517
2011,E09000014,Households with no dependent children,Married or same-sex civil partnership couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5E7PL,14779
2011,E09000014,Households with no dependent children,Cohabiting couple household,C_DPCHUK11_01,C_AHTHUK11_Szp5aD3d,8619
2011,E09000014,Households with no dependent children,Lone parent household,C_DPCHUK11_01,C_AHTHUK11_Szp5wIsV,5280
2011,E09000014,Households with no dependent children,Multi-person household,C_DPCHUK11_01,C_AHTHUK11_Szp6ENZZ,8764
2011,E09000014,Households with dependent children: Total,All categories: Household type,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6SRFd,31996
2011,E09000014,Households with dependent children: Total,One person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_10,7
2011,E09000014,Households with dependent children: Total,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5E7PL,15371
2011,E09000014,Households with dependent children: Total,Cohabiting couple household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5aD3d,3598
2011,E09000014,Households with dependent children: Total,Lone parent household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp5wIsV,12761
2011,E09000014,Households with dependent children: Total,Multi-person household,C_DPCHUK11_T0CM0Eah,C_AHTHUK11_Szp6ENZZ,259
2011,E09000014,Youngest dependent child: Age 0 to 4,All categories: Household type,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6SRFd,14240
2011,E09000014,Youngest dependent child: Age 0 to 4,One person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_10,5
2011,E09000014,Youngest dependent child: Age 0 to 4,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5E7PL,7806
2011,E09000014,Youngest dependent child: Age 0 to 4,Cohabiting couple household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5aD3d,2135
2011,E09000014,Youngest dependent child: Age 0 to 4,Lone parent household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp5wIsV,4202
2011,E09000014,Youngest dependent child: Age 0 to 4,Multi-person household,C_DPCHUK11_T0CNlgkJ,C_AHTHUK11_Szp6ENZZ,92
2011,E09000014,Youngest dependent child: Age 5 to 9,All categories: Household type,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6SRFd,7714
2011,E09000014,Youngest dependent child: Age 5 to 9,One person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_10,2
2011,E09000014,Youngest dependent child: Age 5 to 9,Married or same-sex civil partnership couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5E7PL,3434
2011,E09000014,Youngest dependent child: Age 5 to 9,Cohabiting couple household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5aD3d,758
2011,E09000014,Youngest dependent child: Age 5 to 9,Lone parent household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp5wIsV,3461
2011,E09000014,Youngest dependent child: Age 5 to 9,Multi-person household,C_DPCHUK11_T0CO9n4d,C_AHTHUK11_Szp6ENZZ,59
2011,E09000014,Youngest dependent child: Age 10 to 15,All categories: Household type,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_Szp6SRFd,7399
2011,E09000014,Youngest dependent child: Age 10 to 15,One person household,C_DPCHUK11_T0CPsEqU,C_AHTHUK11_10,0
